Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
713,"Domingarh-Gorakhpur-Gorakhpur Cantt.-Kusumhi - 3rd Railway Line Project
(North Eastern Railway [NER])
(705566)",Uttar Pradesh,"11/2016
(06/2018)","02/2025
(09/2025)","351
(521.47)",495.86,98
714,"Burhwal Gonda 3rd line
(North Eastern Railway [NER])
(705567)",Uttar Pradesh,"11/2017
(07/2019)","03/2025
(09/2025)","1016
(1118)",1373.8,73
715,"Janghai-Pratapgarh- Amethi
(CAO/C/II/NR)
(705588)",Uttar Pradesh,"11/2017
(03/2017)","03/2025
(03/2026)","722
(1194)",1550,70
716,"Lalitpur-Birari with flyover at Lalitpur- 16 Km
(North Central Railway)
(705766)",Uttar Pradesh,"03/2017
(03/2017)","12/2024
(11/2025)","304.44
(356)",220.8,72
717,"Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project
(North Central Railway)
(705771)",Uttar Pradesh,"04/2019
(10/2020)","03/2026
(03/2026)","494
(494)",333,70
718,"Mughalsarai-Allahabad, 3rd line
(North Central Railway)
(705772)",Uttar Pradesh,"12/2015
(03/2016)","12/2026
(03/2027)","2649
(2649.44)",1561.89,62
719,"Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project
(CAO/C/NCR)
(705774)",Uttar Pradesh,"04/2019
(09/2020)","01/2025
(03/2027)","758
(779.49)",315.37,55
720,"Bhandai - Flyover for Etawah bound down train- 10 Km
(North Central Railway (NCR) - II)
(705777)",Uttar Pradesh,"07/2020
(04/2021)","02/2026
(02/2027)","250.18
(250.18)",113.94,3
721,"Phephna-Indara, Mau-Shahganj doubling excluding Indara-Mau
(South Eastern Railway [SER] - I)
(705779)",Uttar Pradesh,"05/2017
(03/2017)","12/2024
(03/2026)","1178
(1777)",1489.5,85
722,"Bhatni-Aurnihar with electrification excluding Indara-Mau
(RVNL - II)
(705780)",Uttar Pradesh,"03/2018
(03/2017)","12/2024
(10/2025)","2529
(2529.46)",2051.69,94
723,"Barabanki-Malhaur 3rd & 4th Railway Line Project
(CAO/C/NR)
(705782)",Uttar Pradesh,"01/2019
(04/2017)","03/2025
(03/2026)","407
(407)",317,75
724,"Janghai-Phaphamau Doubling Rail Line Project
(RVNL)
(705784)",Uttar Pradesh,"11/2018
(03/2020)","03/2025
(03/2025)","357
(978.77)",579,95
725,"Bahraich - Nanpara - Nepalganj Road Gauge Conversion
(North Eastern Railway [NER])
(705863)",Uttar Pradesh,"07/2020
(04/2021)","07/2025
(09/2025)","950
(550)",511.18,90
726,"Allahabad division - Aligarh - Harduaganj Flyover
(North Central Railway)
(705918)",Uttar Pradesh,"04/2020
(02/2021)","06/2026
(03/2027)","1457
(1457)",50,14
727,"DOUBLING BETWEEN JAUNPUR JN-ZAFFARABAD [6.28 KM]
(Northen Railway [NR])
(900872)",Uttar Pradesh,"01/2023
()","01/2027
(12/2028)","177
(177)",41,10
728,"Rishikesh-Karnaprayag New Rail Line- 125 km
(RVNL - II)
(705429)",Uttarakhand,"11/2016
(08/2018)","12/2025
(03/2027)","38953
(38953)",24645.15,65
729,"Kalinarayanpur-Krishnanagar Doubling Alongwith Krishnanagar - Chapra New Line
And Naihati-Ranaghat 3rd Line.
(Eastern Railway [ER] - I)
(400247)",West Bengal,"07/2015
(11/2005)","02/2027
(02/2027)","1000
(1000)",1031.21,67
730,"Tarakeshwar-Bishnupur New Line [82.47 km]
(Eastern Railway [ER] - I)
(400273)",West Bengal,"03/2001
(02/2008)","03/2019
(02/2026)","1189
(1542)",1307.52,90
731,"Dum Dum Airport-New Garia via Rajarhat-Construction of Metro Railway
(RVNL - II)
(400277)",West Bengal,"03/2010
(10/2011)","12/2025
(03/2026)","8964
(8964)",8097.47,80
732,"Construction of Balurghat-Hilli new BG Line
(Northeast Frontier Railway [NFR])
(612096)",West Bengal,"12/2010
(12/2010)","03/2027
(03/2025)","1209
(1209)",405.31,9
733,"Kalipahari Bakhtarnagar 5th line
(Eastern Railway [ER] - I)
(617322)",West Bengal,"08/2024
(07/2025)","06/2027
(06/2027)","350.46
(350.46)",0,0
734,"Joka-BBD Bag new metro project
(RVNL - II)
(705730)",West Bengal,"03/2010
(04/2010)","12/2026
(12/2028)","4835
(10362)",4373.24,60
735,"Noapara-Barasat via Bimanbandar - Construction of Metro railway [18 km]
(Metro Railway, Kolkata)
(706776)",West Bengal,"11/2010
(03/2010)","08/2026
(03/2029)","4830
(4830)",2764.13,32
736,"Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway
(RVNL - II)
(706777)",West Bengal,"03/2010
(03/2010)","12/2026
(12/2025)","2298
(2734)",393,17
,Total (263),,,,691320.92,524256.16,
,Department for Promotion of Industry & Internal Trade,,,,,,
,Real Estate,,,,,,
737,"Krishnapatnam Node - Phase 1 - Roads and Services Development
(National Industrial Corridor Development Corporation)
(701658)",Andhra Pradesh,"12/2020
(02/2024)","02/2028
(-)","2139.44
(2139.44)",406.05,17
738,"Tumakuru Node - Phase 1 - Roads and Services Development
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(701657)",Karnataka,"12/2020
(02/2023)","09/2026
(-)","1701.81
(1701.81)",88.25,8
,Total (2),,,,3841.25,494.3,
,Department of Telecommunications,,,,,,
,Telecommunication,,,,,,
739,"SETTING UP OF PHYSICAL INFRASTRUCTURE FOR THE NATIONAL INSTITUTE
OF COMMUNICATION FINANCE [NICF] AT GHITORNI
(National Communication Academy - Finance (Erstwhile NICF))
(709859)",Delhi,"10/2014
(04/2018)","02/2020
(10/2025)","248.2
(248.2)",236.91,98
