Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
172,"OMKARESHWAR FLOATING SOLAR POWER PROJECT [90 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(709820)",Madhya Pradesh,11/2022,"08/2024
(-)","646.17
(646.17)",0,0
173,"Subansiri Lower HE Project [2000 MW]
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(602096)","Multi-States
(Arunachal
Pradesh, Assam)",09/2003,"09/2010
05/2026","6285.33
(26075.5)",24685.13,96
174,"Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion
(National Thermal Power Corporation [NTPC])
(602961)",Odisha,09/2022,"05/2027
03/2028","11843.75
(12543)",3975,26
175,"BIKANER SOLAR POWER PROJECT
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(709748)",Rajasthan,05/2022,"04/2024
12/2025","5491.89
(5491.89)",4606.84,82
176,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO
POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(602181)",Sikkim,03/2019,"03/2024
12/2027","5748.04
(5748.04)",4495.28,68
177,"Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] -A
wholly owned subsidiary of NHPC Ltd. acquired through NCLT
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(605156)",Sikkim,03/2021,"05/2024
12/2025","938.29
(1828.11)",1554.15,90
178,"Khurja super Thermal Power Plant [2X660 MW]
(THDC India Limited)
(602194)",Uttar Pradesh,08/2019,"02/2024
08/2025","11089.42
(13276.2)",12429.05,96
179,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]
(National Thermal Power Corporation [NTPC])
(612142)",Uttar Pradesh,03/2024,"02/2030
(-)","17195
(17195)",1626,8
180,"Tapovan-Vishnugad HEP [4x130 MW]
(National Thermal Power Corporation [NTPC])
(602185)",Uttarakhand,11/2006,"03/2013
04/2029","2978
(10907.3)",7123.58,77
181,"Tehri Pumped Storage Plant Project [4x250 MW]
(THDC India Limited)
(602193)",Uttarakhand,06/2011,"06/2022
11/2025","4825.6
(8339)",7939.82,98
182,"Vishnugad Pipalkoti Hydro Electric Project [444 MW]
(THDC India Limited)
(602195)",Uttarakhand,01/2014,"12/2022
03/2027","3860.35
(6823.72)",4828.89,72
183,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia,
West Bengal
(Damodar Valley Corporation)
(400062)",West Bengal,02/2025,"06/2029
(-)","17673
(17673)",1183.7,1
184,"Rammam-III HEPP [3x40 MW]
(National Thermal Power Corporation [NTPC])
(602184)",West Bengal,09/2014,"09/2019
03/2029","1381.84
(1381.84)",1266,45
185,"Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6
(Damodar Valley Corporation)
(602538)",West Bengal,02/2021,"01/2024
12/2025","1037
(1106)",1085.39,91
,Total (31),,,,224064.24,129609.83,
,Transmission & Distribution,,,,,,
186,"Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool
1000MW
(Power Grid Corporation of India Limited [POWERGRID])
(611967)",Andhra Pradesh,09/2023,"09/2025
04/2026","1248.69
(1248.69)",820.26,78
187,"Augmentation of 1x1500 MVA 3rd 765/400 kV transformation capacity at Kurnool
New Substation
(Power Grid Corporation of India Limited [POWERGRID])
(612856)",Andhra Pradesh,12/2023,"09/2025
11/2025","163.61
(163.61)",50.72,39
188,"Transmission system strengthening at Kurnool- III PS for integration of additional RE
generation projects [POWERGRID Kurnool III PS RE Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617183)",Andhra Pradesh,03/2025,"12/2027
(-)","2886
(2886)",28.86,0
189,"Western Region Expansion Scheme-XXV
(Power Grid Corporation of India Limited [POWERGRID])
(611737)",Chhattisgarh,02/2023,"11/2023
09/2025","385.84
(385.84)",378.16,96
