Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
490,"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli,
Karnataka
(Employee's State Insurance Company [ESIC])
(612748)
(-)",Karnataka,"07/2019
(03/2025)","02/2027
(-)","150.92
(150.92)",6.76,10
491,"Construction of 200 Bedded [Upgradable to 500 Bedded including 50 beds of SST]
ESIC Hospital at Bibewadi, Pune
(Employee's State Insurance Company [ESIC])
(612188)
(N21000033)",Maharashtra,"05/2018
(03/2023)","09/2025
(08/2026)","429.25
(429.25)",323.98,74
492,"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.
(Employee's State Insurance Company [ESIC])
(612213)
(-)",Maharashtra,"10/2013
(08/2022)","08/2025
(09/2026)","194.93
(196.7)",114.39,65
493,"Upgradation & Extension of ESIC Hospital and Construction of PG Hostel / Staff
Housing for ESIC Hospital at Andheri, Mumbai
(Employee's State Insurance Company [ESIC])
(616691)
(-)",Maharashtra,"12/2008
(06/2009)","08/2025
(09/2026)","260.13
(260.13)",210.12,89
494,"Construction of 100 Bedded ESI Hospital at Duburi, Odisha.
(Employee's State Insurance Company [ESIC])
(612513)
(-)",Odisha,"12/2010
(02/2025)","06/2027
(-)","164.6
(164.6)",16.4,7
495,"Construction of 100 Bedded ESIC Hospital building and 32 Nos Residential Quarters
at Vallam Vadangal, SIPCOT, Sriperumbudur
(Employee's State Insurance Company [ESIC])
(612178)
(-)",Tamil Nadu,"02/2015
(03/2023)","06/2025
(03/2026)","152.95
(177.01)",123.22,99
496,"CONSTRUCTION OF 300 BEDDED HOSPITAL AT HARIDWAR
(Employee's State Insurance Company [ESIC])
(612259)
(-)",Uttarakhand,"02/2021
(12/2021)","10/2024
(03/2026)","102.4
(297.63)",322.55,81
,Total (13),,,,3234.03,1845.4,
,"Ministry of Ports, Shipping and Waterways",,,,,,
,Healthcare,,,,,,
497,"Establishment of 600 bed super specialty hospital with optional development of
Medical college and further expansion on PPP basis.
(Mumbai Port Trust [MPT])
(708662)
(-)",Maharashtra,"08/2019
(01/2022)","06/2026
(12/2027)","693
(693)",58,11
,Total (1),,,,693,58,
,Inland Waterways,,,,,,
498,"Jal Marg Vikas Project
(Inland Waterways Authority of India [IWAI])
(701565)
(N25000072)","Multi-States
(Bihar, Jharkhand,
Uttar Pradesh,
West Bengal)","01/2018
(02/2018)","12/2023
(12/2025)","5369.18
(5061.15)",3806.78,77
499,"Fairway Development in West Bengal Farakka - Kahelgaon
(Inland Waterways Authority of India [IWAI])
(611142)
(-)",Offshore,"01/2018
(08/2018)","07/2023
(04/2024)","177
(197)",383.41,100
,Total (2),,,,5546.18,4190.19,
,Shipping,,,,,,
500,"Development of Container Terminal at Tuna-Tekra, Deendayal Port on BOT Basis
Under PPP Mode
(Deendayal Port Trust)
(609424)
(-)",Gujarat,"10/2022
(03/2024)","03/2027
(-)","4243.64
(4243.64)",1145,40
501,"Construction of oil jetty No.8 at old kandla through internal resources
(Deendayal Port Trust [DPT])
(701568)
(-)",Gujarat,"02/2018
(02/2021)","02/2023
(07/2024)","100
(225.85)",186.47,90
502,"Replacement and revamping of pipeline projects in oil jetty area, Kandla
(Deendayal Port Trust [DPT])
(701570)
(-)",Gujarat,"09/2021
(09/2021)","09/2023
(03/2025)","171
(211.61)",137.51,71
503,"Mechanization of Berth No.14 for handling Containers and other cargo on DBFOT
basis - Phase II
(New Mangalore Port Authority)
(617804)
(-)",Karnataka,"12/2023
(06/2024)","03/2027
(-)","153.23
(153.23)",38.31,40
504,"Rewas Port Project
(Reliance Industries Ltd)
(400382)
(-)",Maharashtra,"12/2019
(01/2020)","03/2023
(-)","6000
(6000)",5999.89,88
505,"Setting up of a Floating Storage and Regasification Unit [FSRU] - Mumbai
(Mumbai Port Trust [MPT])
(701586)
(-)",Maharashtra,"11/2020
(04/2021)","11/2026
(11/2026)","900
(900)",65,0
506,"Deepening and Optimization of Inner Harbour facilities including development of
Western Dock on BOT basis to handle Cape size vessels
(Paradip Port Trust [PPT])
(701574)
(-)",Odisha,"05/2022
(01/2023)","12/2027
(10/2028)","3004.63
(3004.63)",1277.52,50
507,"Berth No. 2 [previously Berth 3] of HDC Mechanization Project
(Haldia Dock Complex, Syama Prasad Mookerjee Port Authority)
(701576)
(-)",West Bengal,"11/2022
(03/2023)","09/2025
(01/2026)","298.26
(298.26)",480,100
508,"Shalukkhali Liquid Cargo Handling Facility Development Project
(Haldia Dock Complex, Syama Prasad Mookerjee Port Authority)
(701577)
(-)",West Bengal,"01/2022
(08/2022)","08/2025
(-)","253.65
(253.65)",9.28,0
,Total (9),,,,15124.41,9338.98,
