Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
24,"Capacity Augmentation in the stretch of DhulePimpalgaon section of NH60 Km.
261.720 to Km. 380.000 by Construction of Slip/Service Road on either side at various
locations total length 30.30 Km LHSRHS and Flyover 2 x 30m at Sawadgaon Phata
Km. 310.415
(NHAI)
(619043)",Maharashtra,"12/2025
(04/2026)","10/2026
(10/2027)","341.63
(-)"
25,"Widening and Strengthening of existing S/L, I/L, & D/L to 2 Lane with PS from Km
256/455 to 256/503, 256/820 to 256/960, 265/760 to 266/010, 266/010 to 266/800,
270/975 to 271/055, 276/460 to 276/560, 276/560 to 276/700, 276/700 to 277/480,
285/780 to 288/290, 288/290 to 291/050 and construction of 3 Nos. of Bypass from Km
266/800 to 267/300, 270/025 to 270/975, & 284/700 to 285/780 on NH-53 under NHO
in Annual Plan 2022-23 for the State of Odisha.
(MoRTH)
(617918)",Odisha,"03/2023
(06/2026)","12/2027
(-)","174.21
(-)"
26,"Rehabilitation & Upgradation of Thorrur to Nehru Nagar section to Two Lane with
Paved shoulders from Km 109/420 to Km 178/500 of NH 930P in the state of
Telangana on EPC mode under Annual Plan 2022-2023
(MoRTH)
(619265)",Telangana,"01/2025
(07/2026)","07/2028
(07/2028)","675.45
(-)"
27,"Realignment of Rudrapur-Kathgodam Section of NH-87 New NH-109 From Design
Chainage 000 Existing Chainage Km.54050 To Design Chainage 7875 Existing
Chainage Km.61550 Due To Proposed Expansion Of Pantnagar Airport in the state of
Uttarakhand.
(NHAI)
(619221)",Uttarakhand,"08/2025
(06/2026)","09/2027
(09/2027)","252.97
(-)"
,Total (6),,,,3509.62
,Ministry of Steel,,,,
,Steel,,,,
28,"Super accelerated cooling system (Uniform Cooling) for high strength plates in Plate
Mill at BSP
(Steel Authority of India Limited (SAIL))
(944288)",Chhattisgarh,"06/2025
(06/2025)","12/2026
(-)","192.21
(-)"
29,"Installation of 140 TPH Walking Beam type Reheating Furnace in Plate Mill at BSP
(Steel Authority of India Limited (SAIL))
(505491)",Chhattisgarh,"02/2026
(03/2026)","03/2028
(-)","268.36
(-)"
30,"Stamp Charge Battery No.7 Battery Proper at RSP
(Steel Authority of India Limited (SAIL))
(738679)",Odisha,"09/2024
(10/2024)","03/2028
(-)","2584.41
(-)"
31,"Stamp Charge Battery No.12 By-product Plant at RSP
(Steel Authority of India Limited (SAIL))
(834015)",Odisha,"09/2024
(10/2024)","03/2028
(-)","1140.07
(-)"
32,"Stamp Charge Battery No.7 Coke Dry Cooling Plant at RSP
(Steel Authority of India Limited (SAIL))
(478482)",Odisha,"02/2026
(02/2026)","08/2028
(-)","1064.55
(-)"
33,"New Product Testing Laboratory for NPM, SPP & NHSM at RSP
(Steel Authority of India Limited (SAIL))
(635651)",Odisha,"06/2025
(07/2025)","08/2027
(-)","155.26
(-)"
34,"Implementation of Treatment System-2 Under ZLD at RSP
(Steel Authority of India Limited (SAIL))
(589703)",Odisha,"02/2025
(03/2025)","09/2026
(-)","216.02
(-)"
35,"Stamp Charge Battery No.12 By-product Plant at IISCO Steel Plant
(Steel Authority of India Limited (SAIL))
(364934)",West Bengal,"01/2025
(02/2025)","07/2028
(-)","999.46
(-)"
36,"Stamp Charge Battery No.12 Coke Dry Cooling Plant at IISCO Steel Plant
(Steel Authority of India Limited (SAIL))
(425828)",West Bengal,"01/2025
(02/2025)","07/2028
(-)","706.51
(-)"
,Total (9),,,,7326.85
