Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
147,"300 MW SPP part of 510 MW CPSU scheme
(NLC India Limited [NLCIL])
(612819)",Rajasthan,"07/2022
(03/2023)","09/2024
(12/2025)","1813
(1813)",1038.13,79
148,"50 MW Solar PP Minedout Area
(NLC India Limited [NLCIL])
(615327)",Tamil Nadu,"08/2023
(02/2024)","03/2025
(12/2025)","218.03
(218.03)",161.73,64
149,"Ghatampur Thermal Power Plant 3 X 660 MW
(NLC India Limited [NLCIL])
(400259)",Uttar Pradesh,"07/2015
(02/2016)","11/2020
(12/2025)","17237.8
(21780.9)",20510.47,92
,Total (5),,,,46865.63,24530.96,
,Railways,,,,,,
150,"Dharamjaigarh-Korba
(Railway)
(400203)",Chhattisgarh,"05/2018
(03/2017)","12/2026
(08/2026)","1686.22
(1686.22)",350.21,41
151,"Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia
line]
(Ministry of Coal)
(400416)",Jharkhand,"02/2018
(05/2022)","06/2025
(06/2026)","1799.64
(2564.34)",1462.35,61
,Total (2),,,,3485.86,1812.56,
,Ministry of Power,,,,,,
,Coal,,,,,,
152,"Tubed Coal Mine
(Damodar Valley Corporation)
(400192)",Jharkhand,"07/2016
(10/2016)","05/2026
(05/2026)","1581
(1581)",597.5,35
153,"Badam Coal Mining project of NTPC
(National Thermal Power Corporation [NTPC])
(603293)",Jharkhand,"02/2019
(09/2019)","12/2056
(04/2027)","502
(784)",313.88,59
,Total (2),,,,2083,911.38,
,Electricity Generation,,,,,,
154,"Dibang Multipurpose Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602182)",Arunachal Pradesh,"02/2023
(02/2023)","02/2032
(02/2032)","31876.39
(31876.4)",3639.39,16
155,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1938.85
(1938.85)",49.69,3
156,"186 MW Tato-I H E Project
(North Eastern Electric Power Corporation Limited)
(611699)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1750.07
(1750.07)",116.08,2
157,"Buxar Thermal Power Project [1320 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602579)",Bihar,"03/2019
(06/2019)","01/2024
(12/2025)","10439.09
(13756.6)",12426.32,92
158,"Lara Super Thermal Power Project Stage-II [2 x 800 MW]
(National Thermal Power Corporation [NTPC])
(611930)",Chhattisgarh,"08/2023
(08/2023)","06/2028
(-)","15530
(15530)",2812,15
159,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]
(National Thermal Power Corporation [NTPC])
(617188)",Chhattisgarh,"09/2024
(09/2024)","09/2029
(-)","9791
(9791)",865.06,8
160,"Bagodara Solar Power Project
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(709747)",Gujarat,"03/2021
(05/2021)","12/2025
(12/2025)","339.35
(339.35)",317.59,51
161,"Dhaulasidh Hydro Electric Project [66 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602582)",Himachal Pradesh,"10/2020
(05/2021)","11/2025
(03/2027)","687.97
(1511.87)",949.59,68
162,"Luhri Stage-I Hydro Electric Project [210 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602593)",Himachal Pradesh,"11/2020
(11/2020)","01/2026
(10/2029)","1810.56
(3584.53)",1781.54,51
163,"382 MW Sunni Dam HEP
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602633)",Himachal Pradesh,"NA
(04/2018)","03/2027
(-)","2615
(2615)",495.57,0.5
164,"Sunni Dam Hydro Electric Project [382 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(611586)",Himachal Pradesh,"01/2023
(01/2023)","04/2028
(12/2029)","2614.51
(4540.71)",970.01,30
165,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW
(National Hydroelectric Power Corporation Limited [NHPC])
(602525)","Jammu and
Kashmir","10/2014
(02/2018)","04/2020
(12/2026)","8112.12
(12728)",7457.57,73
