Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1235,"Rehabilitation and upgradation to two lane with paved shoulders from Km 0/000 to
72/6 of NH-365 Nakrekal to Tanamcherla section under NHDP IV in the state of
Telangana under EPC mode
(MoRTH)
(618026)",Telangana,"06/2017
(11/2017)","10/2019
(-)","605.08
(605.08)",0,0
1236,"Widening to two lane with paved shoulders from Km 0/000 to Km 79/300 of
Kalwakurthy - Kollapur section of NH-167K in the state of Telangana under annual
plan 2021-22 on EPC mode under NHO.
(MoRTH)
(618104)",Telangana,"03/2022
(07/2023)","07/2025
(-)","886.69
(886.69)",557.4,78
1237,"Widening and strengthening to 4 lane / 2-lane with paved shoulders of Mahabubnagar
- Chincholi section from km 60/255 to Km 102/834 of NH-167N in the State of
Telangana on EPC mode.
(MoRTH)
(618105)",Telangana,"03/2022
(10/2023)","10/2025
(-)","631.49
(631.49)",71.91,0
1238,"Widening and Strengthening to 2/4 lane with paved shoulders of Mahabubnagar
Chincholi section from Km 0/0 to Km 60/255 of NH-167N in the state of Telangana
under Annual plan 2021-22 on EPC modepackage-I under NHO Job No.167N-TS-
2021-22-75
(MoRTH)
(618106)",Telangana,"01/2022
(01/2023)","01/2025
(-)","703.68
(703.68)",252.3,87
1239,"Widening & strengthening of existing carriageway in 2 lane with paved shoulders from
km 25/0 to 59/2 design Ch km 25.467 to 59.200 of NH - 353C on EPC mode in the
state of Telangana
(MoRTH)
(618132)",Telangana,"02/2018
(06/2018)","06/2020
(-)","206.13
(206.13)",152.77,98
1240,"Widening and Improvement of existing carriage way to 2 lane with paved shoulders
from Km. 86/160 to 131/730 of Jangaon-Duddeda section of NH-365B in the State of
Telangana on EPC Mode
(MoRTH)
(618141)",Telangana,"01/2022
(12/2022)","12/2024
(06/2025)","423.48
(423.48)",159.94,0
1241,"Widening to Two lane with Paved shoulders from km.40/410 to 84/037 of
Thirumanlagiri-- Suryapet Section of NH-365B earstwhile section of SH-16
(MoRTH)
(618142)",Telangana,"01/2017
(05/2017)","05/2019
(05/2019)","244.54
(244.54)",0,99
1242,"widening to two lane with Paved shoulders from Km.0/970 to Km.40/410 of Jangaon -
Thirumal giriof NH- 365B in the state of Telanganaon EPC mode under NHO Annual
Plan 2016-17
(MoRTH)
(618143)",Telangana,"03/2017
(11/2017)","10/2019
(10/2019)","197
(197)",0,92
1243,"Rehabilitation and Up-gradation of Valigonda to Thorrur Section to Two Lane with
Paved Shoulders from Km 39.180 to Km 108.300 of NH-930P in the State of
Telangana on Engineering, Procurement and Construction EPC Basis
(MoRTH)
(618186)",Telangana,"01/2022
(12/2022)","12/2024
(04/2025)","549.28
(549.28)",280.02,82
1244,"Widening to two lane with paved shoulders of 'Bodhan Basar Bhainsa ' section from
Km 38/900 to 95/300 of NH-161BB in the state of Telangana under Annual Plan 2021-
22 on EPC Mode under NH O.
(MoRTH)
(618190)",Telangana,"03/2022
(03/2023)","03/2025
(-)","644.45
(644.45)",348.93,0
1245,"Widening to 2 lane with Paved Shoulders of Siddipet-Elkathurthy section from Km
69/978 to km 133/619 of NH-765DG in the State of Telangana under Annual plan
2021-22 on EPC mode
(MoRTH)
(618196)",Telangana,"01/2022
(12/2022)","12/2024
(01/2025)","578.85
(578.85)",0,76
1246,"Widening to 2 lane with Paved Shoulders of Medak - Siddipet section from Km 0/0 to
km 69/978 of NH-765DG in the State of Telangana under Annual plan 2021-22 on
EPC mode
(MoRTH)
(618197)",Telangana,"01/2022
(01/2023)","01/2025
(07/2025)","882.18
(882.18)",347.42,73
1247,"Improvement of Geometrics of Kalkallu to Gundla Pochanpalli from Km 454.00 to Km
471.00 of NH-44
(National Highways Authority of India [NHAI])
(618558)",Telangana,"03/2022
(01/2023)","01/2025
(07/2026)","955.49
(903.17)",427.03,35
1248,"6L of existing 4L from Gundlapochampally to Bowenpally from km 471.300 to km
481.331 of NH-44
(National Highways Authority of India [NHAI])
(618559)",Telangana,"12/2021
(08/2022)","07/2024
(04/2026)","521.53
(528.21)",256.27,50
1249,"Improvement of Geometrics of Thondupally to Kothur from Km 22.300 to Km 34.14 of
NH-44
(National Highways Authority of India [NHAI])
(618560)",Telangana,"03/2022
(03/2023)","09/2024
(-)","541.58
(527.43)",45.13,10
1250,"Khammam-Devarapalle Pkg I [4L Access Controlled Greenfield from Thallampadu
village to Somavaram village Design Chainage 0000 to 33604]
(National Highways Authority of India [NHAI])
(618746)",Telangana,"01/2021
(10/2022)","10/2024
(01/2026)","797.36
(1337.18)",570.63,91
1251,"4L of Kodad Design Km 0.00/Existing Km 185.00 of NH-65 to Khammam Design Km
31.800/Existing Km 29.400 of NH-365A
(National Highways Authority of India [NHAI])
(618945)",Telangana,"01/2021
(01/2022)","05/2024
(05/2025)","1149.17
(1606.99)",688.18,99
1252,"Rehabilitation and up-gradation of road from km 16.077 to km 43.935 total length
27.858 km of Lalchara-Kanchanpur section via Shivbari on NH-44A to 2 lane with
paved shoulder in the state of Tripura on EPC Mode Pkg-2 under BharatMala
Pariyojana Manu-Simlung -2
(NHIDCL)
(618307)",Tripura,"02/2022
(01/2023)","01/2025
(04/2025)","456.88
(456.88)",0,0
1253,"Improvement and Widening to 2-lane with paved shoulder of road from design Km
36.000 Rangamati to design Km 72.000 Pati Chhari Total length 36.000 Km on
Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode under
JICA ODA Loan Phase VI Package-3
(NHIDCL)
(618368)",Tripura,"01/2024
(09/2024)","09/2026
(-)","670.9
(670.9)",0,6
