Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
509,"Quadrupling between Gandhidham Adipur with Y connection at Adipur for providing
direct entry towards Mundra Port and Bhuj and high level platform at Gopalpur 11Kms
(PCE/WR)
(611944)",Gujarat,02/2023,"03/2026
03/2026","152.44
(152.44)",20,68
510,"Petlad Bhadran 23 Kms
(PCE/WR)
(611945)",Gujarat,05/2022,"05/2030
05/2030","307.11
(307.11)",82,8
511,"Choranda Motikoral 18 Kms
(PCE/WR)
(611969)",Gujarat,08/2023,"10/2026
(-)","246
(246)",0,0
512,"Samlaya Timba Road 54 km
(PCE/WR)
(611970)",Gujarat,02/2023,"03/2030
03/2030","670.17
(670.17)",102,12
513,"Samni Jambusar 24 km
(PCE/WR)
(611971)",Gujarat,05/2022,"03/2030
03/2030","350
(349.93)",87,32
514,"Jambusar Kavi 26 Kms
(PCE/WR)
(611972)",Gujarat,04/2023,"12/2026
(-)","318
(318)",0,0
515,"miyagam karjan Choranda maalsar 37 kms
(PCE/WR)
(611973)",Gujarat,06/2023,"12/2026
(-)","450
(450)",0,0
516,"Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms
(PCE/WR)
(611974)",Gujarat,08/2023,"12/2026
(-)","1430
(1430)",0,0
517,"Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives
Manufacturing at
(PCE/WR)
(611977)",Gujarat,02/2023,"02/2025
(-)","487
(487)",108.69,0
518,"Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at
(PCE/WR)
(611978)",Gujarat,03/2023,"03/2025
(-)","158
(158)",47.31,0
519,"Sabarmati Setting up of Maintenance Facilities for Train Sets Phase ii
(PCE/WR)
(611979)",Gujarat,04/2023,"06/2025
(-)","250
(250)",0,0
520,"4th LINE BETWEEN BAREJADI NANDEJ-SANAND-AHMEDABAD BYPASS
(Western Railway)
(612072)",Gujarat,02/2023,"03/2027
03/2027","961.67
(961.67)",132.63,16
521,"Redevelopment of Ahmedabad railway station and associated infrastructure on
engineering, procurement and construction mode
(Ministry of Railways)
(613786)",Gujarat,11/2023,"03/2028
(-)","2379
(2379)",607.69,15
522,"Miyagam-Karjan-Dabhoi-Samlaya [GC]
(Western Railway [WR] - II)
(705458)",Gujarat,01/2017,"03/2021
12/2026","844
(1600)",693,68
523,"Modasa-Shamlaji Road Railway Line Project
(SECR)
(706757)",Gujarat,04/2008,"03/2025
03/2027","262
(262)",203,58
524,"Rajkot - Kanalus Doubling Project [111.2 Kms]
(Western Railway [WR] - II)
(706763)",Gujarat,12/2021,"10/2026
10/2026","1080.58
(1080.58)",731,72
525,"NADIAD-PETLAD [37.26 KM]
(WR)
(709812)",Gujarat,,"06/2030
06/2030","461.91
(461.91)",75,7
526,"NEW BG LINE INTERSECTION [5 NOS] BETWEEN GERATPUR-SANAND &
BOTAD-AHMEDABAD [16.51 KM] [PB#29/NR/202
(SECR)
(709813)",Gujarat,,"10/2027
10/2027","437.21
(437.21)",43,15
527,"Bhiwani - Dobh Bahali Doubling Project [42.30 Km]
(North Western Railway [NWR])
(611884)",Haryana,02/2023,"02/2028
02/2028","471
(471)",187.33,57
528,"Gomoh - Flyover for DN trains
(East Central Railway [ECR] - II)
(705765)",Jharkhand,01/2018,"03/2026
03/2026","686
(686)",536.04,59
529,"Lodhma - Piska - Link Line bypassing Hatia/Ranchi with Y connection
(South Eastern Railway [SER] - I)
(705785)",Jharkhand,03/2019,"06/2026
05/2027","473
(473)",284.26,4
530,"Construction of New BG line between Hassan to Belur [27 Km]
(South Western Railway [SWR] - II)
(400023)",Karnataka,12/2025,"04/2028
04/2027","749
(749)",0,0
531,"Yeshvanthpur - Channasandra Doubling Project [21.70 Km]
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(703585)",Karnataka,10/2019,"12/2024
06/2026","314
(314)",144,59
532,"New Railway Line between Ginigera and Raichur [165.57 km]
(South Western Railway [SWR] - II)
(705434)",Karnataka,05/2009,"03/2019
03/2027","2565
(3034.98)",2063.57,66
533,"Gadag-Wadi New Railway Line [257 km]
(South Western Railway [SWR] - II)
(705490)",Karnataka,08/2017,"03/2027
12/2027","2842
(6700)",1721.14,30
534,"Kadur - Chickamagalur - Sakleshpur [93km]
(South Western Railway [SWR] - II)
(705492)",Karnataka,11/2016,"06/2025
12/2025","825
(825)",770.18,83
535,"Bagalkot-Kudachi New Railway Line [142 km]
(South Western Railway [SWR] - II)
(705495)",Karnataka,11/2012,"03/2027
01/2027","1378
(1649)",670.74,35
536,"Tumkur-Chitradurga-Davangere New Rail Line Project [191 km]
(South Western Railway [SWR] - II)
(705496)",Karnataka,01/2017,"03/2019
12/2027","1876
(1876)",516.17,13
537,"SHIMOGA - SHIKARIPURA - RANEBENNUR [96 Km]
(South Western Railway [SWR] - II)
(705761)",Karnataka,02/2023,"12/2027
06/2028","1454
(1454)",69.58,11
538,"Belgaum-Dharwad via Kittur [73.10Km]
(South Western Railway [SWR] - II)
(706835)",Karnataka,03/2025,"12/2027
03/2029","1591
(1591)",0.75,0
