Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
112,"4L of near Satai Ghat to Chowka section of NH-34 from D. Ch. 89.875 to D. Ch.
145.000 Package-3
(National Highways Authority of India [NHAI])
(618667)",Madhya Pradesh,"10/2024
(10/2025)","10/2027
(-)","1005.59
(882.21)"
113,"4-lanning of Rahatgarh to Berkhedi section of NH-146 from Design Ch 124470 to Ch.
134.549
(National Highways Authority of India [NHAI])
(618671)",Madhya Pradesh,"03/2025
(12/2025)","12/2027
(-)","618.33
(342.69)"
114,"4-lanning of Gyaraspur to Rahatgarh section of NH-146 from Design Ch. 88361 to Ch
124470 in the state of MP on HAM mode
(National Highways Authority of India [NHAI])
(618672)",Madhya Pradesh,"10/2024
(11/2025)","11/2027
(-)","903.44
(592.44)"
115,"Outer Ring Road of Jabalpur Town from Amjhar Road including Airport Connectivity to
barela Pkg-V
(National Highways Authority of India [NHAI])
(618688)",Madhya Pradesh,"10/2024
(10/2025)","10/2027
(-)","794.7
(539.9)"
116,"Bypass on Western side of Gwalior City
(National Highways Authority of India [NHAI])
(618619)",Madhya Pradesh,"03/2025
(01/2026)","01/2028
(-)","998.95
(-)"
117,"Construction of 6 lane Indore western bypass from km 0000 to Km 34000 Pkg -l in the
State of Madhya Pradesh on Hybrid Annuity Mode under NHO
(National Highways Authority of India [NHAI])
(618932)",Madhya Pradesh,"02/2024
(01/2026)","12/2027
(-)","1534.7
(1472.68)"
118,"4L of Budhni to Shahganj Bypass End Package-III of NH-146B from Km. 73.750 to
Km. 102.000
(National Highways Authority of India [NHAI])
(618962)",Madhya Pradesh,"03/2024
(08/2025)","08/2027
(-)","1102.97
(770.21)"
119,"4 Laning of Sandalpur to Nasrullaganj Pkg-1 section of NH-146B Length 43.2 Km.
(National Highways Authority of India [NHAI])
(618964)",Madhya Pradesh,"03/2025
(01/2026)","01/2028
(-)","1425.98
(-)"
120,"Six laning with both sides Service Road of Ayodhya Bypass from Design Km 0000
near Ashram Tiraha on NH-46 to Km 16439 end at Ratnagiri Tiraha on Nh-146
(National Highways Authority of India [NHAI])
(618966)",Madhya Pradesh,"02/2024
(08/2025)","08/2027
(-)","1123.17
(1103.22)"
121,"Construction of Standalone Flyover cum ROB from Design Ch.66.600 to Design
Ch.68.800 in Gadchandur Town on NH-353B
(National Highways Authority of India [NHAI])
(618939)",Maharashtra,"02/2025
(07/2025)","07/2027
(-)","191.31
(107.76)"
122,"Satara Km 725.000 to Pune Km 865.350 of NH - 4 New NH - 48 in Maharashtra
(National Highways Authority of India [NHAI])
(619069)",Maharashtra,(10/2010),"05/2022
(-)","361.72
(425.51)"
123,"Construction of 7 Nos of Standalone safety structures/works at different locations on
various NHs
(National Highways Authority of India [NHAI])
(618627)",Maharashtra,"01/2025
(07/2025)","01/2027
(-)","168.52
(112.03)"
124,"Rehabilitation /Upgradation from Lagam to Alapalli section Desing Km. 199/400 to km
227/400 Length 28.0 Km to 2 lane with Paved Shoulders/ 4 lane configuration section
of NH-353 C Sakoli-Wadsa-Armori-Gadchiroli-Ashti-Alapalli Sironcha in Gadchiroli
District on EPC mode in the state of Maharashtra.
(MoRTH)
(618134)",Maharashtra,"02/2023
(09/2024)","09/2026
(-)","459.39
(-)"
125,"Rehabilitation and upgradation from ch km 50/200 to 56/800 and km 62/600 to 100/403
of Kolde to Visarwadi Near Junction with NH-6 section of NH 752G total length 44.40
to two-lane with paved shoulder / four lanes in the State of Maharashtra on EPC mode.
(MoRTH)
(618176)",Maharashtra,"03/2025
(01/2026)","01/2028
(01/2026)","349.08
(-)"
126,"Construction of 6 lane flyover from Khapari ROB to Mihan Interchange design
chainage km 8760 to 11450 L- 2.69 km and upgradation of existing 4L PS road to
6LPS with service road by flexible pavement design chainage km 11450 to 14500 L-
3.05 [total project length 5.74 km] in section of Nagpur - Hyderabad NH-44 Old NH-7 in
Nagpur district in the state of Maharashtra on HAM mode.
(MoRTH)
(617912)",Maharashtra,"03/2024
(10/2025)","10/2027
(-)","619.55
(-)"
127,"Rehabilitation And Upgradation to four lane with paved shoulder configuration from km
24350 to km 61875 Jawale - Borgaon Kale of NH-63 in the State of Maharashtra on
EPC mode under Annual Plan 2024-25 Total length - 37.525 Km.
(MoRTH)
(617938)",Maharashtra,"12/2024
(09/2025)","03/2027
(-)","574.18
(-)"
