Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
84,"BHATADI EXPANSION OC
(Western Coalfields Limited [WCL])
(400033)",Maharashtra,05/2022,"03/2028
(-)","580.61
(580.61)",20.52,26
85,"AMALGAMATED YEKONA I & YEKONA II OC
(Western Coalfields Limited [WCL])
(400177)",Maharashtra,08/2015,"03/2025
03/2026","727.28
(727.28)",524.54,80
86,"DINESH[MAKARDHOKRA-III] OC
(Western Coalfields Limited [WCL])
(400178)",Maharashtra,02/2020,"03/2027
(-)","822.88
(822.88)",621.73,35
87,"DHUPTALA OC [SASTI UG TO OC ]
(Western Coalfields Limited [WCL])
(400353)",Maharashtra,10/2021,"03/2028
(-)","711.01
(711.01)",80.33,17
88,"SAONER UG MINE -1 EXPANSION 1.2 MTY
(Western Coalfields Limited [WCL])
(615184)",Maharashtra,01/2022,"03/2028
(-)","228.64
(228.64)",139.81,68
89,"SASTI EXPANSION OPENCAST
(Western Coalfields Limited [WCL])
(615186)",Maharashtra,08/2020,"03/2026
(-)","319.04
(319.04)",90.96,20
90,"NEW MAJRI UG TO OC 3 MTY COST PLUS
(Western Coalfields Limited [WCL])
(615188)",Maharashtra,09/2022,"03/2027
(-)","402.27
(402.27)",41.08,24
91,"MAKARDHOKRA EXPN OC 4.9 MTY
(Western Coalfields Limited [WCL])
(615189)",Maharashtra,06/2022,"03/2026
(-)","361.87
(361.87)",67.64,12
92,"SINGHORI DEEP OC MIN 2.0 MTY
(Western Coalfields Limited [WCL])
(615190)",Maharashtra,05/2022,"03/2029
(-)","335.75
(335.75)",26.64,6
93,"GOKUL EXTENSION OC MINE
(Western Coalfields Limited [WCL])
(615192)",Maharashtra,04/2021,"03/2026
(-)","309.58
(309.58)",29.85,8
94,"KOLGAON EXPANSION DEEP OC MINE 0.80 MTY
(Western Coalfields Limited [WCL])
(615199)",Maharashtra,09/2023,"03/2027
(-)","198.71
(198.71)",0.71,3
95,"BALLARPUR NORTH WEST OC MINE
(Western Coalfields Limited [WCL])
(615330)",Maharashtra,12/2022,"03/2029
(-)","360.81
(360.81)",0,4
96,"GADEGAON OC 3 MTY
(Western Coalfields Limited [WCL])
(615331)",Maharashtra,10/2023,"03/2030
(-)","497.41
(497.41)",0,0
97,"GHONSA EXPANSION DEEP OC MINE 1.5 MTY
(Western Coalfields Limited [WCL])
(615914)",Maharashtra,03/2021,"03/2029
(-)","184.71
(184.71)",10.48,6
98,"AMLG GAURI PAUNI EXPANSION OC - 9.0 MTY
(Western Coalfields Limited [WCL])
(615916)",Maharashtra,04/2024,"03/2030
(-)","1225.21
(1225.21)",78.41,1
99,"GAURIDEEP/GAURI CENTRAL OCP 7.00 MTY CP
(Western Coalfields Limited [WCL])
(615917)",Maharashtra,06/2024,"03/2030
(-)","973.07
(973.07)",0.11,0
100,"RPR OF BHANEGAON OC
(Western Coalfields Limited [WCL])
(615918)",Maharashtra,09/2022,"03/2028
(-)","405.2
(405.2)",11.71,8
101,"N. EXTN. MUNGOLI NIRGUDA D OCP 6.125 MTY
(Western Coalfields Limited [WCL])
(615919)",Maharashtra,06/2024,"03/2030
(-)","1024.91
(1024.91)",165.54,0
102,"NILJAI EXPANSION DEEP OCP
(Western Coalfields Limited [WCL])
(615982)",Maharashtra,08/2016,"03/2022
03/2026","319.75
(319.75)",367.6,79
103,"UKNI DEEP OC MINE -COST PLUS
(Western Coalfields Limited [WCL])
(616044)",Maharashtra,01/2019,"03/2021
03/2026","237.06
(237.06)",159.21,87
104,"AMALGAMATED INDER-KAMPTEE DEEP OC
(Western Coalfields Limited [WCL])
(616050)",Maharashtra,09/2018,"03/2024
03/2026","235.9
(235.9)",237.12,98
105,"ADASA UG TO OC MINE
(Western Coalfields Limited [WCL])
(616223)",Maharashtra,11/2018,"03/2024
03/2026","316
(316)",308.84,86
106,"AMAL GONDEGAON GHATROHANA EXPN OCP
(Western Coalfields Limited [WCL])
(616229)",Maharashtra,09/2024,"03/2030
(-)","668.54
(668.54)",0.53,0
107,"WAGHODA UG MINE [1.02 MTY]
(Western Coalfields Limited [WCL])
(617233)",Maharashtra,01/2025,"03/2030
(-)","379.3
(379.3)",0,0
108,"KOLARPIMPRI EXPANSION OC [2.5 MTY]
(Western Coalfields Limited [WCL])
(617278)",Maharashtra,02/2025,"03/2030
(-)","630.37
(630.37)",0,0
109,"Master Plan for Jharia and Raniganj Coalfields
(Bharat Coking Coal Limited [BCCL])
(400313)","Multi-States
(Jharkhand, West
Bengal)",08/2009,"08/2019
12/2028","2661.73
(2661.73)",787.75,43
110,"BINA KAKRI AMALGAMATION EXPANSION OPENCAST MINING PROJECT [14
MTPA]
(Northern Coalfields Limited [NCL])
(400369)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)",08/2020,"03/2024
03/2027","836.42
(836.42)",778.77,89
111,"KHADIA EXPANSION [10 TO 16 MTPA] OPENCAST MINING PROJECT
(Northern Coalfields Limited [NCL])
(615183)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)",06/2021,"03/2025
03/2027","491.67
(491.67)",202.18,40
112,"SUBHADRA OCP
(Mahanadi Coalfields Limited (MCL))
(400165)",Odisha,05/2021,"03/2029
03/2029","1693.81
(1693.81)",1278.66,42
113,"SIARMAL OCP
(Mahanadi Coalfields Limited (MCL))
(400166)",Odisha,02/2021,"03/2029
03/2028","5194.95
(5194.95)",3455.65,54
114,"BHUBANESWARI EXPANSION OCP
(Mahanadi Coalfields Limited (MCL))
(400179)",Odisha,01/2023,"03/2031
(-)","3145.45
(6321.73)",1250.66,21
