Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
371,"Installation of Bitumen Manufacturing Unit along with allied facilities at Barauni
Refinery
(MinistryofPetroleumNaturalGas)
(709777)",Bihar,"01/2022
(01/2022)","04/2025
(10/2026)","389.35
(340)",77.72,50
372,"City Gas Distribution Projects at Darbhanga, Madhubani, Supaul, Sitamarhi and
Sheohar districts
(Bharat Petroleum Corporation Limited [BPCL])
(709792)",Bihar,"12/2022
(12/2022)","03/2030
(03/2030)","3638
(3638)",428.18,29
373,"City Gas Distribution Projects at Gopalganj, Siwan, West Champaran, East
Champaran and Deoria districts
(Bharat Petroleum Corporation Limited [BPCL])
(709793)",Bihar,"12/2022
(12/2022)","06/2030
(06/2030)","3919
(3919)",431.68,21
374,"City Gas Distribution [CGD] Project in Kondagaon, Bastar, Sukma, Narayanpur,
Bijapur & Dantewada GA
(Ministry of Petroleum & Natural Gas)
(617819)",Chhattisgarh,"06/2022
(06/2022)","06/2030
(06/2030)","557.04
(557.04)",8.33,2
375,"Redevelopment of Sobhasan Complex
(Oil and Natural Gas Corporation Limited [ONGC])
(400087)",Gujarat,"08/2021
(08/2021)","02/2026
(02/2026)","885.63
(1286.67)",876.84,80
376,"Redevelopment of Santhal Field [Onshore-Mehsana Asset]
(Oil and Natural Gas Corporation Limited [ONGC])
(400167)",Gujarat,"02/2017
(02/2017)","03/2026
(03/2026)","1162.56
(1162.56)",1140.98,95
377,"Redevelopment of Linch Field
(Oil and Natural Gas Corporation Limited [ONGC])
(400169)",Gujarat,"04/2021
(04/2021)","03/2025
(03/2026)","631.03
(860.04)",572.91,87
378,"Petrochemical and Lube Integration Project at Gujarat Refinery
(Ministry of Petroleum & Natural Gas)
(701329)",Gujarat,"09/2020
(09/2020)","08/2024
(06/2026)","18936
(17825)",12940.13,85
379,"Installation of new Biturox Unit along with allied facilities at Gujarat Refinery
(MinistryofPetroleumNaturalGas)
(709778)",Gujarat,"01/2022
(01/2022)","08/2025
(09/2026)","328.29
(287)",172.32,67
380,"Commercial Polymer Flooding Project in Bechraji field
(Oil and Natural Gas Corporation Limited [ONGC])
(709838)",Gujarat,"01/2022
(01/2022)","11/2024
(05/2027)","621.4
(739.02)",137.74,24
381,"Restoration of Gas Terminal, Phase-I [Part-A], Hazira
(Oil and Natural Gas Corporation Limited [ONGC])
(709840)",Gujarat,"05/2022
(05/2022)","02/2025
(12/2025)","249.43
(249.43)",210.42,95
382,"Old Pipe Line Replacement [OPRP] Group-A
(Oil and Natural Gas Corporation Limited [ONGC])
(709841)",Gujarat,"07/2021
(07/2021)","07/2025
(03/2026)","173.03
(169.84)",154.84,89
383,"Kalol Redevelopment Project, Ahmedabad Asset
(Oil and Natural Gas Corporation Limited [ONGC])
(709842)",Gujarat,"08/2022
(08/2022)","03/2027
(03/2027)","1487.41
(1487.41)",937.75,62
384,"Revamping of SV Stations, Gas Terminal & Kribhco Terminal
(Oil and Natural Gas Corporation Limited [ONGC])
(709845)",Gujarat,"11/2022
(11/2022)","08/2026
(08/2026)","837.34
(837.34)",301.21,57
385,"Indian Oil Technology Development and Deployment Centre at R&D Campus-II,
Faridabad
(Ministry of Petroleum & Natural Gas)
(604853)",Haryana,"06/2019
(06/2019)","12/2022
(10/2026)","2281.94
(3200)",1850.35,64
386,"Poly Butadiene Rubber plant at Panipat
(Indian Oil Corporation Limited [IOCL])
(611917)",Haryana,"03/2022
(03/2022)","03/2025
(06/2026)","1459
(2531.44)",1418.65,77
387,"Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA
(Ministry of Petroleum & Natural Gas)
(701289)",Haryana,"02/2021
(02/2021)","09/2024
(06/2026)","34627
(36225)",27366.2,91
388,"Installation of Multiple Effect Evaporator [MEE] for ETP-1, 2 & 4 of Panipat Refinery
and Petrochemical Complex.
(MinistryofPetroleumNaturalGas)
(709783)",Haryana,"12/2020
(12/2020)","06/2023
(06/2026)","165.13
(247.69)",143.78,77
389,"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua
Districts
(MinistryofPetroleumNaturalGas)
(709773)","Jammu and
Kashmir","03/2022
(03/2022)","03/2032
(03/2032)","538
(538)",4.11,0
390,"Development of Jharia CBM Block [Phase-1]
(Oil and Natural Gas Corporation Limited [ONGC])
(610984)",Jharkhand,"11/2019
(11/2019)","01/2024
(03/2026)","431
(431)",227,61
391,"Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL]
(MinistryofPetroleumNaturalGas)
(709785)",Jharkhand,"02/2023
(02/2023)","02/2026
(02/2026)","202.07
(202.07)",61.67,50
392,"Power System Upgradation Project
(Mangalore Refinary and Petrochemicals Limited)
(612790)",Karnataka,"10/2023
(10/2023)","11/2025
(05/2026)","385
(385)",164.35,72
393,"Demo Bio-ATF Project
(Ministry of Petroleum & Natural Gas)
(616879)",Karnataka,"03/2024
(03/2024)","01/2027
(01/2027)","364
(364)",39.1,22
394,"Revamping/ Augmentation of facilities at existing port terminal at Mangalore
(Ministry of Petroleum & Natural Gas)
(709774)",Karnataka,"01/2022
(01/2022)","12/2025
(06/2027)","463
(500.62)",290.86,75
395,"Augmentation of CCKPL and IDPL Pipelines capacity along with setting up of
Palakkad TOP
(Ministry of Petroleum & Natural Gas)
(617838)",Kerala,"09/2024
(09/2024)","08/2028
(08/2028)","1130
(1130)",173.9,20
396,"Replacement and Extension of Jetty Pipelines [REJP] at KR
(Bharat Petroleum Corporation Limited [BPCL])
(709790)",Kerala,"03/2023
(03/2023)","03/2026
(03/2026)","621.87
(621.87)",211.67,91
