Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
317,"Construction of Precast housing and hostels at IIT Hyderabad
(Indian Institute of Technology, Hyderabad)
(609996)",Telangana,11/2022,"10/2024
01/2026","262
(262)",164.4,71
318,"Banaras Hindu University [ Kayakalp of Institute of Medical Sciences]
(Banaras Hindu University)
(606479)",Uttar Pradesh,06/2020,"09/2022
03/2026","246
(246)",185.83,93
319,"Construction & Development of Infrastructural Facilities in the main campus of NIT
Uttarakhand at Sumari, Pauri Garhwal
(National Institute of Technology Uttarakhand)
(611963)",Uttarakhand,04/2024,"09/2027
(-)","650.85
(650.85)",130,24
320,"HEFA projects on development of student hostels, playgrounds, departmental
buildings, class room complex and other campus facilities in IIT Kharagpur
(Indian Institute of Technology, Kharagpur)
(609019)",West Bengal,04/2019,"03/2023
03/2026","500
(442)",382.6,87
321,"IoE Projects [Civil Works], IIT Kharagpur
(Indian Institute of Technology, Kharagpur)
(609041)",West Bengal,04/2019,"03/2023
12/2026","287.2
(287.2)",310,86
,Total (30),,,,12754.41,8277.36,
,Ministry of Petroleum & Natural Gas,,,,,,
,Energy Storage,,,,,,
322,"Construction of Aviation Fuel farm Facilities at Bhogapuram Airport
(Ministry of Petroleum & Natural Gas)
(616235)",Andhra Pradesh,08/2024,"03/2026
03/2026","240
(240)",31.23,50
323,"Construction of LPG Facilities at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709754)",Assam,03/2023,"07/2027
07/2027","156.36
(156.36)",49.78,39
324,"Setting up of new rail fed POL facility at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited [HPCL])
(709755)",Assam,03/2023,"07/2027
07/2027","384.04
(384.04)",110.44,48
325,"Setting up a common user Petroleum Terminal at Jammu, J&K for resitement of
existing PSU OMC's Depots from Jammu City
(Bharat Petroleum Corporation Limited [BPCL])
(400235)","Jammu and
Kashmir",04/2023,"03/2025
09/2025","676.89
(676.89)",518.22,77
326,"Construction of 80,000 MT LPG Cavern at Mangalore
(Ministry of Petroleum & Natural Gas)
(701269)",Karnataka,12/2018,"12/2022
08/2025","854
(854)",712.3,99
327,"Andheri Residential Towers, Mumbai
(Ministry of Petroleum & Natural Gas)
(604833)",Maharashtra,06/2017,"05/2025
06/2026","281.35
(389.67)",227.54,50
328,"Srikakulam Angul Gas Pipeline Project
(Ministry of Petroleum & Natural Gas)
(701343)","Multi-States
(Andhra Pradesh,
Odisha)",09/2019,"07/2022
12/2025","2658.34
(2810)",2192.68,94
329,"Rajasthan Refinery Project
(MinistryofPetroleumNaturalGas)
(701263)","Multi-States
(Arunachal
Pradesh, Gujarat,
Rajasthan)",10/2017,"10/2022
03/2026","43129
(72937)",59524.37,87
330,"Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT]
at Paradip
(Ministry of Petroleum & Natural Gas)
(701349)","Multi-States
(Assam, Bihar,
Jharkhand,
Odisha, West
Bengal)",01/2019,"07/2024
09/2025","10228
(11407)",9701.95,86
331,"New Mundra Panipat Crude Oil Pipeline
(Ministry of Petroleum & Natural Gas)
(400078)","Multi-States
(Gujarat, Haryana,
Rajasthan)",12/2021,"12/2024
12/2025","9028
(9028)",7071.08,84
332,"Kandla Gorakhpur LPG Pipeline
(Ministry of Petroleum & Natural Gas)
(400012)","Multi-States
(Gujarat, Madhya
Pradesh, Uttar
Pradesh)",12/2018,"12/2021
12/2025","10088
(10088)",7598.13,92
333,"Multi Product Pipeline from Irugur to Devangonthi
(Department of Water Resources, River Development & GR)
(400301)","Multi-States
(Karnataka, Tamil
Nadu)",11/2012,"02/2017
10/2025","678
(1732)",675.25,67
334,"Petrochemical evacuation marketing terminal at Barmer, Rajasthan
(Hindustan Petroleum Corporation Limited [HPCL])
(709759)",Rajasthan,12/2023,"12/2026
12/2026","461.05
(461.05)",111.57,51
335,"Laying of POL Pipelines in Common Corridor for proposed grass root terminal at
Vallur [Chennai]
(Ministry of Petroleum & Natural Gas)
(400043)",Tamil Nadu,01/2022,"05/2026
05/2026","829
(829)",297.77,62
336,"Grass root POL Terminal at Vallur, Chennai
(Indian Oil Corporation Limited [IOCL])
(400077)",Tamil Nadu,01/2022,"12/2024
03/2026","827
(887.71)",619.5,85
337,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing
Dharmanagar Depot
(Indian Oil Corporation Limited [IOCL])
(400035)",Tripura,06/2022,"09/2025
09/2025","656
(656)",465.73,84
338,"Grass-root Terminal at Mirzapur, Uttar Pradesh
(Ministry of Petroleum & Natural Gas)
(604852)",Uttar Pradesh,09/2022,"11/2026
11/2026","980.45
(980.45)",236.22,50
,Total (17),,,,82155.48,90143.76,
,Oil & Gas,,,,,,
339,"KG-DWN-98/2 Cluster - II Development Project - NELP Block
(Oil and Natural Gas Corporation Limited [ONGC])
(400120)",Andhra Pradesh,03/2016,"06/2020
06/2026","34012
(34012)",35498.35,96
340,"HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery
(Hindustan Petroleum Corporation Limited)
(709752)",Andhra Pradesh,09/2021,"06/2024
03/2026","160
(220)",77.06,64
341,"HP Trijet Unit in Visakh Refinery
(Hindustan Petroleum Corporation Limited)
(709761)",Andhra Pradesh,07/2024,"07/2027
07/2027","193
(193)",0.43,23
342,"City Gas Distribution Project at Kurnool, Guntur & Prakasam Districts
(MinistryofPetroleumNaturalGas)
(709766)",Andhra Pradesh,03/2022,"03/2030
03/2030","1420
(1420)",162.47,6
