Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1741,"Sewer Network, SPS and STP at Begusarai
(National Mission for Clean Ganga)
(616615)
(-) (-)",Bihar,"03/2010
(03/2018)","04/2025
(12/2026)","230.06
(230.06)",261.82,97
1742,"Sewer Networks, SPS and STP at Hajipur
(National Mission for Clean Ganga)
(616616)
(-) (-)",Bihar,"03/2010
(03/2018)","06/2025
(12/2026)","305.19
(305.19)",346.46,95
1743,"Interception & Diversion with Rehabilitation of sewerage scheme at Agra under Hybrid
annuity based PPP model-Namami Gange Programme
(National Mission for Clean Ganga)
(616594)
(-) (-)",Uttar Pradesh,"05/2020
(04/2023)","04/2025
(12/2026)","842.25
(842.25)",208.64,84
1744,"Pollution Abatement Works for River Kali Meerut under Meerut Municipality
Interception & Diversion with STP
(National Mission for Clean Ganga)
(616605)
(-) (-)",Uttar Pradesh,"05/2020
(11/2024)","12/2024
(03/2027)","690.71
(690.71)",34.79,57
1745,"Pollution Abatement works for River Ganga at Hooghly Chinsurah- Municipal Town
Interception & Diversion with STP
(National Mission for Clean Ganga)
(616604)
(-) (-)",West Bengal,"05/2018
(12/2021)","03/2025
(08/2026)","154.73
(154.73)",102.04,94
,Total (8),,,,4039.12,1658.37,
,Water Resources,,,,,,
1746,"Sardar Gouthu Latchanna Thotapalli Barrage Project
(Water Resources-AP)
(400100)
(-) (-)",Andhra Pradesh,"04/2005
(01/2006)","12/2019
(06/2026)","353.05
(1023.24)",879.15,95.88
1747,"Gundlakamma project
(Water Resources-AP)
(400101)
(-) (-)",Andhra Pradesh,"04/2005
(04/2005)","12/2019
(03/2027)","397.41
(697.39)",624.78,98.3
1748,"Polavaram Irrigation Project
(Water Resources-AP)
(701415)
(-) (-)",Andhra Pradesh,"01/2009
(11/2009)","04/2022
(03/2026)","10151.04
(55548.87)",27961.55,86.15
1749,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)
(-) (-)",Assam,"04/1996
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",44.7,55.44
1750,"Kelo Irrigation Project
(Water Resources-CT)
(400111)
(-) (-)",Chhattisgarh,"04/2008
(04/2008)","12/2019
(06/2026)","459.97
(727.04)",620.15,73
1751,"Kudali Irrigation Project
(Department of Water Resources, River Development & GR)
(701399)
(-) (-)",Chhattisgarh,"04/2009
(12/2009)","12/2025
(03/2026)","382.29
(382.29)",249.06,86.31
1752,"Sardar Sarovar Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(701372)
(-) (-)",Gujarat,"04/1996
(04/1996)","12/2019
(03/2026)","20718.17
(33412.50)",31969.4,93.7
1753,"Subernarekha Multipurpose Project, Jharkhand
(Department of Water Resources-JH)
(701376)
(-) (-)",Jharkhand,"04/2011
(01/2012)","12/2019
(03/2026)","3807.77
(9579.58)",6040.27,70
1754,"Upper Tunga Irrigation Project
(Water Resources-KA)
(701377)
(-) (-)",Karnataka,"04/2014
(04/2014)","12/2019
(03/2026)","770.16
(1606.07)",1515.6,99.32
1755,"Bargi Diversion Project Phase - IV [km. 154 to km 197]
(Water Resources-MP)
(400115)
(-) (-)",Madhya Pradesh,"04/2008
(01/2009)","12/2019
(03/2026)","751.03
(893.35)",814.02,75
1756,"Bargi Diversion Project Phase - III [km. 104 to km 154]
(Water Resources-MP)
(400116)
(-) (-)",Madhya Pradesh,"04/2007
(04/2007)","12/2019
(12/2026)","1229.15
(1399.70)",2270.96,81.52
1757,"Bodwad Parisar Sinchan Yojna
(Department of Water Resources-MH)
(617422)
(-) (-)",Maharashtra,"05/2002
(01/2017)","07/2027
(-)","1923.81
(1923.81)",338.91,49.6
1758,"Waghur Project
(Department of water resources-MH - II)
(701383)
(-) (-)",Maharashtra,"04/1996
(04/1996)","12/2019
(03/2026)","1058.99
(1758.51)",1642.5,89.57
1759,"Gosikhurd Project
(Department of water resources-MH - II)
(701386)
(-) (-)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2028)","7196.47
(12770.10)",14439.46,72.65
1760,"Aruna Medium Irrigation Project
(Department of water resources-MH - II)
(701391)
(-) (-)",Maharashtra,"04/2009
(01/2010)","12/2019
(06/2026)","210.45
(1472.14)",1734.71,100
1761,"Lower Pedhi Project
(Department of water resources-MH - II)
(701396)
(-) (-)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2026)","255.97
(1480.70)",3066.05,65
