Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
450,"GOOTY-PENDEKALLU DOUBLING 29.225 Km
(South Central Railway [SCR] - II)
(611752)",Andhra Pradesh,06/2023,"03/2027
03/2027","351.83
(351.83)",18,25
451,"GUNTAKAL WEST-MALLAPPA GATE RAIL OVER RAIL - ROR TRACK
(South Central Railway [SCR] - II)
(611754)",Andhra Pradesh,07/2023,"07/2026
(-)","293.3
(293.3)",0,0
452,"Kurnool - Setting up facilities for coach midlife rehabilitation workshop
(WPO/Patna)
(611927)",Andhra Pradesh,10/2017,"12/2023
(-)","560.72
(560.72)",276.66,65
453,"Flyover between Pendurthi and Simhachalam North to avoid surface crossing at
Simhachalam 7.135 km PB 73 of 2023 24 NR
(East Coast Railway [ECoR] - II)
(612827)",Andhra Pradesh,05/2024,"04/2027
(-)","183.65
(183.65)",4.16,11
454,"3rd & 4th line between Vadlapudi -Gate Jn. cabin and Tie line between Gate Junction
to Gangavaram port
(East Coast Railway [ECoR] - II)
(616697)",Andhra Pradesh,03/2024,"06/2026
(-)","154.28
(154.28)",10.79,16
455,"Tiupati Katpadi 104.39 kms
(South Central Railway [SCR] - II)
(617210)",Andhra Pradesh,04/2025,"03/2029
(-)","1215.56
(1215.56)",0,0
456,"3rd Line between Gudur Renigunta 83.17 Km
(South Central Railway [SCR] - II)
(617216)",Andhra Pradesh,10/2024,"03/2027
(-)","877.34
(877.34)",2.97,0
457,"Kotapalli - Narasapur New Line
(South Central Railway [SCR] - II)
(705436)",Andhra Pradesh,09/2013,"03/2028
03/2028","2501
(2501)",1264.18,29
458,"Guntur-Guntakal Doubling Project
(South Central Railway [SCR] - II)
(705633)",Andhra Pradesh,11/2017,"12/2025
12/2026","3733
(4295)",4112.59,92
459,"Vijaywada-Gudur 3rd Line
(RVNL - II)
(705648)",Andhra Pradesh,04/2018,"11/2024
12/2025","6654
(6654)",5922,90
460,"Penukonda - Dharmavaram Doubling Project [41.5 Km]
(South Western Railway [SWR] - II)
(705789)",Andhra Pradesh,12/2018,"03/2026
03/2026","307.66
(307.66)",267.83,60
461,"AGTHORI KAMAKHYA SECTION WITH CONSTRUCTION OF NEW RAIL CUM-
ROAD BRIDGE AT SARAIGHAT - 7.062KM
(Northeast Frontier Railway [NFR])
(613788)",Assam,05/2025,"12/2029
(-)","1473.77
(1473.77)",0,0
462,"Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km
(Northeast Frontier Railway [NFR])
(705572)",Assam,09/2016,"03/2026
03/2026","4060
(4961)",3683.75,93
463,"Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh
(Central Organisation for Railway Electrification [CORE])
(706922)",Assam,09/2018,"09/2020
06/2024","890.36
(889.36)",391.73,89
464,"Sakri -Hasanpur [via Harnagar - Kusheshwar Asthan] New Railway line
(East Central Railway [ECR] - I)
(400254)",Bihar,08/1997,"12/2024
03/2027","735.2
(735.2)",585.09,81
465,"Construction of Bulb line at Nabinagar Ankorah of East Central Railway
(East Central Railway [ECR] - I)
(617231)",Bihar,05/2026,"06/2028
(-)","611.74
(611.74)",0,0
466,"Sakri-Hasanpur Road New Rail Line Project
(East Central Railway [ECR] - I)
(705363)",Bihar,03/2011,"12/2024
03/2025","735
(735)",605,78
467,"Khagaria-Kusheshwar Asthan [42Km] new line project
(East Central Railway [ECR] - I)
(705364)",Bihar,12/1998,"12/2024
03/2027","614
(1384)",479.22,55
468,"Hajipur-Sagauli New line
(East Central Railway [ECR] - I)
(705366)",Bihar,10/2004,"03/2020
12/2026","2067
(2087)",1908.49,74
469,"Araria Supaul New BG Line
(East Central Railway [ECR] - II)
(705368)",Bihar,03/2009,"03/2024
01/2027","1605
(2514)",1311.39,33
470,"Fatuha-Islampur incl. MM for extn.of NL from Neora to Daniawan , Daniawan to
Biharsharif, Biharsharif to Barbigha , Barbigha to Shekhpura
(East Central Railway [ECR] - II)
(705373)",Bihar,03/2002,"03/2023
08/2025","1473
(2882)",2824.8,91
471,"New B.G. Railway Line- Araria to Galgalia [Thakurgunj]
(Northeast Frontier Railway [NFR])
(705400)",Bihar,06/2007,"12/2024
07/2025","2650
(4412)",4152.4,96
472,"Jogbani-Biratnagar New Rail Line project
(Indian Railway Construction International Limited [IRCON])
(705450)",Bihar,01/2011,"03/2022
12/2026","402
(486)",361,86
473,"Samastipur-Darbhanga Doubling Railway Project
(East Central Railway [ECR] - I)
(705526)",Bihar,12/2015,"03/2025
10/2025","519
(519)",337.03,82
474,"Sagauli-Valmiknagar
(East Central Railway [ECR] - II)
(705527)",Bihar,03/2017,"12/2025
12/2025","1216
(2222)",2039,91
475,"Muzaffarpur-Sugauli
(East Central Railway [ECR] - II)
(705528)",Bihar,03/2017,"06/2024
08/2025","1586
(1586)",1586.82,99
476,"Rampur Dumra-Tal-Rajendrapul Additional Bridge and Railway Line Doubling
(Indian Railway Construction International Limited [IRCON])
(706759)",Bihar,05/2017,"12/2024
12/2025","2374
(2374)",1777,85
477,"Kharsia-Dharamjaygarh with Spur line [East Corridor-Phase 1]
(Indian Railway Construction International Limited [IRCON])
(400220)",Chhattisgarh,01/2014,"09/2018
03/2026","3055
(3438)",2574.54,94
478,"Doubling of Kirandul-Jagdalpur Line [150 km]
(East Coast Railway [ECoR] - II)
(400291)",Chhattisgarh,03/2013,"03/2020
12/2025","1589
(1798)",1541.7,92
