Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
835,"6L Jakkuva Korlam Section of NH-130CD Road from km 396.800 to km 421.100 Pkg
2
(National Highways Authority of India [NHAI])
(619111)",Andhra Pradesh,"02/2021
(03/2022)","03/2024
(07/2024)","840.51
(840.51)",404.58,99
836,"6L Kantakapalle Sabbavaram Section of NH-130CD Road from Km 445.100 to Km
464.662 Pkg-4
(National Highways Authority of India [NHAI])
(619112)",Andhra Pradesh,"02/2021
(10/2022)","10/2024
(-)","1012.57
(1012.57)",507.81,80
837,"6L Access Controlled Greenfield Highway from Narayanmpet Ch. 203500 to
Chandrasekharpuram Ch. 228000Package-10
(National Highways Authority of India [NHAI])
(619123)",Andhra Pradesh,"02/2023
(02/2024)","02/2026
(06/2026)","813.66
(678.21)",167.64,52
838,"6L Access Controlled Greenfield Highway from Polavaram Ch. 260000 to Marripudi
Ch. 285500 of [NH-544G]Package-12
(National Highways Authority of India [NHAI])
(619124)",Andhra Pradesh,"02/2023
(02/2024)","02/2026
(05/2026)","747.29
(626.83)",178.76,60
839,"6L Access Controlled Greenfield Highway from Somavarappadu Ch.314.600 to
Muppavaram Ch.343240 of [NH-544G] Package-14
(National Highways Authority of India [NHAI])
(619125)",Andhra Pradesh,"02/2023
(02/2024)","02/2026
(05/2026)","1103.9
(943.66)",161.56,35
840,"6L Access Controlled Greenfield Highway from Marripudi Ch. 285500 to
Somavarappadu Ch. 314600 of [NH-544G] Package-13
(National Highways Authority of India [NHAI])
(619126)",Andhra Pradesh,"02/2023
(02/2024)","02/2026
(-)","976.41
(798.71)",259.72,68
841,"6L of Naidupeta Junction - Turpukanupur Section from km 57.046 to km 91.927
(National Highways Authority of India [NHAI])
(619140)",Andhra Pradesh,"08/2022
(10/2023)","10/2025
(-)","1398.84
(965.58)",225.55,35
842,"Construction of four lane access controlled highway from Chillakuru cross road to
Turpu KanupurPart 1 of Package - II km 0.000 131.500 of NH - 16 to km 23.770 on
New NH-516W including sixlane flyover and approaches on NH-16 length km 1.050
and six lane access controlled from TurpuKanupur to Port South Gate Part 2 of
Package - II km 23.770 to km 35.015 on New NH-516W inthe state of Andhra Pradesh
on HAM Mode under Bharatmala Pariyojana Phase I
(National Highways Authority of India [NHAI])
(619141)",Andhra Pradesh,"08/2022
(12/2023)","12/2025
(-)","864.2
(844.39)",259.02,46
843,"Balance works in AP Portion and punch list items in TN & AP portion of NH-205
(National Highways Authority of India [NHAI])
(619160)",Andhra Pradesh,"10/2022
(07/2023)","01/2025
(-)","166.52
(113.46)",97.5,100
844,"Construction of 2-lane road of Potin to Pangin section of NH-13 from Km 163.59 to Km
206.66 Package-5 on EPC Mode in the State of Arunachal Pradesh under Arunachal
Pradesh Package of Roads and Highways of SARDP-NE [Job No SARDP-NE/P-
P/Pkg-A/NH-13/Ar.Pr./PWD/2018-19/116]
(MoRTH)
(617892)",Arunachal Pradesh,"03/2019
(11/2020)","11/2023
(07/2024)","450.65
(450.65)",303.39,96
845,"4-Laning of Itanagar to Bandardewa section of NH-415from km 40430 to km 51735
Package-Bon EPC Mode in the state of Arunachal Pradesh Job NO. 415/Ar. P/2020-
21/031
(MoRTH)
(618033)",Arunachal Pradesh,"06/2020
(12/2021)","12/2024
(-)","496.47
(496.47)",153.63,48
