Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
154,"4L Shahpur to Muktainagar from Km. 186.000 to km 216.278 of NH 753L Pkg II of
Boregaon Buzurg to Muktainagar
(National Highways Authority of India [NHAI])
(619101)","Multi-States (Madhya
Pradesh, Maharashtra)","12/2022
(03/2024)","03/2026
(-)","784.35
(659.52)"
155,"4L of Chowka to Kaimaha near MP/UP Border section NH-34 from D. Ch. 145.000 to
D. Ch. 197.266 excluding existing Chhatarpur bypass from D. Ch. 160.307 to D. Ch.
168.630 Package-4
(National Highways Authority of India [NHAI])
(618668)","Multi-States (Madhya
Pradesh, Uttar Pradesh)","10/2024
(09/2025)","09/2027
(-)","996.5
(846.68)"
156,"Road Safety Improvement of Critical Junctions on MuzaffarnagarHaridwar Section of
NH-334 from Km 143000 to Km 196000
(National Highways Authority of India [NHAI])
(618886)","Multi-States (Uttar Pradesh,
Uttarakhand)","04/2025
(10/2025)","10/2027
(-)","238.66
(0.1)"
157,"6L of Bhubaneswar - Jagatpur - Chandikhole Section of NH-16
(National Highways Authority of India [NHAI])
(619075)",Odisha,(12/2011),"06/2014
(-)","639.3
(632.89)"
158,"Balance work of 8 nos. of Elephant Underpasses EUPs, 1 no. of Vehicular Underpass
VUP, 1 nos. of Light Vehicular Underpass LVUP, 1 nos. of Pedestrian Underpass PUP,
1 nos. of Foot Over Bridge FOB and A2 side approach of Jharpokharia Flyover at
Km.215.270 in Baharagora-Singhara section of NH-49
(National Highways Authority of India [NHAI])
(618592)",Odisha,"09/2023
(11/2024)","05/2026
(-)","320.64
(244.85)"
159,"Construction of Daspalla Bypass from km 195.250 To 200.635 of NH-57 including land
acquisition in the state of Odisha on EPC mode under Annual Plan 2022-23.
(MoRTH)
(617923)",Odisha,"02/2023
(05/2025)","05/2027
(-)","155.97
(-)"
160,"Greenfield connectivity from Govindsar village on Delhi Amritsar Katra Expressway to
Talwara village on NH-44 Pathankot by-pass
(National Highways Authority of India [NHAI])
(618551)",Punjab,"11/2024
(07/2025)","07/2027
(-)","666.81
(690.47)"
161,"6L Amritsar-Bathinda Greenfield section from Jn. with Moga Jalandhar road NH-703
near Dharamkot to Jn. with Bhagta Bhai Ka-Bhadaur Road near Dyalpura Bhai Ka
from km 39.000 to km 93.000 of NH-754A Pkg-2
(National Highways Authority of India [NHAI])
(619099)",Punjab,"03/2021
(06/2024)","06/2026
(-)","1801.37
(2172.71)"
162,"6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Moga-
Barnala Road NH-703 near village Tallewal to Jn. with Delhi-Katra Expressway NE-5
near Ludhiana village Ballowal from Km 30.300 to Km 75.543 of NH-754AD Pkg-2
(National Highways Authority of India [NHAI])
(619105)",Punjab,"07/2021
(09/2025)","09/2027
(-)","1555.13
(1564.66)"
163,"Mayjilar Jaisalmer with Jaisalmer Bypass Link Road Section of NH-11 Part of BM-7 &
Sundra Myajilar Ambsingh ki Dhani Road part of Munabao Tanot project NH-70
(National Highways Authority of India [NHAI])
(618797)",Rajasthan,"03/2025
(12/2025)","12/2027
(-)","1237.71
(927.02)"
