Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
319,"Phase B of Construction of Permanent Campus of IIT Palakkad
(INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD)
(617878)",Kerala,"05/2025
(01/2026)","10/2028
(-)","1527
(1527)",0,0
320,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy
& Sophisticated lab complex, Academic POD and Infrastructure for center of
excellence]
(Indian Institute of Technology, Indore)
(611957)",Madhya Pradesh,"12/2023
(04/2024)","02/2027
(-)","496.28
(496.28)",38.62,37
321,"Hostel 4 -Earlier Known as Hostel 20
(Indian Institute of Technology, Bombay)
(612135)",Maharashtra,"09/2022
(12/2023)","09/2025
(12/2025)","182.33
(182.33)",158.23,99
322,"Construction and Developement of National Institute of Technology Meghalaya
Permanent Campus at Sohra
(National Institute of Technology, Meghalaya)
(612885)",Meghalaya,"09/2009
(09/2014)","03/2022
(07/2025)","494.52
(494.52)",422.07,90
323,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl
(NIT Mizoram)
(612876)",Mizoram,"09/2009
(06/2014)","12/2029
(12/2029)","474.23
(474.23)",167.55,4
324,"Establishment of NIT Nagaland
(NIT Nagaland)
(613013)",Nagaland,"09/2009
(12/2014)","12/2025
(-)","275.63
(275.63)",261.24,97
325,"IISER BERHAMPUR
(Indian Institutes of Science Education and Research, Behrampur)
(610315)",Odisha,"10/2018
(09/2019)","03/2021
(06/2026)","1229.32
(843.09)",835.6,97
326,"Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II]
(National Institute of Technology, Puducherry)
(612877)",Puducherry,"09/2009
(07/2013)","12/2024
(08/2025)","618.34
(544.34)",529.94,96
327,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar,
Punjab, Phase-I
(Indian intitue of Management, Amritsar)
(605292)",Punjab,"10/2019
(07/2020)","06/2023
(12/2025)","348.31
(348.31)",290.39,91
328,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block,
International Hostel 100 seater, VC Residence and Purchase of Equipment
(Central University of Punjab)
(617221)",Punjab,"08/2024
(04/2025)","10/2027
(-)","210.99
(210.99)",20.89,13
329,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South
Sikkim
(Sikkim University)
(609736)",Sikkim,"08/2020
(01/2022)","01/2025
(03/2026)","314.06
(314.06)",238.22,85
330,"Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District
(NIT Sikkim)
(612883)",Sikkim,"02/2024
(03/2024)","02/2028
(12/2026)","685.76
(610.76)",121.56,14
331,"Construction of Precast housing and hostels at IIT Hyderabad
(Indian Institute of Technology, Hyderabad)
(609996)",Telangana,"09/2022
(11/2022)","10/2024
(01/2026)","262
(262)",194.13,80
332,"Banaras Hindu University [ Kayakalp of Institute of Medical Sciences]
(Banaras Hindu University)
(606479)",Uttar Pradesh,"06/2020
(06/2020)","09/2022
(03/2026)","246
(246)",199.71,97
333,"Construction & Development of Infrastructural Facilities in the main campus of NIT
Uttarakhand at Sumari, Pauri Garhwal
(National Institute of Technology Uttarakhand)
(611963)",Uttarakhand,"06/2020
(04/2024)","09/2027
(-)","650.85
(650.85)",195.52,37
334,"HEFA projects on development of student hostels, playgrounds, departmental
buildings, class room complex and other campus facilities in IIT Kharagpur
(Indian Institute of Technology, Kharagpur)
(609019)",West Bengal,"06/2018
(04/2019)","03/2023
(03/2026)","500
(442)",390.6,89
,Total (30),,,,15115.18,7945.92,
,Department of Sports,,,,,,
,Education,,,,,,
335,"National Sports University [NSU], Imphal [Manipur]
(Department of Sports & Youth Affairs)
(400081)",Manipur,"NA
(01/2022)","08/2024
(11/2025)","906.47
(611.74)",559.27,95
,Total (1),,,,906.47,559.27,
,Ministry of Petroleum & Natural Gas,,,,,,
,Energy Storage,,,,,,
336,"Construction of Aviation Fuel farm Facilities at Bhogapuram Airport
(Ministry of Petroleum & Natural Gas)
(616235)",Andhra Pradesh,"08/2024
(08/2024)","03/2026
(03/2026)","240
(240)",72.26,83
337,"Construction of LPG Facilities at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709754)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","156.36
(156.36)",70.91,53
338,"Setting up of new rail fed POL facility at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited [HPCL])
(709755)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","384.04
(384.04)",150.78,62
339,"Capacity Augmentation of Kandla LPG Import Terminal [KLIT] from 0.6 MMTPA to 2.5
MMTPA
(Ministry of Petroleum & Natural Gas)
(617839)",Gujarat,"05/2023
(05/2023)","07/2026
(-)","356.86
(356.86)",12.6,51
340,"Setting up a common user Petroleum Terminal at Jammu, J&K for resitement of
existing PSU OMC's Depots from Jammu City
(Bharat Petroleum Corporation Limited [BPCL])
(400235)","Jammu and
Kashmir","04/2023
(04/2023)","03/2025
(01/2026)","676.89
(715.89)",559.45,87
341,"Andheri Residential Towers, Mumbai
(Ministry of Petroleum & Natural Gas)
(604833)",Maharashtra,"06/2017
(06/2017)","05/2025
(06/2026)","281.35
(389.67)",243.11,54
342,"LPG Bottling Plant at Mualkhang
(Ministry of Petroleum & Natural Gas)
(617829)",Mizoram,"07/2024
(07/2024)","11/2027
(11/2027)","225.71
(225.71)",12.81,21
343,"Srikakulam Angul Gas Pipeline Project
(Ministry of Petroleum & Natural Gas)
(701343)","Multi-States
(Andhra Pradesh,
Odisha)","09/2019
(09/2019)","07/2022
(12/2025)","2658.34
(2810)",2282.98,96
