Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
320,"Construction of Permanent Campus of National Institute of Technology Arunachal
Pradesh
(National Institute of Technology, Arunachal Pradesh)
(612898)",Arunachal Pradesh,"09/2009
(03/2013)","08/2026
(08/2024)","592.61
(592.61)",550.61,80
321,"Tezpur University Projects
(Tezpur University)
(606112)",Assam,"05/2019
(06/2021)","11/2023
(12/2025)","153.71
(153.71)",125.03,97
322,"Additional Campus of NITPatna
(NIT Patna)
(606013)",Bihar,"07/2022
(08/2022)","07/2024
(01/2026)","499.21
(499.21)",446.99,97
323,"Phase B of Construction of Permanent Campus of IIT Bhilai
(Indian Institute of Technology, Bhilai)
(617877)",Chhattisgarh,"05/2025
(01/2026)","10/2028
(-)","1188.97
(1188.97)",0,0
324,"Phase 1B - Construction of Academic Block, Hostel, Residential Tower, Directors
Residence and External Development works at National Institute of Technology, Delhi
Campus on Engineering, Procurement and Construction basis
(National Institute of Technology Delhi)
(612851)",Delhi,"09/2009
(11/2022)","09/2025
(01/2026)","333.49
(336.42)",304.15,98
325,"Delhi University Eastern Campus at Surajmal Vihar
(Delhi University)
(616886)",Delhi,"09/2024
(03/2025)","10/2026
(-)","373
(373)",27.63,10
326,"Construction of permanent campus of Central University of Gujarat at Village
kundhela, Dist. Vadodara, Gujarat.
(Central University of Gujarat)
(612916)",Gujarat,"12/2020
(02/2021)","03/2025
(03/2026)","490.63
(490.63)",319.74,83
327,"Establishment of Permanent campus Phase 1 of IIM Sirmaur
(Indian Institute of Management, Sirmaur)
(602099)",Himachal Pradesh,"09/2018
(08/2020)","10/2023
(02/2026)","392.51
(454.78)",329.07,95
328,"Hostel blocks & dining hall block
(Indian Institute of Technology, Mandi)
(612128)",Himachal Pradesh,"03/2023
(03/2024)","03/2026
(03/2026)","166.66
(166.66)",102.52,78
329,"Construction of Permanent Campus of Central University of Himachal Pradesh at
Dehra, District - Kangra, [H.P.] on Engineering. Procurement and Construction [EPC
Mode 1] Basis.
(Central University, Himachal Pradesh)
(612894)",Himachal Pradesh,"03/2021
(08/2022)","11/2024
(03/2026)","251.98
(300.45)",223.36,84
330,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota,
Jammu, J&K
(Indian Institute of Management, Jammu)
(602098)","Jammu and
Kashmir","03/2019
(10/2020)","06/2023
(11/2025)","424.93
(500.91)",484.52,96
331,"CONSTRUCTION OF PERMANENT CAMPUS FOR IIT PALAKKAD UNDER PHASE
1A
(INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD)
(606431)",Kerala,"07/2017
(03/2020)","06/2022
(06/2026)","1006.45
(1217.4)",663.4,82
332,"Phase B of Construction of Permanent Campus of IIT Palakkad
(INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD)
(617878)",Kerala,"05/2025
(01/2026)","10/2028
(-)","1527
(1527)",9.8,0
333,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy
& Sophisticated lab complex, Academic POD and Infrastructure for center of
excellence]
(Indian Institute of Technology, Indore)
(611957)",Madhya Pradesh,"12/2023
(04/2024)","02/2027
(-)","496.28
(496.28)",56.35,44
334,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl
(NIT Mizoram)
(612876)",Mizoram,"09/2009
(06/2014)","12/2029
(03/2022)","474.23
(474.23)",167.55,4
335,"Establishment of NIT Nagaland
(NIT Nagaland)
(613013)",Nagaland,"09/2009
(12/2014)","12/2025
(-)","275.63
(275.63)",261.7,98
336,"IISER BERHAMPUR
(Indian Institutes of Science Education and Research, Behrampur)
(610315)",Odisha,"10/2018
(09/2019)","03/2021
(06/2026)","1229.32
(843.09)",835.6,98
337,"1000 seater Boys hostel, 500 seater Girls hostel, 1.5 MLD Sewage Treatment Plant
and Faculty Residence - 72 nos. Flats
(NIT Rourkela)
(619033)",Odisha,"NA
(01/2024)","06/2026
(-)","198.97
(198.97)",31.48,33
338,"Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II]
(National Institute of Technology, Puducherry)
(612877)",Puducherry,"09/2009
(07/2013)","12/2024
(05/2026)","618.34
(544.34)",530.88,98
339,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar,
Punjab, Phase-I
(Indian intitue of Management, Amritsar)
(605292)",Punjab,"10/2019
(07/2020)","06/2023
(09/2026)","348.31
(348.31)",290.39,91
340,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block,
International Hostel 100 seater, VC Residence and Purchase of Equipment
(Central University of Punjab)
(617221)",Punjab,"08/2024
(04/2025)","10/2027
(-)","210.99
(210.99)",39.12,24
341,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South
Sikkim
(Sikkim University)
(609736)",Sikkim,"08/2020
(01/2022)","01/2025
(03/2026)","314.06
(314.06)",278.69,89
342,"Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District
(NIT Sikkim)
(612883)",Sikkim,"02/2024
(03/2024)","02/2028
(12/2026)","685.76
(610.76)",171.56,25
343,"Construction of Precast housing and hostels at IIT Hyderabad
(Indian Institute of Technology, Hyderabad)
(609996)",Telangana,"09/2022
(11/2022)","10/2024
(01/2026)","262
(262)",200.11,83
