Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
677,"Chandil - Anara - Damodar - 3rd line [121.26 km]
(CAO/C/SER)
(616227)","Multi-States
(Jharkhand, West
Bengal)","09/2024
(07/2025)","09/2029
(-)","1932.01
(1932.01)",0.3,0
678,"KHARAGPUR-ADITYAPUR THIRD RAIL LINE- 132 KM
(RVNL - I)
(705668)","Multi-States
(Jharkhand, West
Bengal)","09/2016
(01/2018)","03/2025
(12/2025)","3250
(3250)",3176.46,97
679,"Hotgi-Kudgi-Gadag Doubling Project
(South Western Railway [SWR] - II)
(705662)","Multi-States
(Karnataka,
Maharashtra)","04/2014
(01/2016)","12/2024
(03/2026)","1878
(2459)",2684.67,92
680,"Baiyyappanahalli - Hosur Doubling Project [48 km]
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(703586)","Multi-States
(Karnataka, Tamil
Nadu)","04/2019
(02/2019)","03/2024
(01/2026)","498.7
(748.7)",630.41,86
681,"Trivandrum- Kanyakumari
(Southern Railway (SR) - I)
(705635)","Multi-States
(Kerala, Tamil
Nadu)","08/2017
(03/2016)","03/2025
(12/2026)","1432
(3785.45)",2505.8,50
682,"Ratlam-Mhow-Khandwa-Akola Gauge Conversion
(Western Railway [WR] - II)
(705457)","Multi-States
(Madhya Pradesh,
Maharashtra)","04/2008
(03/2010)","03/2027
(09/2028)","1656.25
(6499.86)",4445.82,81
683,"Itarsi - Nagpur Third Railway Line [280 km]
(Central Railway (CR) - II)
(705507)","Multi-States
(Madhya Pradesh,
Maharashtra)","09/2016
(09/2016)","03/2027
(12/2027)","2449.91
(2506.68)",1937.22,55
684,"RATLAM- DUNGARPUR VIA BANSWARA NEW LINE PROJECT
(North Western Railway [NWR])
(617406)","Multi-States
(Madhya Pradesh,
Rajasthan)","10/2015
(05/2023)","03/2028
(-)","2417.24
(2417.24)",6.79,8
685,"Gwalior - Seopurkala with extension to Kota [Gauge Conversion]
(North Central Railway)
(705419)","Multi-States
(Madhya Pradesh,
Rajasthan)","03/2011
(07/2018)","03/2025
(02/2026)","2913
(2913)",2120.66,85
686,"Ramganjmandi-Bhopal New Line Project [262 km]
(West Central Railway [WCR] - II)
(705481)","Multi-States
(Madhya Pradesh,
Rajasthan)","03/2001
(10/2004)","12/2025
(12/2027)","3032
(5073)",3764.11,70
687,"Nimach-Badi Sadri New Rail Line Project
(Western Railway [WR] - II)
(705764)","Multi-States
(Madhya Pradesh,
Rajasthan)","04/2017
(09/2021)","03/2026
(06/2026)","495
(825)",130.09,57
688,"Mathura-Jhansi Third Railway Line [274 Km]
(RVNL - II)
(705667)","Multi-States
(Madhya Pradesh,
Rajasthan, Uttar
Pradesh)","12/2015
(03/2018)","12/2024
(12/2026)","5961
(5961)",4990.85,94
689,"Jhansi - Bina Third Railway Line [153 Km]
(CAO/C/NCR)
(705598)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","09/2016
(03/2018)","03/2022
(03/2026)","2002
(2002)",1831.86,93
690,"Jhansi-Khairar-Manikpur & Khirar-Bhimsen
(North Central Railway)
(705608)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","03/2018
(04/2019)","03/2026
(03/2026)","4330
(4330)",2456.1,62
691,"Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km]
(South Central Railway [SCR] - II)
(705613)","Multi-States
(Maharashtra,
Telangana)","09/2016
(10/2016)","01/2025
(11/2025)","2595
(3071)",3409.31,94
692,"Narayangarh-Bhadrak 3rd line
(South Eastern Railway [SER] - I)
(705629)","Multi-States
(Odisha, West
Bengal)","03/2019
(03/2017)","12/2025
(06/2026)","2400
(3425.32)",2344.37,66
693,"Nagapattinam-Tiruturaipundi and Karaikal-Peralam New Line
(Ministry of Railways)
(400223)","Multi-States
(Puducherry, Tamil
Nadu)","07/2008
(01/2019)","03/2027
(03/2028)","713
(981)",598.38,80
694,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)","Multi-States
(Sikkim, West
Bengal)","10/2009
(05/2010)","05/2015
(12/2027)","7877
(11775)",9647.55,89
695,"Sainthia, Sitarampur, Mughalsarai, Allahabad & Etawah - Bypass Line Project
(Eastern Railway [ER] - I)
(602797)","Multi-States (Uttar
Pradesh, West
Bengal)","08/2017
(12/2017)","03/2027
(03/2027)","461.64
(461.64)",193.39,8
696,"Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher
Under Deposit Scheme.
(East Coast Railway [ECoR] - II)
(400045)",Odisha,"08/2022
(07/2022)","03/2025
(01/2025)","168.32
(168.32)",69.85,82
697,"Brundamal-Jharsuguda- flyover connection for joining downline
(East Coast Railway [ECoR] - II)
(400232)",Odisha,"01/2014
(01/2014)","12/2026
(12/2026)","297
(297)",209.57,45
698,"3rd & 4th line between Sarla - Sason [8 km] [PB 73/2023-24/NR]
(East Coast Railway [ECoR] - II)
(612834)",Odisha,"04/2023
(04/2023)","12/2025
(-)","252
(252)",91.45,65
