Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
735,"Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions
under WTA 527
(WPO/Patna)
(611929)",Rajasthan,"09/2022
(06/2023)","12/2024
(-)","166.86
(166.86)",0,0
736,"PUSHKAR- MERTA CITY NEW LINE
(North Western Railway [NWR])
(616841)",Rajasthan,"02/2024
(02/2024)","12/2026
(-)","799.64
(799.64)",75.78,6
737,"AJMER- CHANDERIYA DOUBLING
(North Western Railway [NWR])
(616843)",Rajasthan,"02/2024
(02/2024)","06/2027
(-)","1634.79
(1634.79)",211.26,10
738,"SADULPUR - CHURU DOUBLING PROJECT
(North Western Railway [NWR])
(617403)",Rajasthan,"01/2024
(01/2024)","06/2026
(-)","468.64
(468.64)",137.46,56
739,"POKHRAN - RAMDEVRA New Line
(North Western Railway [NWR])
(617404)",Rajasthan,"04/2025
(04/2025)","03/2028
(-)","189.21
(189.21)",0,0
740,"NATHDWARA- NATHDWARA TOWN NL
(North Western Railway [NWR])
(617408)",Rajasthan,"03/2019
(04/2024)","03/2027
(-)","166.33
(166.33)",96.97,12
741,"Dholpur - Sirmuttra Gauge Conversion
(North Central Railway)
(705482)",Rajasthan,"03/2022
(04/2020)","02/2019
(02/2027)","747
(747)",446.59,47
742,"Gudha-Thatha Mithri Construction of Railway Track Project
(North Western Railway [NWR])
(705752)",Rajasthan,"04/2019
(04/2019)","11/2026
(11/2026)","819.48
(967.06)",387.46,99
743,"Sawai Madhopur-Jaipur Railway Line Project
(North Western Railway [NWR])
(705912)",Rajasthan,"02/2024
(04/2023)","03/2027
(-)","1203.89
(1203.89)",147.71,14
744,"Agra Fort-Bandikui Doubling Line Project
(CAO/C/NCR)
(705919)",Rajasthan,"06/2022
(02/2021)","06/2027
(06/2027)","1390
(1390)",389.98,61
745,"Sawaimadhopur Bye Pass Line Project
(North Western Railway [NWR])
(706866)",Rajasthan,"12/2022
(01/2023)","03/2026
(05/2027)","304
(304)",64.85,72
746,"Phase II extension of MRTS from Velachery to St Thomas Mount
(Ministry of Railways)
(400280)",Tamil Nadu,"11/2007
(11/2008)","07/2025
(09/2025)","734
(734.01)",479.19,99
747,"Redevelopment of Chennai Egmore Station
(Ministry of Railways)
(613002)",Tamil Nadu,"05/2022
(10/2022)","03/2026
(-)","842
(842)",340,0
