Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1916,"Sardar Sarovar Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(701372)
(-)",Gujarat,"04/1996
(04/1996)","12/2019
(03/2026)","20718.17
(33412.5)",31860.86,93
1917,"Subernarekha Multipurpose Project, Jharkhand
(Department of Water Resources-JH)
(701376)
(-)",Jharkhand,"04/2011
(01/2012)","12/2019
(03/2026)","3807.77
(9579.58)",5888.13,70
1918,"Upper Tunga Irrigation Project
(Water Resources-KA)
(701377)
(-)",Karnataka,"04/2014
(04/2014)","12/2019
(03/2026)","770.16
(1606.07)",1515.6,99
1919,"Omkareshwar CADWM Project
(Water resource-mp)
(400096)
(-)",Madhya Pradesh,"04/2017
(04/2017)","12/2019
(03/2026)","648.09
(648.09)",208.06,49
1920,"Bargi Diversion Project Phase - IV [km. 154 to km 197]
(Water Resources-MP)
(400115)
(-)",Madhya Pradesh,"04/2008
(01/2009)","12/2019
(03/2026)","751.03
(893.35)",783.1,75
1921,"Bargi Diversion Project Phase - III [km. 104 to km 154]
(Water Resources-MP)
(400116)
(-)",Madhya Pradesh,"04/2007
(04/2007)","12/2019
(03/2026)","1229.15
(1399.7)",2076.79,81
1922,"Gosikhurd CADWM Project
(Department of water resources-MH - II)
(400095)
(-)",Maharashtra,"04/2017
(04/2017)","12/2019
(06/2026)","743.73
(743.73)",414.98,52
1923,"Urmodi Irrigation Project
(Department of water resources-MH - II)
(400105)
(-)",Maharashtra,"04/2017
(04/2018)","06/2022
(12/2026)","580.79
(895.81)",713.46,76
1924,"Sulwade-Jamphal-Kanoli Lift Irrigation Scheme
(Department of water resources-MH - II)
(400107)
(-)",Maharashtra,"04/2017
(02/2019)","06/2023
(06/2027)","2407.67
(2407.67)",2623.44,80
1925,"Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project
(Department of water resources-MH - II)
(400109)
(-)",Maharashtra,"04/2017
(04/2018)","06/2020
(06/2026)","848.07
(888.43)",690.49,69
1926,"Jigaon Irrigation Project
(Department of water resources-MH - II)
(400112)
(-)",Maharashtra,"04/2017
(04/2018)","06/2028
(-)","7222.95
(7222.95)",9390.82,91
1927,"Bodwad Parisar Sinchan Yojna
(Department of Water Resources-MH)
(617422)
(-)",Maharashtra,"05/2002
(01/2017)","07/2027
(-)","1923.81
(1923.81)",1874.37,49
1928,"Waghur Project
(Department of water resources-MH - II)
(701383)
(-)",Maharashtra,"04/1996
(04/1996)","12/2019
(03/2026)","1058.99
(1758.51)",1557.76,89
1929,"Gosikhurd Project
(Department of water resources-MH - II)
(701386)
(-)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2028)","7196.47
(12770.1)",14063.47,72
1930,"Aruna Medium Irrigation Project
(Department of water resources-MH - II)
(701391)
(-)",Maharashtra,"04/2009
(01/2010)","12/2019
(12/2025)","210.45
(1472.14)",1705.83,97
1931,"Lower Pedhi Project
(Department of water resources-MH - II)
(701396)
(-)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2026)","255.97
(1480.7)",1516.11,65
1932,"Nardave Medium Irrigation Project
(Department of water resources-MH - II)
(701398)
(-)",Maharashtra,"04/2009
(04/2009)","12/2019
(06/2026)","211.46
(781.85)",626.06,72
1933,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)
(-)",Manipur,"04/1997
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98
1934,"North Koel Reservoir Project
(Department of Water Resources, River Development & GR)
(701412)
(-)","Multi-States
(Bihar, Jharkhand)","08/2017
(01/2021)","03/2021
(03/2026)","1622.27
(2430.76)",172.97,38
1935,"Ken-Betwa Linking Development Project
(Department of Water Resources, River Development, )
(701530)
(-)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","NA
(03/2022)","03/2029
(-)","21030
(21030)",8530.86,0
1936,"Integrated Anandpur Barrage Project
(Water Resources-OR)
(603945)
(-)",Odisha,"04/1997
(01/1998)","12/2019
(06/2026)","567.03
(2990.05)",2755.98,62
1937,"Subernarekha Project, Odisha
(Department of Water Resources, River Development & GR)
(701402)
(-)",Odisha,"NA
(01/1998)","12/2019
(03/2026)","3055.88
(7023.19)",8060.82,95
1938,"Kanupur Irrigation Project
(Irrigation and CAD-TG)
(701404)
(-)",Odisha,"04/2003
(01/2004)","12/2019
(06/2026)","989.43
(2301.28)",2804.16,79
1939,"Relining of Rajasthan feeder and Sirhind Feeder canal
(Department of Water Resources-PB)
(701410)
(-)",Punjab,"02/2016
(04/2018)","06/2021
(06/2026)","1441.26
(2462.16)",2166.19,85
