Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1296,"4L Rampur Bypass from Km. 181.000 to Km. 189.500
(National Highways Authority of India [NHAI])
(618689)",Uttar Pradesh,"10/2021
(10/2022)","04/2024
(01/2025)","364.47
(307.95)",271.61,99
1297,"DL/UP Border - EPE Crossing Pkg-02
(National Highways Authority of India [NHAI])
(618710)",Uttar Pradesh,"09/2020
(05/2021)","11/2023
(08/2024)","2002.79
(1889.78)",1732.01,98
1298,"6L access Controlled Greenfield Highway from Gogwan Jalalpur Shamli to Ranipur
Barsi Saharanpur of Shamli -Ambala section Package-I Design Ch. Form km 00.600
to km 45.500
(National Highways Authority of India [NHAI])
(618722)",Uttar Pradesh,"06/2022
(05/2023)","05/2025
(01/2026)","1843.59
(1247.55)",567.64,56
1299,"4L Spur of Meerut-Garh-Mukteshwar section connecting NH-119 and NH-58
bypassing Meerut Town of NH 709 A
(National Highways Authority of India [NHAI])
(618761)",Uttar Pradesh,"10/2021
(02/2023)","02/2025
(-)","991.89
(977.73)",800.68,52
1300,"4L Spur of Panipat - Shamli connecting NH-709AD Panipat Shamli Muzaffarnagar
and NH-709A Karnal Meerut bypassing Shamli district UP
(National Highways Authority of India [NHAI])
(618770)",Uttar Pradesh,"10/2021
(10/2022)","10/2024
(03/2025)","516.16
(273.42)",232.93,74
1301,"4L of Sonauli - Gorakhpur
(National Highways Authority of India [NHAI])
(618798)",Uttar Pradesh,"12/2021
(03/2023)","03/2025
(02/2026)","2555.5
(2275.43)",1238.07,54
1302,"2L PS of Raebareli - Jagdishpur with 4L Jagdishpur Bypass Spur
(National Highways Authority of India [NHAI])
(618854)",Uttar Pradesh,"02/2021
(01/2022)","01/2024
(06/2025)","706.41
(752.52)",515.37,97
1303,"Improvement and Up-Gradation of Existing Road to 2/4L PS from Km 40.000 to
88.750, start of Khutar bypass to start of Shahjahanpur bypass of NH 731Pkg-I
(National Highways Authority of India [NHAI])
(618855)",Uttar Pradesh,"03/2022
(02/2023)","02/2025
(09/2025)","838.68
(838.68)",556.76,99
1304,"Improvement and Up-Gradation of Existing Road to 4L PS from Km 123.650 to
175.080, from Start of Shahabad Bypass to End of Hardoi bypass of NH 731 Pkg-2B
(National Highways Authority of India [NHAI])
(618856)",Uttar Pradesh,"09/2022
(11/2023)","11/2025
(04/2026)","1101.79
(1212.26)",312.56,50
1305,"Improvement and Up-Gradation of Existing Road to 4L PS from Km 229.070 to
260.800, End of Hardoi District to Lucknow Ring road of NH 731 Pkg-4
(National Highways Authority of India [NHAI])
(618859)",Uttar Pradesh,"09/2021
(10/2022)","10/2024
(05/2025)","575.66
(553.61)",371.12,93
1306,"4L from Mathura Bypass Start at Existing Km. 154.20 of NH-44 to Gaju Village at Km
32.982 of NH-530B Pkg-IB
(National Highways Authority of India [NHAI])
(618864)",Uttar Pradesh,"01/2022
(03/2023)","03/2025
(10/2025)","1722.11
(1820.77)",1000.51,99
1307,"4L from Gaju Village at Km. 32.982 to Devinagar Bypass End at Km. 208.000 of NH-
530B Pkg-1C.
(National Highways Authority of India [NHAI])
(618865)",Uttar Pradesh,"12/2021
(01/2023)","01/2025
(-)","1384.79
(1496.44)",823.04,99
1308,"Construction of Four Lane Highway form Ghazipur- Ballia-UP/Bihar State Border
Greenfield section of NH-31 Package I [from Hridaipur km 0.000 to Shahapur km
42.500] on EPC Mode in the state of Uttar Pradesh.
(National Highways Authority of India [NHAI])
(618883)",Uttar Pradesh,"10/2022
(07/2023)","07/2025
(12/2025)","1706.47
(1579.59)",723.1,92
