Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
527,"Rebuilding of COB 4 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(612781)
(N12000132)",West Bengal,"09/2023
(09/2023)","12/2026
(-)","916.78
(916.78)",178.09,36
528,"Installation of New Bar Mill at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617242)
(N12000138)",West Bengal,"07/2024
(08/2024)","06/2027
(-)","2115.44
(2115.44)",407.32,50
529,"Up-gradation of Blast Furnace No. 3 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617246)
(N12000139)",West Bengal,"09/2024
(10/2024)","06/2026
(-)","758.09
(758.09)",169.97,24
530,"Third Ladle Furnace in Secondary Refinery Unit at IISCO Steel Plant
(Steel Authority of India Limited [SAIL])
(617248)
(N12000141)",West Bengal,"11/2024
(12/2024)","07/2026
(-)","227.96
(227.96)",62.94,49
531,"Revamping of Air Pollution Control Systems of SP-1 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617251)
(N12000140)",West Bengal,"07/2024
(12/2024)","05/2026
(-)","196.4
(196.4)",35.02,19
532,"Stamp Charge Battery No.12 Battery Proper at IISCO Steel Plant
(Steel Authority of India Limited [SAIL])
(617338)
(-)",West Bengal,"01/2025
(02/2025)","07/2028
(-)","2518.39
(2518.39)",280.04,18
,Total (19),,,,18161.41,9471.99,
,Ministry of Railways,,,,,,
,Railways,,,,,,
533,"Nadikudi - Srikalahasti New Line
(South Central Railway [SCR] - II)
(400298)
(N22000286)",Andhra Pradesh,"03/2012
(12/2016)","05/2027
(03/2028)","2312
(5932)",2892.1,54
534,"GOOTY-PENDEKALLU DOUBLING 29.225 Km
(South Central Railway [SCR] - II)
(611752)
(N22000585)",Andhra Pradesh,"03/2023
(06/2023)","03/2027
(03/2027)","351.83
(351.83)",216.6,3
535,"GUNTAKAL WEST-MALLAPPA GATE RAIL OVER RAIL - ROR TRACK
(South Central Railway [SCR] - II)
(611754)
(-)",Andhra Pradesh,"07/2023
(07/2023)","07/2026
(-)","293.3
(293.3)",209.56,0
536,"Kurnool - Setting up facilities for coach midlife rehabilitation workshop
(WPO/Patna)
(611927)
(-)",Andhra Pradesh,"01/2014
(10/2017)","12/2023
(-)","560.72
(560.72)",276.66,65
537,"Flyover between Pendurthi and Simhachalam North to avoid surface crossing at
Simhachalam 7.135 km PB 73 of 2023 24 NR
(East Coast Railway [ECoR] - II)
(612827)
(-)",Andhra Pradesh,"04/2023
(05/2024)","04/2027
(-)","183.65
(183.65)",12.87,13
538,"3rd & 4th line between Vadlapudi -Gate Jn. cabin and Tie line between Gate Junction
to Gangavaram port
(East Coast Railway [ECoR] - II)
(616697)
(-)",Andhra Pradesh,"04/2023
(03/2024)","06/2026
(-)","154.28
(154.28)",46.93,65
539,"Tiupati Katpadi 104.39 kms
(South Central Railway [SCR] - II)
(617210)
(-)",Andhra Pradesh,"04/2025
(04/2025)","03/2029
(-)","1215.56
(1215.56)",0.14,0
540,"3rd Line between Gudur Renigunta 83.17 Km
(South Central Railway [SCR] - II)
(617216)
(-)",Andhra Pradesh,"10/2024
(10/2024)","03/2027
(-)","877.34
(877.34)",151.89,0
541,"Kurnool Coach Midlife Rehabilitation Project
(WPO/Patna)
(705253)
(-)",Andhra Pradesh,"05/2016
(07/2014)","12/2020
(-)","563
(563)",120,0
542,"Kotapalli - Narasapur New Line
(South Central Railway [SCR] - II)
(705436)
(220100265)",Andhra Pradesh,"03/2009
(09/2013)","03/2028
(03/2028)","2501
(2501)",1383.96,29
543,"Guntur-Guntakal Doubling Project
(South Central Railway [SCR] - II)
(705633)
(N22000368)",Andhra Pradesh,"03/2017
(11/2017)","12/2025
(12/2026)","3733
(4295)",5134.57,93
544,"Vijaywada-Gudur 3rd Line
(RVNL - II)
(705648)
(N22000369)",Andhra Pradesh,"08/2016
(04/2018)","11/2024
(03/2026)","6654
(6654)",6121.03,95
545,"Furkating-New Tinsukia[194 Km]
(Northeast Frontier Railway [NFR])
(618986)
(-)",Assam,"09/2025
(09/2025)","06/2029
(-)","3633.58
(3633.58)",0,0
546,"Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km
(Northeast Frontier Railway [NFR])
(705572)
(N22000388)",Assam,"09/2016
(09/2016)","03/2026
(03/2026)","4060
(4961)",3787.41,93
547,"Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh
(Central Organisation for Railway Electrification [CORE])
(706922)
(-)",Assam,"09/2020
(09/2018)","09/2020
(06/2024)","890.36
(889.36)",391.73,89
548,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project
(GM/C/ NFR)
(706940)
(-)",Assam,"09/2018
(01/2022)","05/2024
(-)","183.99
(183.99)",0,0
