Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
267,"Delhi Metro Rail Phase-IV [Rithala - Kundli Corridor]
(Delhi Metro Rail Corporation Limited [DMRC])
(617206)","Multi-States (Delhi,
Haryana)","01/2025
(01/2025)","01/2029
(-)","6230.99
(6230.99)",0.29,0
268,"Delhi-Ghaziabad-Meerut Regional Rapid Transit System [RRTS] corridor
(National Capital Region Transport Corporation [NCRTC])
(702633)","Multi-States (Delhi,
Uttar Pradesh)","03/2019
(03/2019)","06/2025
(08/2025)","30274
(30274)",26325.73,95
269,"Kanpur Metro Rail Project
(Uttar Pradesh metro rail corporation [UPMRC])
(702628)",Uttar Pradesh,"05/2019
(11/2019)","05/2024
(03/2027)","11076.48
(11076.5)",9083.27,73
270,"Agra Metro Rail Project
(Uttar Pradesh metro rail corporation [UPMRC])
(702629)",Uttar Pradesh,"05/2019
(12/2020)","05/2024
(06/2027)","8379.62
(8379.62)",6057.62,62
,Total (21),,,,223016.77,159569.88,
,Waste & Water,,,,,,
271,"ESR - 8 nos., distribution system - 216 Km, new house service connections - 38760
nos. upgrading of feeder mains, pumping station etc. - Phase II
(Ministry of Housing & Urban Affairs)
(702674)",Andhra Pradesh,"NA
(07/2018)","03/2023
(12/2025)","172.22
(172.22)",622.02,82
272,"Dibrugarh Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702682)",Assam,"NA
(01/2020)","03/2023
(12/2025)","186.8
(186.8)",1291.55,98
273,"Muzaffarpur Storm Water Drainage Phase-I Project
(Ministry of Housing & Urban Affairs)
(702699)",Bihar,"NA
(02/2019)","10/2023
(03/2024)","158.78
(158.78)",48.61,51
274,"Storm water drainag Development Project
(ministry of housing and urban affairs)
(702355)","Dadra & Nagar
Haveli and Daman
& Diu","NA
(12/2021)","03/2024
(-)","210
(210)",0,20
275,"Upgradation of Sewerage system in Gandhinagar City
(ministry of housing and urban affairs)
(707267)",Gujarat,"NA
(03/2021)","06/2023
(-)","200
(200)",100,10
