Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
638,"Doubling of Daund Manmad Line [247.6 km]
(Central Railway)
(705504)
(N22000360) (2304)",Maharashtra,"10/2017
(03/2017)","12/2025
(03/2026)","2081.27
(3267.06)",3077.28,92
639,"4th Line Wardha - Nagpur [78.7 Kilometres]
(Central Railway [CR] - II)
(705505)
(N22000362) (1789)",Maharashtra,"04/2017
(05/2018)","12/2025
(10/2026)","637.95
(1214.69)",1047.02,88
640,"3rd Line Manmad - Jalgaon [160 Kilometres]
(Central Railway [CR] - II)
(705506)
(N22000361) (1776)",Maharashtra,"05/2017
(04/2018)","12/2024
(08/2025)","1035.16
(1870)",1865.44,100
641,"Solapur-tuljapur-Osmanabad
(Central Railway)
(705735)
(N22000513) (2256)",Maharashtra,"08/2018
(12/2023)","03/2027
(03/2028)","904.92
(3295.74)",1216.56,12
642,"Nagpur- Nagbhir Railway Line Gauge Conversion Project
(MRIDC)
(705799)
(N22000629) (-)",Maharashtra,"10/2019
(04/2020)","12/2025
(12/2025)","1400
(1400)",1472,80
643,"Mumbai Urban Transport Project [MUTP] - PHASE II
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706779)
(N22000092) (1681)",Maharashtra,"05/2008
(04/2008)","03/2014
(12/2027)","8087
(8087)",7504.75,90
644,"Mumbai Urban Transport Project [MUTP] Phase-IIIA
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706780)
(N22000627) (3407)",Maharashtra,"04/2019
(04/2019)","12/2027
(12/2027)","33690
(33690)",3577.36,22
645,"Mumbai Urban Transport Project Phase-III
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706781)
(-) (3406)",Maharashtra,"11/2016
(12/2016)","03/2022
(12/2026)","10947
(10947)",6609.95,75
646,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)
(220100288) (653)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",16020.78,72.1
647,"Byrnihat-Shillong New Rail Line- 108 km
(Northeast Frontier Railway [NFR])
(705396)
(-) (651)",Meghalaya,"04/2011
(03/2010)","03/2021
(03/2027)","8324.28
(8342.28)",266.12,2.04
648,"Marikuppam - Kuppam New Line Project [23.70 Km]
(South Western Railway [SWR] - II)
(705491)
(N22000308) (-)","Multi-States
(Andhra Pradesh,
Karnataka)","04/2012
(10/2018)","06/2026
(06/2026)","297
(297)",145.78,21
649,"Rayadurg-Tumkur via Kalyandurg New Line [207 km]
(South Western Railway [SWR] - II)
(705494)
(N22000279) (1555)","Multi-States
(Andhra Pradesh,
Karnataka)","03/2008
(07/2010)","09/2015
(02/2028)","2496
(2496)",1898.7,72
650,"Renigunta, Wadi & Gooty Bypass Railway Project
(South Central Railway [SCR] - II)
(705610)
(N22000587) (9928)","Multi-States
(Andhra Pradesh,
Karnataka)","04/2016
(04/2016)","12/2025
(03/2026)","302
(543)",635.72,89.03
651,"Doubling between Mudkhed Medchal & Mahbubnagar Dhone section 417.88 Km
(South Central Railway [SCR] - II)
(617212)
(-) (7543)","Multi-States
(Andhra Pradesh,
Maharashtra,
Telangana)","08/2023
(08/2023)","03/2029
(-)","4686.09
(4686.09)",1938.02,2.08
652,"Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM]
(RVNL - II)
(400253)
(N22000409) (1747)","Multi-States
(Andhra Pradesh,
Odisha)","06/2016
(11/2016)","12/2025
(12/2026)","4803
(6669.91)",6211.43,97
653,"Doubling of Kottavalasa-Koraput Rail Line [189 KM]
(East Coast Railway [ECoR] - II)
(705512)
(N22000377) (1763)","Multi-States
(Andhra Pradesh,
Odisha)","12/2015
(01/2016)","03/2022
(03/2028)","2500
(2500)",2163.97,73
654,"Tindivanam-Nagari New Line Project [184.5 km]
(Ministry of Railways)
(400275)
(N22000085) (1549)","Multi-States
(Andhra Pradesh,
Tamil Nadu)","07/2008
(10/2008)","09/2025
(03/2028)","3631
(3631)",1259.7,16.5
655,"Doubling between Motumari Vishnupuram - 88.81 Km and Rail over Rail - RoR at
Motumari - 10.877 Km
(South Central Railway [SCR] - II)
(616857)
(-) (7099)","Multi-States
(Andhra Pradesh,
Telangana)","02/2024
(03/2025)","03/2029
(-)","1595.55
(1595.55)",212.11,2.04
656,"Doubling of Guntur Bibinagar 239 Km
(South Central Railway [SCR] - II)
(617211)
(-) (7584)","Multi-States
(Andhra Pradesh,
Telangana)","08/2023
(08/2023)","03/2029
(-)","2853.23
(2853.23)",348.95,2.5
657,"Rail Connectivity to Errupalem Amravati Namburu 57 Km
(South Central Railway [SCR] - II)
(617214)
(-) (7544)","Multi-States
(Andhra Pradesh,
Telangana)","11/2024
(11/2024)","03/2027
(-)","2047.4
(2047.4)",208.59,0.16
658,"Kazipet-Vijayawada 3rd line with electrification [220 km]
(South Central Railway [SCR] - II)
(705612)
(N22000261) (2087)","Multi-States
(Andhra Pradesh,
Telangana)","03/2013
(08/2014)","02/2025
(12/2025)","1953
(3363)",5178.65,95.01
659,"Vijayawada - Kazipet Byepass line
(South Central Railway [SCR] - II)
(705632)
(N22000586) (2000)","Multi-States
(Andhra Pradesh,
Telangana)","04/2016
(04/2016)","01/2025
(12/2025)","647
(904)",1242.64,95.01
