Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Labour and Employment,,,,,,
,Healthcare,,,,,,
44,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola
(Employee's State Insurance Company [ESIC])
(612201)",Assam,"12/2017
(10/2021)","04/2025
(02/2026)","143.23
(154.75)",116.08,96
,Total (1),,,,143.23,116.08,
,Ministry of Railways,,,,,,
,Railways,,,,,,
45,"Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km
(Northeast Frontier Railway [NFR])
(705572)",Assam,"09/2016
(09/2016)","03/2026
(03/2026)","4060
(4961)",3757.77,93
46,"Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh
(Central Organisation for Railway Electrification [CORE])
(706922)",Assam,"09/2020
(09/2018)","09/2020
(06/2024)","890.36
(889.36)",391.73,89
47,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project
(GM/C/ NFR)
(706940)",Assam,"09/2018
(01/2022)","05/2024
(-)","183.99
(183.99)",0,0
48,"Harmuty-Murkongselek Branch Line Electrification Project
(GM/C/ NFR)
(706942)",Assam,"09/2018
(01/2022)","05/2024
(-)","237.52
(237.52)",0,0
49,"Furkating-New Tinsukia[194 Km]
(Northeast Frontier Railway [NFR])
(618986)",Assam,"09/2025
(09/2025)","06/2029
(-)","3633.58
(3633.58)",0.24,0
50,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",15849.48,72
51,"Murkongselek-Pasighat
(Northeast Frontier Railway (NFR) - II)
(705401)","Multi-States (Arunachal
Pradesh, Assam)","02/2011
(03/2023)","03/2025
(05/2026)","435
(1250)",816.33,66
52,"Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km]
(Northeast Frontier Railway (NFR) - II)
(705392)","Multi-States (Assam,
Nagaland)","08/2015
(02/2016)","03/2025
(12/2029)","6663
(6663)",5949.29,40
53,"Lumding Furkating Doubling Project 140 km
(Northeast Frontier Railway [NFR])
(616701)","Multi-States (Assam,
Nagaland)","02/2024
(01/2025)","02/2028
(-)","2123.7
(2123.7)",57.66,1
54,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)",Sikkim,"10/2009
(05/2010)","05/2015
(12/2027)","7877
(11775)",10027.63,90
,Total (10),,,,40427.15,36850.13,
,Ministry of Road Transport & Highways,,,,,,
,Roads & Highways,,,,,,
55,"4-Laning of Itanagar to Bandardewa section of NH-415from km 40430 to km
51735 Package-Bon EPC Mode in the state of Arunachal Pradesh Job NO.
415/Ar. P/2020-21/031
(MoRTH)
(618033)",Arunachal Pradesh,"06/2020
(12/2021)","12/2024
(-)","496.47
(496.47)",153.63,48
56,"Construction of 2-lane road of Potin to Pangin section of NH-13 from Km 163.59
to Km 206.66 Package-5 on EPC Mode in the State of Arunachal Pradesh under
Arunachal Pradesh Package of Roads and Highways of SARDP-NE [Job No
SARDP-NE/P-P/Pkg-A/NH-13/Ar.Pr./PWD/2018-19/116]
(MoRTH)
(617892)",Arunachal Pradesh,"03/2019
(11/2020)","11/2023
(07/2024)","450.65
(450.65)",303.39,96
57,"Construction of Intermediate Lane with Hard Shoulder of Hunli to Hayuliang
Package-III from design Km 60.000 to Km 121.500 Design Length 61.500 km,
Greenfield Section of Frontier Highway NH-913 in the State of Arunachal Pradesh
on EPC Mode Pkg-3
(NHIDCL)
(618401)",Arunachal Pradesh,"02/2024
(07/2025)","07/2028
(-)","1418.67
(1418.67)",0,1
58,"Construction of Intermediate Lane with Hard Shoulder of Hunli to Hayuliang from
Design Km 0.000 to Km 53.000 Design Length 53.000 km, Greenfield Section of
Frontier Highway NH-913 in the State of Arunachal Pradesh on EPC Mode
Package-I
(NHIDCL)
(618402)",Arunachal Pradesh,"02/2024
(03/2025)","02/2028
(-)","1262.43
(1262.43)",171.26,10
