Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
363,"City Gas Distribution Projects at Darbhanga, Madhubani, Supaul, Sitamarhi and
Sheohar districts
(Bharat Petroleum Corporation Limited [BPCL])
(709792)
(-) (-)",Bihar,"12/2022
(12/2022)","03/2030
(03/2030)","3638
(3638)",489.42,33.5
364,"City Gas Distribution Projects at Gopalganj, Siwan, West Champaran, East
Champaran and Deoria districts
(Bharat Petroleum Corporation Limited [BPCL])
(709793)
(-) (-)",Bihar,"12/2022
(12/2022)","06/2030
(06/2030)","3919
(3919)",518.13,30.2
365,"City Gas Distribution [CGD] Project in Kondagaon, Bastar, Sukma, Narayanpur,
Bijapur & Dantewada GA
(Ministry of Petroleum & Natural Gas)
(617819)
(-) (-)",Chhattisgarh,"06/2022
(06/2022)","06/2030
(06/2030)","557.04
(557.04)",10.33,2.2
366,"Redevelopment of Sobhasan Complex
(Oil and Natural Gas Corporation Limited [ONGC])
(400087)
(-) (-)",Gujarat,"08/2021
(08/2021)","03/2027
(03/2027)","885.63
(1347.61)",1037.37,94.3
367,"Redevelopment of Santhal Field [Onshore-Mehsana Asset]
(Oil and Natural Gas Corporation Limited [ONGC])
(400167)
(-) (-)",Gujarat,"02/2017
(02/2017)","03/2026
(12/2026)","1162.56
(1162.56)",1117.8,96.8
368,"Redevelopment of Linch Field
(MinistryofPetroleumNaturalGas)
(400169)
(-) (-)",Gujarat,"04/2021
(04/2021)","03/2025
(07/2026)","631.03
(845.42)",617.84,92.1
369,"Petrochemical and Lube Integration Project at Gujarat Refinery
(Ministry of Petroleum & Natural Gas)
(701329)
(-) (-)",Gujarat,"09/2020
(09/2020)","08/2024
(11/2026)","18936
(17825)",75182.67,89.2
370,"Installation of new Biturox Unit along with allied facilities at Gujarat Refinery
(MinistryofPetroleumNaturalGas)
(709778)
(-) (-)",Gujarat,"01/2022
(01/2022)","08/2025
(12/2026)","328.29
(344.36)",227.48,87
371,"Commercial Polymer Flooding Project in Bechraji field
(Oil and Natural Gas Corporation Limited [ONGC])
(709838)
(-) (-)",Gujarat,"01/2022
(01/2022)","11/2024
(05/2027)","621.4
(739.02)",251.74,48.2
372,"Restoration of Gas Terminal, Phase-I [Part-A], Hazira
(Oil and Natural Gas Corporation Limited [ONGC])
(709840)
(-) (-)",Gujarat,"05/2022
(05/2022)","02/2025
(07/2026)","249.43
(249.43)",218.03,97.5
373,"Old Pipe Line Replacement [OPRP] Group-A
(Oil and Natural Gas Corporation Limited [ONGC])
(709841)
(-) (-)",Gujarat,"07/2021
(07/2021)","07/2025
(07/2026)","173.03
(169.84)",167.98,94.5
374,"Kalol Redevelopment Project, Ahmedabad Asset
(Oil and Natural Gas Corporation Limited [ONGC])
(709842)
(-) (-)",Gujarat,"08/2022
(08/2022)","03/2027
(03/2027)","1487.41
(1487.41)",945.45,65
375,"Revamping of SV Stations, Gas Terminal & Kribhco Terminal
(Oil and Natural Gas Corporation Limited [ONGC])
(709845)
(-) (-)",Gujarat,"11/2022
(11/2022)","08/2026
(08/2026)","837.34
(837.34)",451.61,70.1
376,"Indian Oil Technology Development and Deployment Centre at R&D Campus-II,
Faridabad
(Ministry of Petroleum & Natural Gas)
(604853)
(-) (-)",Haryana,"06/2019
(06/2019)","12/2022
(07/2027)","2281.94
(3200)",1921.56,65.3
377,"Poly Butadiene Rubber plant at Panipat
(Indian Oil Corporation Limited [IOCL])
(611917)
(-) (-)",Haryana,"03/2022
(03/2022)","03/2025
(12/2026)","1459
(2531.44)",1643.7,88.7
378,"Change of service of existing Mundra-Panipat Pipeline [Panipat - Churwa section]
from Crude oil to Product
(IOCL)
(619196)
(-) (-)",Haryana,"05/2025
(05/2025)","04/2027
(03/2027)","359
(359)",40.86,39.6
379,"Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA
(Ministry of Petroleum & Natural Gas)
(701289)
(-) (-)",Haryana,"02/2021
(02/2021)","09/2024
(12/2026)","34627
(36225)",27518.03,94
380,"Installation of Multiple Effect Evaporator [MEE] for ETP-1, 2 & 4 of Panipat Refinery
and Petrochemical Complex.
(MinistryofPetroleumNaturalGas)
(709783)
(-) (-)",Haryana,"12/2020
(12/2020)","06/2023
(06/2026)","165.13
(247.69)",186.64,91.8
381,"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua
Districts
(MinistryofPetroleumNaturalGas)
(709773)
(-) (-)","Jammu and
Kashmir","03/2022
(03/2022)","09/2034
(09/2034)","538
(538)",4.3,0.6
382,"Development of Jharia CBM Block [Phase-1]
(Oil and Natural Gas Corporation Limited [ONGC])
(610984)
(-) (-)",Jharkhand,"11/2019
(11/2019)","01/2024
(07/2026)","431
(431)",267.59,66.1
383,"Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL]
(MinistryofPetroleumNaturalGas)
(709785)
(-) (-)",Jharkhand,"02/2023
(02/2023)","02/2026
(03/2027)","202.07
(202.07)",65.3,58.1
