Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
19,"4L PS from Mandlem Existing Km. 38.000/Design Km.30.600 to Atmakur Existing
Km.73.000/Design Km 66.115 of NH340C Package2
(NHAI)
618919",Andhra Pradesh,"03/2023
(11/2023)","(11/2025)
(11/2025)","887.28
(913.03)",550.42
20,"6L Standalone Flyovers at Raha, Demow, Borghat, Kathiatali junctions and ROB
at Jagiroad on stretches of NH 36 and NH 27
(NHAI)
618576",Assam,"03/2022
(12/2022)","(06/2024)
(10/2024)","280.75
(255.53)",212.27
21,"Widening/Improvement to 4 -Lane with Paved Shoulder from Ch. 88.000km to
Ch.99.930 km Design Ch.84.100km to Ch.96.000 km of Sagunbashi forest near
Nichinta to starting of Krishnai Bypass Section of Bilasipura Guwahati road NH 17
on EPC Package-7
(NHIDCL)
618285",Assam,"03/2021
(10/2023)","(10/2025)
(08/2025)","286.72
(-)",220.81
22,"Widening/Improvement to 4-Lane with Paved Shoulder from KM 113300 to Km
146230 Design Chainage 113830 to 145712 of Kwaram Taro Village - Dillai
Section in Assam on EPC Package-6
(NHIDCL)
618327",Assam,"09/2021
(07/2022)","(07/2024)
(03/2025)","625.64
(-)",578.19
23,"Construction of 4/6 Laning from existing Km 159.400 of NH-36 to existing Km
102.500 of NH-39 and upto end point of Assam portion [Design Km 118.050 to
design Km 132.375] Total New Alignment length of 14.325 Km of Daboka -
Dimapur Section Dimapur Bypass in the state of Assam under SARDP-NE
'Phase-A' on EPC mode Assam Portion
(NHIDCL)
618330",Assam,"03/2018
(11/2019)","(11/2022)
(11/2025)","511.02
(-)",671.35
24,"Widening / Improvement to 4-Lane with Paved Shoulder configuration of existing
single lane road from Kachukhana Harichara Paglagaunj to Dhubri - Phulbari
Bridge approach Package-II of Srirampur - Dhubri Section of NH-127B from
existing Km 28.050 to Km 55.060 Design Km 27.650 to Km 54.154, Design
Length26.504 Km under JICA ODA Loan assistance Phase-V [Srirampur - Dhubri
Pkg-2]
(NHIDCL)
618372",Assam,"03/2022
(01/2023)","(01/2025)
(06/2025)","909.02
(-)",683.81
25,"Rehabilitation & Widening work for 2 Lane with Paved Shoulder of Existing NH-80
from km 70.15 to Km 121.025 of Munger-Suttanganj -BhagatpurMirzachowki
section on EPC Mode in the State of Bihar.
(MoRTH)
617959",Bihar,"03/2021
(02/2023)","(01/2025)
(11/2025)","477.54
(-)",343.05
26,"4L Elevated Highway and at grade improvements at Gopalganj Town from Km.
384.000 to Km. 386.750 on NH-27
(NHAI)
618570",Bihar,"10/2021
(03/2022)","(08/2024)
(05/2025)","325.57
(248.92)",241.89
27,"4L of Galgalia - Bahadurganj section from Km 0.000 to Km 49.000 Package-I of
NH327E
(NHAI)
618582",Bihar,"01/2021
(01/2022)","(01/2024)
(02/2025)","1282.97
(1282.97)",816.12
28,"4L of Bahadurganj Araria section from Km 49.000 to Km 94.000 Package-II of
NH-327E
(NHAI)
618583",Bihar,"01/2021
(01/2022)","(01/2024)
(01/2025)","1358.77
(1358.77)",812.28
29,"Ara - Mohania Pkg-II
(NHAI)
618774",Bihar,"08/2020
(01/2021)","(07/2023)
(11/2025)","984.63
(827.51)",798.25
30,"4L of Aurangabad-Paithan
(NHAI)
618779",Bihar,"09/2022
(01/2023)","(07/2024)
(12/2025)","1505
(349.96)",328.32
31,"Aunta - Simaria including Ganga Bridge
(NHAI)
618839",Bihar,"01/2017
(08/2018)","(02/2022)
(03/2026)","1309.47
(2107.68)",1209.46
32,"4L of Bal. works of Patna - Gaya -Dobhi Pkg-II from km. 39.00 to km. 83.00 of
Old NH-83
(NHAI)
618915",Bihar,"09/2019
(11/2020)","(11/2022)
(05/2025)","1637.29
(777.2)",764.68
33,"4L of Bal. works of Patna - Gaya -Dobhi Pkg-III from km. 83.00 to km. 127.217 of
Old NH-83
(NHAI)
618916",Bihar,"09/2019
(11/2020)","(11/2022)
(05/2025)","1077.46
(799.7)",803.33
34,"Muzaffarpur - Sonbarsa Section of NH-77 from km 2.800 to km 89.000
(NHAI)
619320",Bihar,"05/2011
(05/2011)","(11/2013)
(03/2026)","2290.72
(2311.1)",2308.19
