Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
572,"4TH LINE - BHATAPARA-HATHBAND [8.8 KM] [PB-72/NR/2022-23]
(SECR)
(709815)
(N22000574)",Chhattisgarh,"09/2022
(05/2024)","01/2027
(12/2027)","177.03
(177.03)",4.68,5
573,"4TH LINE - BHILAI-BHILAI NAGAR [8.8 KM] [PB-72/NR/2022-23]
(SECR)
(709816)
(N22000575)",Chhattisgarh,"09/2022
(05/2024)","02/2027
(02/2027)","177.34
(177.34)",1.91,7
574,"4TH LINE - DADHAPARA-BELHA [9.2 KM] [PB-72/NR/2022-23]
(SECR)
(709817)
(N22000576)",Chhattisgarh,"09/2022
(05/2024)","11/2026
(11/2026)","169.06
(169.06)",21.27,64
575,"4TH LINE RAJNANDGAON-DONGARHGARH [31.2 KM] [PB-72/NR/2022-23]
(SECR)
(709818)
(N22000577)",Chhattisgarh,"09/2022
(05/2024)","01/2027
(01/2027)","328.34
(328.34)",69.76,32
576,"3RD AND 4TH LINE - SARAGBUNDIA AND MADWARANI
(SECR)
(709819)
(N22000579)",Chhattisgarh,"09/2022
(05/2025)","12/2026
(12/2026)","167.64
(167.64)",1.77,8
577,"Redevelopment of New Delhi Railway Station and construction of associated
infrastructure
(Rail Land Development Authority)
(613785)
(-)",Delhi,"01/2023
(06/2024)","12/2028
(-)","4744
(4744)",176.64,2
578,"Development of New Bijwasan Railway Terminal
(Northern Railways)
(617379)
(-)",Delhi,"02/2008
(03/2013)","03/2020
(12/2026)","446.21
(446.21)",524.63,82
579,"Anand Vihar-Tilak Bridge 3rd & 4th line
(CAO/C/NR)
(705583)
(-)",Delhi,"03/2013
(03/2013)","03/2023
(12/2027)","667
(667)",291.39,64
580,"Kosamba Umarpada 70 Km
(PCE/WR)
(611918)
(-)",Gujarat,"07/2023
(07/2022)","03/2027
(-)","468
(468)",20.28,8
581,"New Broad Gauge line between Naliya to Jakhau Port
(Western Railway [WR] - II)
(611943)
(N22000550)",Gujarat,"02/2023
(02/2023)","01/2028
(01/2028)","410.26
(410.26)",10.04,5
582,"Petlad Bhadran 23 Kms
(Western Railway)
(611945)
(N22000538)",Gujarat,"05/2022
(05/2022)","05/2030
(05/2030)","307.11
(307.11)",13.66,17
583,"Samlaya Timba Road 54 km
(PCE/WR)
(611970)
(N22000540)",Gujarat,"02/2023
(02/2023)","03/2030
(03/2030)","670.17
(670.17)",45.21,12
584,"Samni Jambusar 24 km
(PCE/WR)
(611971)
(N22000541)",Gujarat,"05/2022
(05/2022)","03/2030
(03/2030)","350
(349.93)",70.64,31
585,"Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms
(Western Railway [WR] - II)
(611974)
(-)",Gujarat,"08/2023
(08/2023)","12/2026
(07/2027)","1430
(1430)",371.74,35
586,"Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives
Manufacturing at
(PCE/WR)
(611977)
(-)",Gujarat,"05/2022
(02/2023)","02/2025
(-)","487
(487)",222.88,53
587,"Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at
(PCE/WR)
(611978)
(-)",Gujarat,"11/2022
(03/2023)","03/2025
(-)","158
(158)",51.87,10
588,"Sabarmati Setting up of Maintenance Facilities for Train Sets Phase ii
(Western Railway [WR] - II)
(611979)
(-)",Gujarat,"01/2023
(04/2023)","06/2025
(03/2026)","250
(250)",134.45,76
589,"4th LINE BETWEEN BAREJADI NANDEJ-SANAND-AHMEDABAD BYPASS
(Western Railway WR - II)
(612072)
(N22000532)",Gujarat,"02/2023
(02/2023)","03/2027
(07/2028)","961.67
(961.67)",496.01,21
590,"Redevelopment of Ahmedabad railway station and associated infrastructure on
engineering, procurement and construction mode
(Rail Land Development Authority)
(613786)
(-)",Gujarat,"01/2023
(11/2023)","03/2028
(-)","2379
(2379)",850.69,25
591,"Devbhumi Dwarka [Okha] - Kanalus Doubling
(Western Railway [WR] - II)
(618972)
(-)",Gujarat,"12/2025
(12/2025)","12/2028
(-)","1456.77
(1456.77)",0,0
592,"Miyagam-Karjan-Dabhoi-Samlaya [GC]
(Western Railway [WR] - II)
(705458)
(N22000142)",Gujarat,"01/2017
(01/2017)","03/2021
(12/2026)","483.88
(1039.13)",649.25,42
593,"Modasa-Shamlaji Road Railway Line Project
(Western Railway WR - II)
(706757)
(N22000622)",Gujarat,"09/2012
(04/2008)","03/2025
(03/2026)","262
(262)",354.69,64
594,"Rajkot - Kanalus Doubling Project [111.2 Kms]
(Western Railway WR - II)
(706763)
(N22000535)",Gujarat,"10/2021
(12/2021)","10/2026
(06/2026)","1080.58
(1080.58)",898.28,80
