Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
450,"Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project]
(Ministry of Petroleum & Natural Gas)
(617302)
(N16000275) (-)",West Bengal,"03/2017
(03/2017)","12/2020
(09/2026)","1740
(2493.15)",2363.6,94.7
451,"Siliguri-Jhapa Pipeline Project
(Indian Oil Corporation Limited [IOCL])
(617828)
(-) (-)",West Bengal,"09/2024
(09/2024)","03/2029
(08/2029)","267
(267)",1.92,11.2
452,"Siliguri Marketing Terminal [SMT] Capacity Augmentation Project
(Ministry of Petroleum & Natural Gas)
(617837)
(-) (-)",West Bengal,"11/2021
(11/2021)","12/2025
(09/2026)","484
(484)",310,87.9
453,"Haldia Panagarh Pipeline Project
(Hindustan Petroleum Corporation Limited)
(709753)
(N16000478) (-)",West Bengal,"11/2022
(11/2022)","11/2025
(05/2026)","1010
(1107)",846.32,95
454,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03
(Hindustan Petroleum Corporation Limited)
(709758)
(N16000498) (-)",West Bengal,"06/2022
(06/2022)","06/2030
(06/2030)","2628
(2628)",388.06,36.3
455,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts
(MinistryofPetroleumNaturalGas)
(709772)
(N16000491) (-)",West Bengal,"03/2022
(03/2022)","06/2031
(06/2031)","609
(609)",62.42,2.8
456,"City Gas Distribution Projects at Alipurduar and Cooch Behar
(Bharat Petroleum Corporation Limited [BPCL])
(709791)
(N16000522) (-)",West Bengal,"12/2022
(12/2022)","03/2030
(03/2030)","1017
(1017)",227.8,43.6
,Total (96),,,,370568.19,201674.19,
,Ministry of Health & Family Welfare,,,,,,
,Healthcare,,,,,,
457,"AIIMS Darbhanga
(PMSSY AND Institute of NATIONAL Importance)
(701172)
(-) (3216)",Bihar,"09/2020
(09/2020)","09/2024
(-)","1264
(1264)",0,0
458,"Establishment of new GMC Jamui
(Medical Education, Ministry of Health and Family Welfare)
(707020)
(-) (10127)",Bihar,"03/2019
(10/2022)","10/2025
(-)","250
(500)",102.21,50
459,"Establishment of new GMC Korba
(Medical Education, Ministry of Health and Family Welfare)
(707044)
(-) (-)",Chhattisgarh,"02/2023
(10/2023)","12/2026
(-)","325
(322.85)",177.49,54
460,"Establishment of new GMC Mahasamund
(Medical Education, Ministry of Health and Family Welfare)
(707045)
(-) (-)",Chhattisgarh,"10/2023
(10/2023)","05/2026
(-)","325
(325)",321.5,82
461,"Establishment of new GMC Kanker
(Medical Education, Ministry of Health and Family Welfare)
(707046)
(-) (-)",Chhattisgarh,"02/2020
(09/2024)","03/2027
(-)","325
(325)",35,59
462,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New
Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617882)
(-) (-)",Delhi,"09/2025
(09/2025)","09/2026
(-)","358.19
(358.19)",0,0
463,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar
campuses of AIIMS, New Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617883)
(-) (10791)",Delhi,"10/2016
(06/2022)","06/2027
(-)","4441
(4441)",24.68,61
464,"AIIMS Rajkot
(PMSSY AND Institute of NATIONAL Importance)
(701170)
(-) (3219)",Gujarat,"01/2019
(01/2019)","03/2026
(03/2026)","1195
(1195)",775.6,93.7
465,"Establishment of new GMC Panchmahal
(Medical Education, Ministry of Health and Family Welfare)
(707049)
(-) (10708)",Gujarat,"09/2022
(09/2022)","03/2026
(-)","325
(663.5)",455.34,87.5
466,"Establishment of new GMC Porbandar
(Medical Education, Ministry of Health and Family Welfare)
(707050)
(-) (10710)",Gujarat,"04/2022
(10/2022)","09/2024
(-)","325
(618.98)",934.64,78
467,"AIIMS Majra Rewari Haryana
(PMSSY AND Institute of NATIONAL Importance)
(701173)
(N21000032) (4799)",Haryana,"02/2019
(02/2019)","12/2026
(12/2026)","1299
(1646.43)",651.42,57.2
468,"AIIMS Kashmir at Awantipora Jammu & Kashmir
(PMSSY AND Institute of NATIONAL Importance)
(701167)
(N28000150) (3209)","Jammu and
Kashmir","01/2019
(03/2019)","12/2025
(12/2026)","1828
(2160.84)",1545.05,76
469,"Establishment of new GMC Koderma
(Medical Education, Ministry of Health and Family Welfare)
(707021)
(-) (10126)",Jharkhand,"09/2023
(02/2024)","08/2026
(-)","250
(504.8)",270,40
470,"Establishment of new GMC Chaibasa [Singhbhum]
(Medical Education, Ministry of Health and Family Welfare)
(707022)
(-) (-)",Jharkhand,"06/2018
(03/2023)","09/2025
(-)","250
(454.1)",64,57
