Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
323,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar,
Punjab, Phase-I
(Indian intitue of Management, Amritsar)
(605292)
(-) (-)",Punjab,"10/2019
(07/2020)","06/2023
(11/2026)","348.31
(348.31)",293.24,91.7
324,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block,
International Hostel 100 seater, VC Residence and Purchase of Equipment
(Central University of Punjab)
(617221)
(-) (-)",Punjab,"08/2024
(04/2025)","10/2027
(-)","210.99
(210.99)",81.06,48
325,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South
Sikkim
(Sikkim University)
(609736)
(-) (-)",Sikkim,"08/2020
(01/2022)","01/2025
(03/2026)","314.06
(351.74)",292,96
326,"Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District
(NIT Sikkim)
(612883)
(-) (-)",Sikkim,"02/2024
(03/2024)","02/2028
(12/2026)","685.76
(610.76)",283.56,37.6
327,"Construction of Precast housing and hostels at IIT Hyderabad
(Indian Institute of Technology, Hyderabad)
(609996)
(-) (-)",Telangana,"09/2022
(11/2022)","10/2024
(01/2026)","262
(262)",216.1,89.11
328,"Banaras Hindu University [ Kayakalp of Institute of Medical Sciences]
(Banaras Hindu University)
(606479)
(-) (-)",Uttar Pradesh,"06/2020
(06/2020)","09/2022
(03/2026)","246
(246)",209.68,99
329,"Construction & Development of Infrastructural Facilities in the main campus of NIT
Uttarakhand at Sumari, Pauri Garhwal
(National Institute of Technology Uttarakhand)
(611963)
(-) (-)",Uttarakhand,"06/2020
(04/2024)","09/2027
(-)","650.85
(650.85)",391.87,62
330,"HEFA projects on development of student hostels, playgrounds, departmental
buildings, class room complex and other campus facilities in IIT Kharagpur
(Indian Institute of Technology, Kharagpur)
(609019)
(-) (-)",West Bengal,"06/2018
(04/2019)","03/2023
(03/2026)","500
(442)",418.86,97
,Total (30),,,,15165.68,8423.25,
,Department of Sports,,,,,,
,Education,,,,,,
331,"National Sports University [NSU], Imphal [Manipur]
(Department of Sports & Youth Affairs)
(400081)
(-) (-)",Manipur,"06/2022
(01/2022)","08/2024
(08/2026)","906.47
(611.74)",576.37,97.25
,Total (1),,,,906.47,576.37,
,Ministry of Petroleum & Natural Gas,,,,,,
,Energy Storage,,,,,,
332,"Construction of LPG Facilities at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709754)
(-) (-)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","156.36
(156.36)",109.34,79.8
333,"Setting up of new rail fed POL facility at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited [HPCL])
(709755)
(-) (-)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","384.04
(384.04)",235.27,85.5
334,"Capacity Augmentation of Kandla LPG Import Terminal [KLIT] from 0.6 MMTPA to 2.5
MMTPA
(Ministry of Petroleum & Natural Gas)
(617839)
(-) (-)",Gujarat,"05/2023
(05/2023)","07/2026
(07/2026)","356.86
(304.4)",163.79,67.5
335,"Andheri Residential Towers, Mumbai
(Ministry of Petroleum & Natural Gas)
(604833)
(-) (-)",Maharashtra,"06/2017
(06/2017)","05/2025
(06/2026)","281.35
(389.67)",279.72,83
336,"Setting up of 50 MW [plus/minus 5 percent] Wind Power Plant for Captive
Consumption at MR
(MinistryofPetroleumNaturalGas)
(619313)
(-) (-)",Maharashtra,"05/2023
(05/2023)","04/2027
(04/2027)","483.14
(483.14)",360.28,65.9
337,"LPG Bottling Plant at Mualkhang
(MinistryofPetroleumNaturalGas)
(617829)
(-) (-)",Mizoram,"07/2024
(07/2024)","10/2028
(03/2028)","225.71
(225.71)",30.84,33
338,"Srikakulam Angul Gas Pipeline Project
(Ministry of Petroleum & Natural Gas)
(701343)
(-) (-)","Multi-States
(Andhra Pradesh,
Odisha)","09/2019
(09/2019)","07/2022
(06/2026)","2658.34
(2810)",2315.2,98.1
339,"Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT]
at Paradip
(Ministry of Petroleum & Natural Gas)
(701349)
(-) (-)","Multi-States
(Assam, Bihar,
Jharkhand,
Odisha, West
Bengal)","01/2019
(01/2019)","07/2024
(10/2026)","10228
(12407)",11036,92.9
340,"New Mundra Panipat Crude Oil Pipeline
(Ministry of Petroleum & Natural Gas)
(400078)
(-) (-)","Multi-States
(Gujarat, Haryana,
Rajasthan)","12/2021
(12/2021)","12/2024
(06/2026)","9028
(9028)",7482.71,94.1
341,"Kandla Gorakhpur LPG Pipeline
(Ministry of Petroleum & Natural Gas)
(400012)
(-) (-)","Multi-States
(Gujarat, Madhya
Pradesh, Uttar
Pradesh)","12/2018
(12/2018)","12/2021
(06/2026)","10088
(10088)",8672.35,95.7
