Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
342,"Multi Product Pipeline from Irugur to Devangonthi
(Department of Water Resources, River Development & GR)
(400301)
(-) (-)","Multi-States
(Karnataka, Tamil
Nadu)","11/2012
(11/2012)","02/2017
(09/2026)","678
(1732)",1155.32,84.3
343,"Petrochemical evacuation marketing terminal at Barmer, Rajasthan
(Hindustan Petroleum Corporation Limited [HPCL])
(709759)
(-) (-)",Rajasthan,"12/2023
(12/2023)","12/2026
(12/2026)","461.05
(461.05)",235.1,95.8
344,"Laying of POL Pipelines in Common Corridor for proposed grass root terminal at
Vallur [Chennai]
(Ministry of Petroleum & Natural Gas)
(400043)
(-) (-)",Tamil Nadu,"01/2022
(01/2022)","05/2026
(03/2027)","829
(829)",382.96,79.6
345,"Grass-root Terminal at Mirzapur, Uttar Pradesh
(Ministry of Petroleum & Natural Gas)
(604852)
(-) (-)",Uttar Pradesh,"09/2022
(09/2022)","11/2026
(11/2026)","980.45
(980.45)",295.55,76.5
,Total (14),,,,36838.3,32754.43,
,Oil & Gas,,,,,,
346,"KG-DWN-98/2 Cluster - II Development Project - NELP Block
(MinistryofPetroleumNaturalGas)
(400120)
(-) (-)",Andhra Pradesh,"03/2016
(03/2016)","06/2020
(06/2026)","34012
(34012)",33113.74,96.8
347,"Provision of four bitumen tanks with capacity of 5 TMT each at Visakh Refinery
(Ministry of Petroleum and Natural Gas)
(619226)
(-) (-)",Andhra Pradesh,"09/2025
(09/2025)","03/2028
(03/2028)","258.34
(258.34)",7.12,15.7
348,"HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery
(Hindustan Petroleum Corporation Limited)
(709752)
(-) (-)",Andhra Pradesh,"09/2021
(09/2021)","06/2024
(02/2027)","160
(220)",152.82,93.5
349,"Numaligarh Refinery Expansion Project
(Ministry of Petroleum & Natural Gas)
(604791)
(-) (-)",Assam,"07/2020
(07/2020)","07/2024
(03/2027)","12366
(25313)",20127.1,86.2
350,"Development of Surface Facilities for production and evacuation of Crude Oil and
Natural Gas from Nadua and East Khagorija
(Ministry of Petroleum & Natural Gas)
(604863)
(-) (-)",Assam,"01/2018
(01/2018)","02/2020
(06/2026)","682.9
(726.93)",599.83,94.4
351,"Construction of Field Gas Gathering Station at Baghjan area for collection, processing
& transportation of natural Gas to be produced from Baghjan Field
(Ministry of Petroleum & Natural Gas)
(616858)
(-) (-)",Assam,"12/2020
(12/2020)","03/2024
(06/2026)","430.76
(430.76)",348.57,94.5
352,"Coke Drum Structure Package
(Ministry of Petroleum & Natural Gas)
(617836)
(-) (-)",Assam,"12/2022
(12/2022)","12/2025
(09/2026)","635.28
(635.28)",543,70.8
353,"Group Gathering Station, Lakwagaon
(Ministry of Petroleum & Natural Gas)
(619316)
(-) (-)",Assam,"10/2025
(10/2025)","10/2027
(10/2027)","495.59
(495.59)",20.04,7.8
354,"Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi
(MinistryofPetroleumNaturalGas)
(709776)
(-) (-)",Assam,"04/2022
(04/2022)","09/2026
(09/2026)","277
(323.09)",234.57,84.2
355,"Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA
(MinistryofPetroleumNaturalGas)
(709779)
(-) (-)",Assam,"06/2022
(06/2022)","03/2026
(07/2027)","768
(740)",225.2,59.4
356,"Pipeline Network Project Rudrasagar
(Ministry of Petroleum & Natural Gas)
(709847)
(-) (-)",Assam,"01/2023
(01/2023)","04/2026
(04/2027)","481.03
(481.03)",238.7,54.8
357,"Borholla GGS Life Extension Project [BLEP]
(Ministry of Petroleum & Natural Gas)
(709850)
(-) (-)",Assam,"09/2023
(09/2023)","05/2026
(09/2026)","198.7
(198.7)",103.59,62.5
358,"DCU Revamp Project
(NRL)
(709864)
(-) (-)",Assam,"08/2021
(08/2021)","07/2024
(03/2027)","370
(370)",310.38,78.6
359,"Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation Scheme
(NRL)
(709865)
(-) (-)",Assam,"04/2023
(04/2023)","12/2024
(12/2026)","293.5
(293.5)",81.84,99
360,"Setting up of LPG Plant with Rail Unloading Facility at Hathua, Dist. Gopalganj, Bihar
(MinistryofPetroleumNaturalGas)
(617304)
(-) (-)",Bihar,"10/2023
(10/2023)","03/2027
(03/2027)","340.15
(340.15)",179.55,55
361,"Barauni Refinery Capacity Expansion from 6.0 to 9.0 MMTPA
(Ministry of Petroleum & Natural Gas)
(701324)
(-) (-)",Bihar,"01/2020
(01/2020)","04/2023
(08/2026)","14810
(16724)",74990.3,91.6
362,"Installation of Bitumen Manufacturing Unit along with allied facilities at Barauni
Refinery
(MinistryofPetroleumNaturalGas)
(709777)
(-) (-)",Bihar,"01/2022
(01/2022)","04/2025
(06/2027)","389.35
(340)",130.89,64.6
