Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
475,"Rebuilding of Coke Oven Battery No.6 at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617257)",Jharkhand,"11/2023
(12/2023)","11/2026
(-)","627.31
(627.31)",126.45,42
476,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining
Complex of NMDC Limited at Ballari Dt, Karnataka.
(National Mineral Development Corporation Limited [NMDC])
(400121)",Karnataka,"11/2014
(06/2024)","08/2026
(-)","1043.63
(1043.63)",262.34,32
477,"Installation of 4th Slab Caster along with its Auxiliaries and a New Ladle Furnace in
SMS-II at Rourkela Steel Plant
(Steel Authority of India Limited [SAIL])
(400065)",Odisha,"01/2022
(02/2022)","05/2025
(09/2025)","1105.23
(1105.23)",769.08,99
478,"Rebuilding of COB 4 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(612781)",West Bengal,"09/2023
(09/2023)","12/2026
(-)","916.78
(916.78)",137.01,18
479,"Installation of New Bar Mill at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617242)",West Bengal,"07/2024
(08/2024)","06/2027
(-)","2115.44
(2115.44)",228.35,29
480,"Up-gradation of Blast Furnace No. 3 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617246)",West Bengal,"09/2024
(08/2024)","06/2026
(-)","758.09
(758.09)",67.14,6
481,"Third Ladle Furnace in Secondary Refinery Unit at IISCO Steel Plant
(Steel Authority of India Limited [SAIL])
(617248)",West Bengal,"11/2024
(12/2024)","07/2026
(-)","227.96
(227.96)",19.61,31
482,"Revamping of Air Pollution Control Systems of SP-1 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617251)",West Bengal,"07/2024
(12/2024)","05/2026
(-)","196.4
(196.4)",0.19,3
,Total (20),,,,19266.64,8277.97,
,Ministry of Railways,,,,,,
,Railways,,,,,,
483,"Nadikudi - Srikalahasti New Line
(South Central Railway [SCR] - II)
(400298)",Andhra Pradesh,"03/2012
(12/2016)","05/2027
(03/2028)","2312
(5200)",2179,54
