Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
172,"6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 162.5
to Km. 203.100 in Raichur of NH-150C Pkg-IV
(National Highways Authority of India [NHAI])
(618631)","Multi-States (Karnataka,
Telangana)","03/2022
(11/2022)","05/2025
(-)","1499.73
(1457.48)"
173,"Construction of 26 VUPs, Major Bridge, Service Road etc. on Lalitpur-Sagar-
Lakhnadon section of NH-44 NS
(National Highways Authority of India [NHAI])
(618556)","Multi-States (Madhya
Pradesh, Uttar Pradesh)","02/2023
(03/2024)","03/2026
(-)","665.91
(665.91)"
174,"Mangloor to Telangana Maharashtra Border
(National Highways Authority of India [NHAI])
(618624)","Multi-States (Maharashtra,
Telangana)","03/2018
(04/2019)","04/2021
(03/2021)","1082.65
(1323.12)"
175,"4L of Bamni - Rajura - Warur - Devada upto M.S. Border of NH - 930D from km 19.000
to km 51.985
(National Highways Authority of India [NHAI])
(618941)","Multi-States (Maharashtra,
Telangana)","03/2022
(03/2024)","03/2026
(08/2026)","968.05
(1187.19)"
176,"Viluppuram Km.0.000 to Puducherry Km.29.000
(National Highways Authority of India [NHAI])
(618844)","Multi-States (Puducherry,
Tamil Nadu)","03/2018
(11/2021)","11/2023
(03/2024)","1358.31
(1162.44)"
177,"4L of left out existing road section from Lalgopalganj Km 161.450 to Nawabganj Km
180.200 in Prayagraj
(National Highways Authority of India [NHAI])
(618755)","Multi-States (Rajasthan, Uttar
Pradesh)","03/2024
(04/2025)","03/2026
(-)","159.53
(100.74)"
178,"Construction of Rudrapur Bypass Section from Km. 0.000 to 20.640 in the state of
Uttar Pradesh & Uttarakhand
(National Highways Authority of India [NHAI])
(618912)","Multi-States (Uttar Pradesh,
Uttarakhand)","03/2023
(01/2024)","01/2026
(-)","1051.73
(1117.17)"
179,"4-laning of Pilibhit - Sitarganj from Km. 32.500 to Km. 70.800 Pkg-2 of NH-30
(National Highways Authority of India [NHAI])
(618783)","Multi-States (Uttar Pradesh,
Uttarakhand)","01/2023
(03/2024)","03/2026
(03/2027)","1471.19
(1471.19)"
180,"4L of Nagina-Kashipur section from km. 73.00 to km. 175.00 of NH-74
(National Highways Authority of India [NHAI])
(618876)","Multi-States (Uttar Pradesh,
Uttarakhand)","01/2015
(10/2017)","04/2020
(12/2021)","2125.03
(2531.19)"
181,"4L of Haridwar-Nagina section from km. 0.00 to km. 71.614 of NH-74
(National Highways Authority of India [NHAI])
(619217)","Multi-States (Uttar Pradesh,
Uttarakhand)",(01/2018),"07/2020
(07/2025)","1659.12
(1622.49)"
182,"6L of Hatibena - Badakumari Section from Km 146.50 to km 179.00 of NH-130-CD
Package OD-2
(National Highways Authority of India [NHAI])
(619213)",Odisha,"02/2021
(03/2022)","03/2024
(-)","791.17
(1070.63)"
183,"Cuttack-Angul Section of NH-42 New NH-55 from Km.60.200 to Km. 112.000 Pkg-II in
the State of Odisha
(National Highways Authority of India [NHAI])
(619215)",Odisha,"10/2017
(03/2018)","09/2020
(12/2024)","991.41
(1168.82)"
184,"Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of
NH-53 Old NH 5A from Km.60.000 to Km.76.646 Package-4
(National Highways Authority of India [NHAI])
(619181)",Odisha,"03/2023
(11/2024)","10/2026
(-)","882.45
(1009.92)"
185,"6L Flyover including RE Wall approaches with Flexible Pavement in the Elephant
Corridor of Angul Sambalpur Section of NH-42 New NH-55 Km.202.533
(National Highways Authority of India [NHAI])
(618704)",Odisha,"09/2023
(06/2024)","01/2027
(-)","150.86
(106.32)"
186,"Rehabilitation and Up gradation from 4 to 8 laning of Chandikhole Paradip Section of
NH-53 Old NH 5A from Km.0.00 to Km.18.00Package-1
(National Highways Authority of India [NHAI])
(618822)",Odisha,"03/2023
(12/2023)","12/2025
(-)","929.91
(869.45)"
187,"Construction of 6-lane flyover at Ainthapali junction and a 2-lane ROB LHS on NH-53
Earlier NH-6 in Sambalpur, on EPC mode in Odisha under NHO
(National Highways Authority of India [NHAI])
(618591)",Odisha,"03/2024
(06/2024)","12/2026
(-)","374.17
(211.74)"
188,"Balance work of Rehabilitation and Upgradation to four laning of Baharagora Singhara
section of NH-49 from Km.229.727 to Km.238.990 Length 9.263 Km. including
construction of five nos. of Elephant Underpasses EUP and fourteen nos. of Animal
Underpasses AUP inside the buffer zone of Similipal Tiger Reserve Area in Bangriposi
Ghat section in the State of Odisha on EPC Mode
(National Highways Authority of India [NHAI])
(618593)",Odisha,"03/2025
(05/2025)","11/2027
(-)","263.32
(163.07)"
189,"Widening and Strengthening to 2LPS including LA from km 318.970 to 353.450
Balikuda-Mulkani Section of NH-55 under NHO in Annual Plan 2022-23 in the State of
Odisha. Job No. NH-55-OD-2022-23-656
(MoRTH)
(617920)",Odisha,"01/2022
(06/2025)","06/2027
(-)","511.54
(-)"
190,"Construction of Jharsuguda Bypass including Land acqusition on NH-49 from km
258.636 to km 283.300 design chainage 258.636 to km 289.876 under NHO in Annual
Plan 2022-23 for the state of Odisha Job No.NH-49-OD-2022-23-655
(MoRTH)
(617922)",Odisha,"09/2021
(01/2025)","07/2027
(-)","587.1
(-)"
191,"New construction of Major Bridge with Approaches from Km 0.000 to 1.200 Madhopur -
Badabanta section of NH-20 under NHO in Annual Plan 2022-23 in the State of Odisha
(MoRTH)
(617898)",Odisha,"03/2023
(04/2025)","10/2027
(-)","199.5
(-)"
192,"construction or By-pass road on NH-26 for Nabrangpur Town
(MoRTH)
(617902)",Odisha,"03/2023
(12/2024)","12/2026
(-)","168.95
(-)"
193,"Widening to 2 lane with paved shoulded of Jareikela Jharkhand/Odisha Border -
Dhabaleswar section from 0/0 to 36/0 of NH-320D in the State of Odisha under Annual
Plan 2021-22.
(MoRTH)
(618122)",Odisha,"03/2022
(10/2024)","10/2026
(-)","172.09
(-)"
194,"Construction of Dharmagarh Bypass on NH-130C including land acquisition in the state
of Odisha on EPC Mode under Annual plan 2022-23.
(MoRTH)
(618079)",Odisha,"03/2023
(04/2025)","10/2026
(-)","172.66
(-)"
