Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
712,"Replacement of remaining 04 sets of Battery Cyclones with 04 Nos. of ESPs in Sinter
Plant-1 at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617254)",Jharkhand,04/2024,"06/2026
(-)","260.37
(260.37)",44.22,22
713,"Rebuilding of Coke Oven Battery No.6 at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617257)",Jharkhand,12/2023,"11/2026
(-)","627.31
(627.31)",88.21,37
714,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining
Complex of NMDC Limited at Ballari Dt, Karnataka.
(National Mineral Development Corporation Limited [NMDC])
(400121)",Karnataka,06/2024,"08/2026
(-)","1043.63
(1043.63)",214.48,25
715,"Installation of 4th Slab Caster along with its Auxiliaries and a New Ladle Furnace in
SMS-II at Rourkela Steel Plant
(Steel Authority of India Limited [SAIL])
(400065)",Odisha,02/2022,"05/2025
07/2025","1105.23
(1105.23)",736.47,96
716,"Rebuilding of COB 4 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(612781)",West Bengal,12/2023,"12/2026
(-)","916.78
(916.78)",118.63,12
717,"Installation of New Bar Mill at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617242)",West Bengal,10/2024,"06/2027
(-)","2115.44
(2115.44)",206.67,24
718,"Up-gradation of Blast Furnace No. 3 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617246)",West Bengal,10/2024,"06/2026
(-)","758.09
(758.09)",53.31,3
719,"Third Ladle Furnace in Secondary Refinery Unit at IISCO Steel Plant
(Steel Authority of India Limited [SAIL])
(617248)",West Bengal,12/2024,"07/2026
(-)","227.96
(227.96)",16.24,29
720,"Revamping of Air Pollution Control Systems of SP-1 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617251)",West Bengal,12/2024,"05/2026
(-)","196.4
(196.4)",0.19,2
,Total (19),,,,16748.25,7759.53,
,Department for Promotion of Industry & Internal Trade,,,,,,
,Real Estate,,,,,,
721,"Krishnapatnam Node - Phase 1 - Roads and Services Development
(National Industrial Corridor Development Corporation)
(701658)",Andhra Pradesh,02/2024,"02/2028
(-)","2139.44
(2139.44)",327.99,14
722,"Tumakuru Node - Phase 1 - Roads and Services Development
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(701657)",Karnataka,02/2023,"09/2026
(-)","1701.81
(1701.81)",95,8
,Total (2),,,,3841.25,422.99,
,"Tourism, Hospitality & Wellness",,,,,,
723,"Exhibition cum Convention Centre Dwarka [Phase I]
(India International Convention & Expo Centre)
(400429)",Delhi,12/2017,"10/2019
01/2025","5178
(5401)",4470,97.4
,Total (1),,,,5178,4470,
,Department of Telecommunications,,,,,,
,Telecommunication,,,,,,
724,"SETTING UP OF PHYSICAL INFRASTRUCTURE FOR THE NATIONAL INSTITUTE
OF COMMUNICATION FINANCE [NICF] AT GHITORNI
(National Communication Academy - Finance (Erstwhile NICF))
(709859)",Delhi,04/2018,"02/2020
10/2025","248.2
(248.2)",236.91,98
725,"Provision of 4G based Mobile Services in Uncovered Villages and National Highways
of Meghalaya
(Department of Telecommunications [DoT])
(701598)",Meghalaya,09/2020,"03/2022
03/2025","971.96
(971.96)",208.25,98
726,"Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase2
(Department of Telecommunications [DoT])
(701599)","Multi-States
(Andhra Pradesh,
Bihar,
Chhattisgarh,
Jharkhand,
Madhya Pradesh,
Maharashtra,
Odisha,
Telangana, Uttar
Pradesh, West
Bengal)",09/2021,"03/2023
11/2025","1577.57
(1577.57)",596.17,87
727,"Provision of 4G based mobile services in 7,287 uncovered villages of 44 Aspirational
District across 5 states of Andhra Pradesh, Chhattisgarh, Jharkhand, Maharashtra &
Odisha
(Department of Telecommunications [DoT])
(701602)","Multi-States
(Andhra Pradesh,
Chhattisgarh,
Jharkhand,
Maharashtra,
Odisha)",05/2022,"11/2023
11/2025","3685
(3685)",1101.39,79
728,"Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and 2
Districts of Assam
(Department of Telecommunications [DoT])
(701597)","Multi-States
(Arunachal
Pradesh, Assam)",10/2021,"04/2023
09/2025","1255.49
(1255.49)",284.04,89
729,"354 Uncovered Villages Scheme
(Department of Telecommunications [DoT])
(701600)","Multi-States
(Bihar, Gujarat,
Himachal Pradesh,
Jammu and
Kashmir, Ladakh,
Rajasthan, Uttar
Pradesh)",04/2020,"10/2021
08/2025","336.89
(301.13)",225.71,97
730,"502 Aspirational District Scheme in Four states - Bihar, Madhya Pradesh, Rajastha
and Uttar Pradesh
(Department of Telecommunications [DoT])
(704495)","Multi-States
(Bihar, Madhya
Pradesh,
Rajasthan, Uttar
Pradesh)",03/2021,"03/2022
12/2025","421.65
(228.94)",126.45,96
731,"PHASE-I OF CONSOLIDATION OF EXISTING CDR DATA CENTERS AND NIB-P3
DATA CENTERS WITH STATE OF THE ART
(BSNL)
(709749)","Multi-States
(Maharashtra,
Telangana)",03/2020,"06/2021
12/2025","461.42
(461.42)",166.02,81
