Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Department of Higher Education,,,,,,
,Education,,,,,,
292,"Construction of Permanent Campus of Central Tribal University of Andhra Pradesh
Phase-1
(Central Tribal University of Andhra Pradesh)
(613008)",Andhra Pradesh,12/2023,"06/2027
(-)","305
(305)",83.33,24
293,"Construction of Permanent Campus of National Institute of Technology Arunachal
Pradesh
(National Institute of Technology, Arunachal Pradesh)
(612898)",Arunachal Pradesh,03/2013,"08/2026
(-)","592.61
(592.61)",549.96,75
294,"Tezpur University Projects
(Tezpur University)
(606112)",Assam,06/2021,"11/2023
08/2025","153.71
(153.71)",288.87,93
295,"Additional Campus of NITPatna
(NIT Patna)
(606013)",Bihar,08/2022,"07/2024
01/2026","499.21
(499.21)",425.47,91
296,"Phase 1B - Construction of Academic Block, Hostel, Residential Tower, Directors
Residence and External Development works at National Institute of Technology, Delhi
Campus on Engineering, Procurement and Construction basis
(Ministry of Education)
(612851)",Delhi,11/2022,"09/2025
(-)","333.49
(333.49)",272.95,88
297,"Delhi University Eastern Campus at Surajmal Vihar
(Delhi University)
(616886)",Delhi,01/2025,"10/2026
(-)","373
(373)",18.03,15
298,"Construction of permanent campus of Central University of Gujarat at Village
kundhela, Dist. Vadodara, Gujarat.
(Gujarat)
(612916)",Gujarat,02/2021,"03/2025
03/2026","490.63
(490.63)",301.44,76
299,"Establishment of Permanent campus Phase 1 of IIM Sirmaur
(Indian Institute of Management, Sirmaur)
(602099)",Himachal Pradesh,08/2020,"10/2023
02/2026","392.51
(454.78)",320.75,92
300,"Hostel blocks & dining hall block
(Indian Institute of Technology, Mandi)
(612128)",Himachal Pradesh,03/2024,"03/2026
03/2026","166.66
(166.66)",72.09,58
301,"Construction of Permanent Campus of Central University of Himachal Pradesh at
Dehra, District - Kangra, [H.P.] on Engineering. Procurement and Construction [EPC
Mode 1] Basis.
(Central University, Himachal Pradesh)
(612894)",Himachal Pradesh,08/2022,"11/2024
11/2025","251.98
(300.45)",183.36,78
302,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota,
Jammu, J&K
(Indian Institute of Management, Jammu)
(602098)","Jammu and
Kashmir",10/2020,"06/2023
08/2025","424.93
(500.91)",484.52,96
303,"Additional Infrastructure at IISc Bangalore-RCC Monolithic for Men Hostel S14,
Women Hostel S11 , Postdoctoral Hostel S12 2 Block , International Hostel S 12 ,
D&E Block S 12 2 Block FR.
(IISC Bangalore)
(610940)",Karnataka,08/2021,"03/2024
09/2025","420.41
(420.41)",360.72,99
304,"CONSTRUCTION OF PERMANENT CAMPUS FOR IIT PALAKKAD UNDER PHASE
1A
(INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD)
(606431)",Kerala,03/2020,"06/2022
11/2026","1006.45
(1217.4)",615.95,66
305,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy
& Sophisticated lab complex, Academic POD and Infrastructure for center of
excellence]
(Indian Institute of Technology, Indore)
(611957)",Madhya Pradesh,11/2023,"12/2026
(-)","496.28
(496.28)",138.6,30
306,"Hostel 4 -Earlier Known as Hostel 20
(Indian Institute of Technology, Bombay)
(612135)",Maharashtra,05/2022,"09/2025
(-)","182.33
(182.33)",132.44,94
307,"Academic Block 1 & 2
(Indian Institute of Technology, Bombay)
(612203)",Maharashtra,01/2023,"07/2026
03/2027","68
(263.93)",22.15,16
308,"Construction and Developement of National Institute of Technology Meghalaya
Permanent Campus at Sohra
(National Institute of Technology, Meghalaya)
(612885)",Meghalaya,09/2014,"03/2022
07/2025","494.52
(494.52)",413.57,86
309,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl
(Ministry of Education)
(612876)",Mizoram,05/2014,"12/2029
12/2029","474.23
(474.23)",167.55,4
310,"Establishment of NIT Nagaland
(NIT Nagaland)
(613013)",Nagaland,09/2012,"12/2025
(-)","275.63
(275.63)",257.82,93
311,"IISER BERHAMPUR
(Indian Institutes of Science Education and Research, Behrampur)
(610315)",Odisha,09/2019,"03/2021
11/2025","1229.32
(773.76)",835.55,97
312,"Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II]
(National Institute of Technology, Puducherry)
(612877)",Puducherry,07/2013,"12/2024
08/2025","618.34
(544.34)",509.24,94
313,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar,
Punjab, Phase-I
(Indian intitue of Management, Amritsar)
(605292)",Punjab,07/2020,"06/2023
12/2025","348.31
(348.31)",290.39,91
314,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block,
International Hostel 100 seater, VC Residence and Purchase of Equipment
(Central University of Punjab)
(617221)",Punjab,04/2025,"10/2027
(-)","210.99
(210.99)",0,0
315,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South
Sikkim
(Sikkim University)
(609736)",Sikkim,01/2022,"01/2025
09/2025","314.06
(314.06)",238.22,82
316,"Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District
(Ministry of Education)
(612883)",Sikkim,03/2024,"02/2028
12/2026","685.76
(610.76)",121.56,7
