Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
649,"Third Railway Line between Patratu-Sonnagar [281 kms]
(RVNL - II)
(400234)","Multi-States
(Bihar, Jharkhand)","11/2016
(08/2018)","03/2026
(07/2026)","8975
(8975)",4950,88
650,"Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm
(East Central Railway [ECR] - I)
(616699)","Multi-States
(Bihar, Jharkhand)","08/2023
(08/2023)","03/2028
(-)","12333.57
(12333.6)",420.86,13
651,"Koderma-Tilaiya New Line
(East Central Railway [ECR] - I)
(705375)","Multi-States
(Bihar, Jharkhand)","11/2004
(03/2002)","02/2025
(02/2026)","1626
(2486.62)",2122.42,94
652,"Pirpainti - Jasidih [100.52 Km] New BG line
(Eastern Railway [ER] - I)
(705385)","Multi-States
(Bihar, Jharkhand)","03/2014
(03/2022)","03/2028
(03/2028)","2555
(2555)",784.18,49
653,"NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl] Chhapra
Gramin & Burhwal Jn [Excl] Sitapur Jn section of high density routes
(North Eastern Railway [NER])
(611669)","Multi-States
(Bihar, Uttar
Pradesh)","NA
(06/2023)","03/2027
(-)","380.47
(380.47)",24.53,0
654,"Gorakhpur-Valmikinagar Doubling project
(NER)
(617224)","Multi-States
(Bihar, Uttar
Pradesh)","08/2023
(03/2024)","12/2027
(-)","1120
(1120)",269.67,26
655,"Chhapra-Ballia Patch Doubling
(North Eastern Railway [NER])
(705562)","Multi-States
(Bihar, Uttar
Pradesh)","03/2013
(12/2015)","02/2025
(03/2026)","963
(1046)",912.16,95
656,"Katihar - Kumedpur Doubling Line Project
(GM/C/ NFR)
(706844)","Multi-States
(Bihar, West
Bengal)","08/2022
()","08/2027
(08/2027)","942
(942)",356,45
657,"Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km]
(South East Central Railway [SECR] - II)
(705617)","Multi-States
(Chhattisgarh,
Maharashtra)","09/2016
(12/2016)","12/2024
(06/2026)","3545
(3545)",3518.69,96
658,"Sardega -Bhalumuda New Double line [37.24 Km]
(SECR)
(617390)","Multi-States
(Chhattisgarh,
Odisha)","09/2024
(09/2024)","03/2028
(-)","1281.81
(1281.81)",128,2
