Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
592,"AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km
(South Central Railway [SCR] - II)
(611751)",Maharashtra,"05/2023
(05/2023)","03/2027
(-)","960.64
(960.64)",732.32,1
593,"Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of
associated infrastructure
(Rail Land Development Authority)
(613015)",Maharashtra,"04/2023
(07/2023)","03/2027
(-)","1813
(1813)",635.74,17
594,"Gondia-Balharshah [Chanda Fort] Doubling [240 Km]
(South East Central Railway)
(617201)",Maharashtra,"04/2025
(04/2025)","03/2031
(-)","4373.04
(4373.04)",0.29,0
595,"Doubling between Parbhani Parli Vaijanath stations 64.71 Km
(South Central Railway [SCR] - II)
(617215)",Maharashtra,"12/2023
(12/2023)","03/2028
(-)","769.93
(769.93)",43.91,0
596,"Babupeth - Sasti New Rail Line [13.114 KMs]
(CentralRailway)
(617361)",Maharashtra,"10/2024
(10/2024)","03/2028
(-)","362.81
(362.81)",0.47,0
597,"Double Chord line Between Nilaje-Kopar
(CentralRailway)
(617364)",Maharashtra,"01/2025
(01/2025)","07/2028
(-)","338.33
(205)",7.8,0
598,"Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3
km]
(Central Railway [CR] - II)
(705356)",Maharashtra,"01/1999
(10/2002)","03/2026
(03/2026)","2538.67
(4957.27)",5183.23,98
599,"Baramati Lonand New Line Project
(Central Railway)
(705357)",Maharashtra,"03/2016
(03/1999)","03/2027
(03/2027)","138.48
(1843.9)",877.37,51
600,"Wadsa-Gadchiroli
(South East Central Railway)
(705479)",Maharashtra,"05/2017
(03/2012)","03/2027
(03/2027)","1886
(1886)",730.33,53
601,"3rd Line Kalyan - Kasara [67.35 Kilometres]
(Central Railway)
(705498)",Maharashtra,"09/2015
(09/2015)","12/2026
(12/2026)","792.89
(1395.79)",996.09,68
602,"3rd Line Wardha - Sewagram - Nagpur
(Central Railway [CR] - II)
(705500)",Maharashtra,"09/2015
(05/2016)","12/2025
(10/2026)","540.02
(916.53)",798.01,84
603,"3rd Line Wardha - Ballarshah [132 Kilometres]
(Central Railway [CR] - II)
(705502)",Maharashtra,"03/2016
(12/2016)","12/2025
(02/2026)","1384.72
(2033.59)",1727.83,86
604,"Pune - Miraj-Londa [467 Kilometres]
(Central Railway)
(705503)",Maharashtra,"06/2016
(06/2016)","02/2025
(08/2025)","4027.53
(4872.52)",5113.51,100
605,"Doubling of Daund Manmad Line [247.6 km]
(Central Railway)
(705504)",Maharashtra,"10/2017
(03/2017)","12/2025
(03/2026)","2081.27
(3267.06)",2956.98,92
606,"4th Line Wardha - Nagpur [78.7 Kilometres]
(Central Railway [CR] - II)
(705505)",Maharashtra,"04/2017
(05/2018)","12/2025
(10/2026)","637.95
(1214.69)",1035.92,88
607,"3rd Line Manmad - Jalgaon [160 Kilometres]
(Central Railway [CR] - II)
(705506)",Maharashtra,"05/2017
(04/2018)","12/2024
(08/2025)","1035.16
(1558.75)",1726.94,95
608,"Solapur-tuljapur-Osmanabad
(Central Railway)
(705735)",Maharashtra,"08/2018
(12/2023)","03/2027
(03/2028)","904.92
(3295.74)",1177.85,12
609,"Nagpur- Nagbhir Railway Line Gauge Conversion Project
(MRIDC)
(705799)",Maharashtra,"10/2019
(04/2020)","12/2025
(12/2025)","1400
(1400)",1472,80
610,"Mumbai Urban Transport Project [MUTP] - PHASE II
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706779)",Maharashtra,"05/2008
(04/2008)","03/2014
(12/2027)","8087
(8087)",7428.59,87
611,"Mumbai Urban Transport Project [MUTP] Phase-IIIA
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706780)",Maharashtra,"04/2019
(04/2019)","12/2027
(12/2027)","33690
(33690)",2922.12,20
612,"Mumbai Urban Transport Project Phase-III
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706781)",Maharashtra,"11/2016
(12/2016)","03/2022
(12/2026)","10947
(10947)",5760.81,70
613,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",15824.48,72
614,"Marikuppam - Kuppam New Line Project [23.70 Km]
(South Western Railway [SWR] - II)
(705491)","Multi-States
(Andhra Pradesh,
Karnataka)","04/2012
(10/2018)","06/2026
(06/2026)","297
(297)",137.3,20
615,"Rayadurg-Tumkur via Kalyandurg New Line [207 km]
(South Western Railway [SWR] - II)
(705494)","Multi-States
(Andhra Pradesh,
Karnataka)","03/2008
(07/2010)","09/2015
(02/2028)","2496
(2496)",1807.86,70
616,"Renigunta, Wadi & Gooty Bypass Railway Project
(South Central Railway [SCR] - II)
(705610)","Multi-States
(Andhra Pradesh,
Karnataka)","04/2016
(04/2016)","12/2025
(12/2025)","302
(543)",381,50
617,"Doubling between Mudkhed Medchal & Mahbubnagar Dhone section 417.88 Km
(South Central Railway [SCR] - II)
(617212)","Multi-States
(Andhra Pradesh,
Maharashtra,
Telangana)","08/2023
(08/2023)","03/2029
(-)","4686.09
(4686.09)",1048.12,2
618,"Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM]
(RVNL - II)
(400253)","Multi-States
(Andhra Pradesh,
Odisha)","06/2016
(11/2016)","12/2025
(12/2025)","4803
(6669.91)",6016.71,94
619,"Doubling of Kottavalasa-Koraput Rail Line [189 KM]
(East Coast Railway [ECoR] - II)
(705512)","Multi-States
(Andhra Pradesh,
Odisha)","12/2015
(01/2016)","03/2022
(03/2028)","2500
(2500)",2091.69,71
620,"Tindivanam-Nagari New Line Project [184.5 km]
(Ministry of Railways)
(400275)","Multi-States
(Andhra Pradesh,
Tamil Nadu)","07/2008
(10/2008)","09/2025
(03/2028)","3631
(3631)",1176.55,19
621,"Doubling between Motumari Vishnupuram - 88.81 Km and Rail over Rail - RoR at
Motumari - 10.877 Km
(South Central Railway [SCR] - II)
(616857)","Multi-States
(Andhra Pradesh,
Telangana)","02/2024
(03/2025)","03/2029
(-)","1595.55
(1595.55)",46.01,2
