Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
448,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New
Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617882)
(-) (-)",Delhi,"09/2025
(09/2025)","09/2026
(-)","358.19
(358.19)",53.73,35
449,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar
campuses of AIIMS, New Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617883)
(-) (-)",Delhi,"10/2016
(06/2022)","06/2027
(-)","4441
(4441)",44.44,57
450,"AIIMS Rajkot
(PMSSY AND Institute of NATIONAL Importance)
(701170)
(-) (-)",Gujarat,"01/2019
(01/2019)","03/2026
(12/2026)","1195
(1195)",793.03,93.85
451,"Establishment of new GMC Panchmahal
(Medical Education, Ministry of Health and Family Welfare)
(707049)
(-) (-)",Gujarat,"09/2022
(09/2022)","03/2026
(-)","325
(663.5)",457.34,87.5
452,"Establishment of new GMC Porbandar
(Medical Education, Ministry of Health and Family Welfare)
(707050)
(-) (-)",Gujarat,"04/2022
(10/2022)","09/2024
(-)","325
(618.98)",936.64,81
453,"AIIMS Majra Rewari Haryana
(PMSSY AND Institute of NATIONAL Importance)
(701173)
(-) (-)",Haryana,"02/2019
(02/2019)","12/2026
(12/2026)","1299
(1646.43)",717.42,64.85
454,"AIIMS Kashmir at Awantipora Jammu & Kashmir
(PMSSY AND Institute of NATIONAL Importance)
(701167)
(-) (-)","Jammu and
Kashmir","01/2019
(03/2019)","12/2025
(12/2026)","1828
(2160.84)",1594.22,78
455,"Establishment of new GMc Udhampur
(Medical Education, Ministry of Health and Family Welfare)
(707051)
(-) (-)","Jammu and
Kashmir","09/2019
(01/2022)","03/2027
(-)","325
(325)",222,75
456,"Establishment of new GMC Handwara [Distt. Kupwara]
(Medical Education, Ministry of Health and Family Welfare)
(707052)
(-) (-)","Jammu and
Kashmir","NA
(01/1900)","01/1900
(-)","325
(325)",173,0
457,"Establishment of new GMC Koderma
(Medical Education, Ministry of Health and Family Welfare)
(707021)
(-) (-)",Jharkhand,"09/2023
(02/2024)","08/2026
(-)","250
(504.8)",271,40
458,"Establishment of new GMC Chaibasa [Singhbhum]
(Medical Education, Ministry of Health and Family Welfare)
(707022)
(-) (-)",Jharkhand,"06/2018
(03/2023)","09/2025
(-)","250
(454.1)",65,57
459,"Establishment of new GMC Leh
(Medical Education, Ministry of Health and Family Welfare)
(707057)
(-) (-)",Ladakh,"NA
(01/1900)","01/1900
(-)","325
(325)",127,0
460,"Establishment of new GMC Rajgarh
(Medical Education, Ministry of Health and Family Welfare)
(707058)
(-) (-)",Madhya Pradesh,"12/2021
(11/2022)","04/2024
(-)","325
(325)",179,84
461,"Establishment of new GMC Mandla
(Medical Education, Ministry of Health and Family Welfare)
(707059)
(-) (-)",Madhya Pradesh,"08/2023
(10/2023)","04/2026
(-)","325
(325)",83.41,43
462,"Establishment of new GMC Gondia
(Medical Education, Ministry of Health and Family Welfare)
(706988)
(-) (-)",Maharashtra,"NA
(01/1900)","01/1900
(-)","189
(189)",113.4,0
463,"Establishment of new GMC West Garo Hills [Tura]
(Medical Education, Ministry of Health and Family Welfare)
(706989)
(-) (-)",Meghalaya,"NA
(01/1900)","01/1900
(-)","189
(189)",170.1,0
464,"Establishment of new GMC Mon
(Medical Education, Ministry of Health and Family Welfare)
(707067)
(-) (-)",Nagaland,"NA
(01/1900)","01/1900
(-)","325
(325)",155,0
465,"Establishment of new GMC Kapurthala
(Medical Education, Ministry of Health and Family Welfare)
(707069)
(-) (-)",Punjab,"11/2019
(07/2027)","12/2028
(-)","325
(550)",0,0
466,"Establishment of new GMC Hoshiarpur
(Medical Education, Ministry of Health and Family Welfare)
(707070)
(-) (-)",Punjab,"01/2020
(03/2026)","12/2028
(-)","325
(374.75)",2,1
467,"Establishment of new GMC Gangtok
(Medical Education, Ministry of Health and Family Welfare)
(707039)
(-) (-)",Sikkim,"10/2018
(12/2018)","12/2026
(-)","250
(635.21)",667.21,92
468,"ALL India Institute of Medical Sciences-AIIMS Madurai
(PMSSY AND Institute of NATIONAL Importance)
(701168)
(-) (-)",Tamil Nadu,"12/2018
(12/2018)","08/2022
(10/2026)","1264
(2021.51)",522.72,52
469,"AIIMS Bibinagar
(PMSSY AND Institute of NATIONAL Importance)
(701171)
(-) (-)",Telangana,"12/2018
(07/2022)","06/2026
(06/2026)","1028
(1365.95)",989.98,87.32
