Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
428,"Augmentation/ Revamping of Dimapur Depot, Dimapur
(MinistryofPetroleumNaturalGas)
(709786)
(N16000529) (-)",Nagaland,"08/2023
(08/2023)","11/2027
(11/2027)","227.62
(227.62)",25.94,41
429,"Integrated Para Xylene [PX] and Purified Terephthalic Acid [PTA] Project at Paradip
Refinery
(Ministry of Petroleum & Natural Gas)
(604859)
(N16000396) (3064)",Odisha,"07/2020
(07/2020)","01/2024
(08/2026)","13805
(11783)",8450.45,93.9
430,"City Gas Distribution [CGD] Project in Gajapati, Kandhamal, Boudh, & Sonepur GA
(Ministry of Petroleum & Natural Gas)
(617818)
(-) (9999)",Odisha,"02/2022
(02/2022)","02/2030
(12/2031)","514.91
(514.91)",22.08,5.9
431,"CUF POL Depot at Sadashibpur [Meramundali], Odisha
(MinistryofPetroleumNaturalGas)
(709800)
(-) (-)",Odisha,"04/2021
(04/2021)","03/2026
(06/2026)","393.54
(393.54)",218.63,80.9
432,"Life Extension of 48 well platforms of Mumbai High & Heera Fields
(Oil and Natural Gas Corporation Limited [ONGC])
(400119)
(N16000213) (3294)",Offshore,"12/2015
(12/2015)","04/2018
(08/2026)","3190.69
(3375.9)",3123.2,90
433,"PRP-VIII [Group-A]
(Ministry of Petroleum & Natural Gas)
(616950)
(-) (-)",Offshore,"09/2024
(09/2024)","02/2026
(12/2026)","1486.4
(1486.4)",529.96,53.8
434,"Pipeline Replacement Project- PRP-IX
(Ministry of Petroleum & Natural Gas)
(619314)
(-) (12147)",Offshore,"08/2025
(08/2025)","05/2027
(-)","6175
(6175)",520.71,11.3
435,"Daman Upside Development Project
(Oil and Natural Gas Corporation Limited [ONGC])
(709839)
(N16000470) (-)",Offshore,"06/2022
(06/2022)","10/2025
(12/2026)","4144.41
(6406.9)",6136.43,99.9
436,"MHN TCPP PGC BGC Project [MTPBP]
(Ministry of Petroleum & Natural Gas)
(709848)
(N16000526) (-)",Offshore,"06/2022
(06/2022)","05/2026
(05/2026)","2329.45
(2354.23)",1613.16,92.7
437,"PRP-VIII Group B [NH & BS Asset]
(Ministry of Petroleum & Natural Gas)
(709849)
(N16000533) (-)",Offshore,"06/2024
(06/2024)","02/2026
(05/2026)","2379.84
(3165.53)",2654.5,97.6
438,"Integrated Development of 4 Contract Areas under DSF-II
(Ministry of Petroleum & Natural Gas)
(709851)
(N16000537) (-)",Offshore,"05/2023
(05/2023)","04/2027
(04/2027)","6183.79
(6183.79)",1555,40.4
439,"2G Ethanol Biorefinery at Bathinda
(Hindustan Petroleum Corporation Limited [HPCL])
(400171)
(N16000402) (3028)",Punjab,"05/2020
(05/2020)","02/2023
(12/2026)","1421.46
(1421.46)",1263.61,95.8
440,"City Gas Distribution Project at Pathankot District
(MinistryofPetroleumNaturalGas)
(709770)
(N16000488) (-)",Punjab,"03/2022
(03/2022)","09/2033
(09/2033)","151
(151)",8.89,2
441,"CBR 9 MMTPA Project
(Chennai Petroleum Corporation Limited [CPCL])
(604795)
(N16000434) (3278)",Tamil Nadu,"09/2021
(09/2021)","06/2025
(10/2028)","31580
(36354)",1570.83,10.2
442,"Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline
between CPCL Manali Refinery and CPCL Desalination plant at Ennore
(Chennai Petroleum Corporation Limited [CPCL])
(709750)
(-) (-)",Tamil Nadu,"01/2024
(01/2024)","09/2025
(12/2026)","205
(205)",92.93,70.6
443,"City Gas Distribution Projects at the Nilgiris and Erode districts
(Bharat Petroleum Corporation Limited [BPCL])
(709796)
(N16000521) (-)",Tamil Nadu,"12/2022
(12/2022)","03/2030
(03/2030)","3685
(3685)",288.66,25.4
444,"ATF Pipeline from BPCLs Malkapur POL Installation to Hyderabad International
airport
(MinistryofPetroleumNaturalGas)
(617822)
(-) (-)",Telangana,"03/2025
(03/2025)","09/2027
(09/2027)","215
(215)",45.69,24.7
445,"Creation of Gas Dehydration Facilities, Tripura Asset
(Oil and Natural Gas Corporation Limited [ONGC])
(709837)
(-) (-)",Tripura,"03/2022
(03/2022)","05/2024
(08/2026)","209.33
(131.51)",78.98,68.9
446,"Kanpur LPG Bottling Plant
(MinistryofPetroleumNaturalGas)
(619191)
(-) (-)",Uttar Pradesh,"09/2025
(09/2025)","09/2027
(09/2027)","202
(202)",125.69,54
447,"Bulk Loading Hub- Kanpur
(MinistryofPetroleumNaturalGas)
(619312)
(-) (-)",Uttar Pradesh,"09/2025
(09/2025)","09/2027
(09/2027)","186
(186)",92.47,54
448,"Revamping / Augmentation of Facilities at Mathura Bitumen Plant
(MinistryofPetroleumNaturalGas)
(709781)
(N16000505) (-)",Uttar Pradesh,"04/2022
(04/2022)","06/2027
(12/2026)","260.12
(260.12)",20.15,52.3
449,"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich,
Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts
(Bharat Petroleum Corporation Limited [BPCL])
(709795)
(N16000525) (-)",Uttar Pradesh,"12/2022
(12/2022)","06/2030
(06/2030)","16654
(16654)",713.77,17.9
