Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
266,"Construction Bangalore Metro Rail Project Phase-2A & 2B
(Bengaluru Metro Rail)
(702665)",Karnataka,01/2019,"06/2026
06/2026","14788.1
(14788.1)",8424.54,53
267,"Kochi Metro Rail Phase 2 Development Project
(CSPCC Projects)
(702664)",Kerala,11/2022,"11/2026
11/2026","1957.05
(1957.05)",306.45,10
268,"Bhopal Metro Rail Project
(Madhya Pradesh Metro Rail Co Limited [MPMRCL])
(702625)",Madhya Pradesh,11/2018,"11/2022
06/2028","6941.4
(6941.4)",3116.75,43
269,"Indore Metro Rail Project
(Madhya Pradesh Metro Rail Co Limited [MPMRCL])
(702626)",Madhya Pradesh,11/2018,"11/2022
12/2028","7500.8
(7500.8)",3839.27,54
270,"PCMC To Nigdi- Extension Of North South Corridor Of Phase-1
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(617225)",Maharashtra,10/2023,"01/2027
(-)","910.18
(910.18)",110.33,21
271,"Pune Metro Phase-1 Extension line towards south from Swargate to Katraj
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(617226)",Maharashtra,09/2024,"03/2029
(-)","2954.53
(2954.53)",18.66,3
272,"New Suburba Station Development Project
(Ministry of Housing & Urban Affairs)
(701745)",Maharashtra,03/2019,"07/2022
(-)","262.76
(262.76)",17.62,6
273,"Kalyan Station Precinct Imporvement Project
(Ministry of Housing & Urban Affairs)
(701991)",Maharashtra,07/2020,"07/2023
(-)","600
(600)",49.42,0
274,"Mumbai Metro Line 3
(Mumbai Metro Rail Corporation Limited [MMRC])
(702637)",Maharashtra,06/2016,"03/2023
06/2024","23136
(23942)",27519.07,91.9
275,"Nagpur Metro Rail Phase II Development Project
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(702658)",Maharashtra,12/2022,"12/2027
(-)","6708
(6708)",977.38,24
276,"Delhi Metro Rail Phase-IV [Rithala - Kundli Corridor]
(Delhi Metro Rail Corporation Limited [DMRC])
(617206)","Multi-States (Delhi,
Haryana)",01/2025,"01/2029
(-)","6230.99
(6230.99)",0.14,0
277,"Delhi-Ghaziabad-Meerut Regional Rapid Transit System [RRTS] corridor
(National Capital Region Transport Corporation [NCRTC])
(702633)","Multi-States (Delhi,
Uttar Pradesh)",03/2019,"06/2025
(-)","30274
(30274)",25812.26,86
278,"Kanpur Metro Rail Project
(Uttar Pradesh metro rail corporation [UPMRC])
(702628)",Uttar Pradesh,11/2019,"05/2024
03/2027","11076.48
(11076.5)",9079.81,73
279,"Agra Metro Rail Project
(Uttar Pradesh metro rail corporation [UPMRC])
(702629)",Uttar Pradesh,12/2020,"05/2024
06/2027","8379.62
(8379.62)",6055.19,57
,Total (21),,,,223016.77,157669.15,
,Waste & Water,,,,,,
280,"Storm water drainag Development Project
(Ministry of Housing & Urban Affairs)
(702355)","Dadra & Nagar
Haveli and Daman
& Diu",12/2021,"03/2024
(-)","210
(210)",0,0
281,"Upgradation of Sewerage system in Gandhinagar City
(Smart City Mission)
(707267)",Gujarat,03/2021,"06/2023
(-)","200
(200)",100,10
,Total (2),,,,410,100,
,Ministry of Mines,,,,,,
,Construction,,,,,,
282,"Construction of Basement + Ground Floor+ 10 Storeyed building for State of the Art
Director General, GSI Building at plot No.GN-40, Sector-V, Salt Lake, Kolkata
(Central Public Works Department (CPWD))
(617280)",West Bengal,02/2020,"08/2026
(-)","255.37
(255.37)",78.34,35
,Total (1),,,,255.37,78.34,
,Metals & Mining,,,,,,
283,"Rakha Underground Mining Project
(Hindustan Copper Limited [HCL])
(611798)",Jharkhand,03/2024,"03/2033
(-)","2705
(2705)",0,0
284,"Surda Underground Copper Mining Project
(Hindustan Copper Limited [HCL])
(611800)",Jharkhand,03/2024,"03/2028
(-)","665.02
(665.02)",13.33,1
285,"Expansion of Malanjkhand Copper Project
(Hindustan Copper Limited [HCL])
(400426)",Madhya Pradesh,04/2015,"04/2020
04/2026","1856.36
(1856.36)",924.98,79
286,"Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity
enhancement of 1.0 Million Tonee Per Annum
(National Aluminium Company Limited [NALCO])
(400141)",Odisha,04/2017,"12/2022
09/2025","4103
(5677.4)",3913.98,75
287,"Pottangi Bauxite Mines Project
(National Aluminium Company Limited [NALCO])
(400299)",Odisha,05/2018,"03/2025
05/2026","1381
(1960.77)",650.04,51
288,"UTKAL D AND E COAL BLOCK
(National Aluminium Company Limited [NALCO])
(709829)",Odisha,02/2016,"03/2025
(-)","1021.97
(1021.97)",0,0
289,"CONVERSION OF FLAT BOTTOM SETTLERS AND WASHERS WITH A SINGLE
TRAIN OF HRDS AND DCWS IN STREAMS 1 AND
(Ministry of Mines)
(709830)",Odisha,04/2017,"11/2026
(-)","355
(581)",0,0
290,"SOURCING OF BAUXITE ARRANGEMENT FOR 5TH STREAM ALUMINA
REFINERY FROM SOUTH BLOCK MINING LEASE OF PANCHPATMAILI MINES
(National Aluminium Company Limited [NALCO])
(709831)",Odisha,11/2019,"05/2025
06/2026","483
(483)",403.44,90
291,"25.5 MW WIND POWER PROJECT AT KAYATHAR IN TAMILNADU
(National Aluminium Company Limited [NALCO])
(709832)",Tamil Nadu,12/2017,"03/2025
03/2026","166
(166)",135,65
,Total (9),,,,12736.35,6040.77,
