Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1922,"Gosikhurd Project
(Department of water resources-MH - II)
(701386)
(-)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2028)","7196.47
(12770.1)",14302.56,72.65
1923,"Aruna Medium Irrigation Project
(Department of water resources-MH - II)
(701391)
(-)",Maharashtra,"04/2009
(01/2010)","12/2019
(12/2025)","210.45
(1472.14)",1734.71,97.96
1924,"Lower Pedhi Project
(Department of water resources-MH - II)
(701396)
(-)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2026)","255.97
(1480.7)",1516.11,65
1925,"Nardave Medium Irrigation Project
(Department of water resources-MH - II)
(701398)
(-)",Maharashtra,"04/2009
(04/2009)","12/2019
(06/2026)","211.46
(781.85)",626.06,72.59
1926,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)
(-)",Manipur,"04/1997
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98.9
1927,"North Koel Reservoir Project
(Department of Water Resources, River Development & GR)
(701412)
(-)","Multi-States
(Bihar, Jharkhand)","08/2017
(01/2021)","03/2021
(03/2026)","1622.27
(2430.76)",172.97,38
1928,"Ken-Betwa Linking Development Project
(Department of Water Resources, River Development, )
(701530)
(-)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","NA
(03/2022)","03/2029
(-)","21030
(21030)",8530.86,0
1929,"Integrated Anandpur Barrage Project
(Water Resources-OR)
(603945)
(-)",Odisha,"04/1997
(01/1998)","12/2019
(06/2026)","567.03
(2990.05)",2776.23,62.85
1930,"Subernarekha Project, Odisha
(Department of Water Resources, River Development & GR)
(701402)
(-)",Odisha,"NA
(01/1998)","12/2019
(03/2026)","3055.88
(7023.19)",8060.82,95.5
1931,"Kanupur Irrigation Project
(Irrigation and CAD-TG)
(701404)
(-)",Odisha,"04/2003
(01/2004)","12/2019
(06/2026)","989.43
(2301.28)",2804.16,79.5
1932,"Relining of Rajasthan feeder and Sirhind Feeder canal
(Department of Water Resources-PB)
(701410)
(-)",Punjab,"02/2016
(04/2018)","06/2021
(06/2026)","1441.26
(2462.16)",2201.29,85
1933,"Shahpur Kandi Dam Project
(Department of Water Resources-PB)
(701411)
(-)",Punjab,"02/2010
(04/2018)","06/2022
(06/2026)","2285.81
(2715.7)",2201.94,88
1934,"Sri Ram Sagar Project Stage - II
(Irrigation and CAD-TG)
(400102)
(-)",Telangana,"NA
(04/2005)","12/2019
(12/2025)","736.13
(949.87)",971.47,97
1935,"Indiramma Flood Flow Canal Project
(Irrigation and CAD-TG)
(400103)
(-)",Telangana,"NA
(01/2006)","12/2019
(12/2026)","1331.3
(5940.09)",4491.08,92
1936,"J. Chokka Rao Devadula Lift Irrigation Scheme
(Irrigation and CAD-TG)
(701405)
(-)",Telangana,"04/2006
(04/2006)","12/2019
(12/2025)","8200.71
(14730)",4784.54,87.7
1937,"Rajiv Bhima Lift Irrigation Scheme
(Irrigation and CAD-TG)
(701406)
(-)",Telangana,"04/2007
(01/2008)","12/2019
(03/2026)","1402
(2509.66)",1839.76,100
1938,"Saryu Nahar CADWM Project
(Irrigation & Water Resources-UP)
(400093)
(-)",Uttar Pradesh,"04/2017
(04/2017)","12/2019
(03/2026)","1672.7
(1672.7)",22.24,1.76
1939,"Morna [Gureghar] Irrigation Project
(Department of Water Resources, River Development & GR)
(701395)
(-)",Uttar Pradesh,"04/2007
(12/2007)","12/2025
(-)","219.9
(219.9)",115.2,31.5
1940,"Madhya Ganga canal Phase-II
(Irrigation & Water Resources-UP)
(701408)
(-)",Uttar Pradesh,"04/2008
(04/2008)","12/2019
(12/2025)","1060.67
(4417.21)",4575.74,82.39
1941,"Jamrani Dam Multipurpose Project
(Irrigation-UK)
(613787)
(-)",Uttarakhand,"10/2023
(11/2023)","06/2029
(-)","2584.1
(2584.1)",1267.4,24.77
,Total (41),,,,117826.11,159574.65,
