Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
337,"Banaras Hindu University [ Kayakalp of Institute of Medical Sciences]
(Banaras Hindu University)
(606479)
(-)",Uttar Pradesh,"06/2020
(06/2020)","09/2022
(03/2026)","246
(246)",207.02,99
338,"Construction & Development of Infrastructural Facilities in the main campus of NIT
Uttarakhand at Sumari, Pauri Garhwal
(National Institute of Technology Uttarakhand)
(611963)
(-)",Uttarakhand,"06/2020
(04/2024)","09/2027
(-)","650.85
(650.85)",355.83,54
339,"HEFA projects on development of student hostels, playgrounds, departmental
buildings, class room complex and other campus facilities in IIT Kharagpur
(Indian Institute of Technology, Kharagpur)
(609019)
(N28000146)",West Bengal,"06/2018
(04/2019)","03/2023
(03/2026)","500
(442)",411.4,95.8
,Total (29),,,,14711.41,8209.56,
,Department of Sports,,,,,,
,Education,,,,,,
340,"National Sports University [NSU], Imphal [Manipur]
(Department of Sports & Youth Affairs)
(400081)
(-)",Manipur,"NA
(01/2022)","08/2024
(08/2026)","906.47
(611.74)",571.72,96.5
,Total (1),,,,906.47,571.72,
,Ministry of Petroleum & Natural Gas,,,,,,
,Energy Storage,,,,,,
341,"Construction of LPG Facilities at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709754)
(N16000484)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","156.36
(156.36)",95.86,70.6
342,"Setting up of new rail fed POL facility at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited [HPCL])
(709755)
(N16000494)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","384.04
(384.04)",212.07,80.1
343,"Capacity Augmentation of Kandla LPG Import Terminal [KLIT] from 0.6 MMTPA to 2.5
MMTPA
(Ministry of Petroleum & Natural Gas)
(617839)
(-)",Gujarat,"05/2023
(05/2023)","07/2026
(07/2026)","356.86
(304.4)",63.42,65
344,"Andheri Residential Towers, Mumbai
(Ministry of Petroleum & Natural Gas)
(604833)
(N16000503)",Maharashtra,"06/2017
(06/2017)","05/2025
(06/2026)","281.35
(389.67)",265.21,79
345,"LPG Bottling Plant at Mualkhang
(Ministry of Petroleum & Natural Gas)
(617829)
(-)",Mizoram,"07/2024
(07/2024)","10/2028
(11/2027)","225.71
(225.71)",19.82,31
346,"Srikakulam Angul Gas Pipeline Project
(Ministry of Petroleum & Natural Gas)
(701343)
(N16000388)","Multi-States
(Andhra Pradesh,
Odisha)","09/2019
(09/2019)","07/2022
(06/2026)","2658.34
(2810)",2310.2,97.2
347,"Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT]
at Paradip
(Ministry of Petroleum & Natural Gas)
(701349)
(N16000394)","Multi-States
(Assam, Bihar,
Jharkhand,
Odisha, West
Bengal)","01/2019
(01/2019)","07/2024
(10/2026)","10228
(11407)",10771.24,92.1
348,"New Mundra Panipat Crude Oil Pipeline
(Ministry of Petroleum & Natural Gas)
(400078)
(N16000435)","Multi-States
(Gujarat, Haryana,
Rajasthan)","12/2021
(12/2021)","12/2024
(06/2026)","9028
(9028)",7132.48,90.8
349,"Kandla Gorakhpur LPG Pipeline
(Ministry of Petroleum & Natural Gas)
(400012)
(-)","Multi-States
(Gujarat, Madhya
Pradesh, Uttar
Pradesh)","12/2018
(12/2018)","12/2021
(06/2026)","10088
(10088)",8213.84,94.9
350,"Multi Product Pipeline from Irugur to Devangonthi
(Department of Water Resources, River Development & GR)
(400301)
(N16000234)","Multi-States
(Karnataka, Tamil
Nadu)","11/2012
(11/2012)","02/2017
(09/2026)","678
(1732)",1087.93,81.6
351,"Rajasthan Refinery Project
(MinistryofPetroleumNaturalGas)
(701263)
(N16000513)",Rajasthan,"10/2017
(10/2017)","10/2022
(06/2026)","43129
(79459)",68837.69,91.6
352,"Petrochemical evacuation marketing terminal at Barmer, Rajasthan
(Hindustan Petroleum Corporation Limited [HPCL])
(709759)
(N16000512)",Rajasthan,"12/2023
(12/2023)","12/2026
(12/2026)","461.05
(461.05)",216.91,86.1
353,"Laying of POL Pipelines in Common Corridor for proposed grass root terminal at
Vallur [Chennai]
(Ministry of Petroleum & Natural Gas)
(400043)
(N16000455)",Tamil Nadu,"01/2022
(01/2022)","05/2026
(05/2026)","829
(829)",350.21,75.3
354,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing
Dharmanagar Depot
(Indian Oil Corporation Limited [IOCL])
(400035)
(N16000495)",Tripura,"06/2022
(06/2022)","09/2025
(06/2026)","656
(656)",537.17,96.6
355,"Grass-root Terminal at Mirzapur, Uttar Pradesh
(Ministry of Petroleum & Natural Gas)
(604852)
(N16000506)",Uttar Pradesh,"09/2022
(09/2022)","11/2026
(11/2026)","980.45
(980.45)",289.03,75
,Total (15),,,,80140.16,100403.08,
