Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Civil Aviation,,,,,,
,Aviation & Aviation Infrastructure,,,,,,
1,"Guwahati Airport New Integrated Terminal Building Construction Project
(Adani Airport Holdings Limited)
(706724)",Assam,03/2018,"03/2025
(-)","1712
(1712)",0,94.1
2,"C/o NITB Imphal Airport
(Airport Authority of India [AAI])
(706718)",Manipur,07/2022,"07/2024
12/2026","499
(499)",160.48,41
3,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c
slope stabilization Measures [Balance work] of uphill and Improvement of Storm
Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC]
with integrated 10 years maintenance.
(Airport Authority of India [AAI])
(612793)",Sikkim,12/2023,"02/2026
(-)","323.26
(323.26)",29.69,12
,Total (3),,,,2534.26,190.17,
,Ministry of Coal,,,,,,
,Coal,,,,,,
4,"TIKAK EXTENSION OCP
(MIS MoCoal Integration Logins)
(615820)",Assam,07/2022,"07/2031
(-)","159.77
(159.77)",80.84,0
5,"TIRAP OCP
(MIS MoCoal Integration Logins)
(615821)",Assam,11/2022,"11/2030
(-)","289.46
(289.46)",105.47,0
,Total (2),,,,449.23,186.31,
,Department of Higher Education,,,,,,
,Education,,,,,,
6,"Construction of Permanent Campus of National Institute of Technology Arunachal
Pradesh
(National Institute of Technology, Arunachal Pradesh)
(612898)",Arunachal Pradesh,03/2013,"08/2026
(-)","592.61
(592.61)",549.96,75
7,"Tezpur University Projects
(Tezpur University)
(606112)",Assam,06/2021,"11/2023
08/2025","153.71
(153.71)",288.87,93
8,"Construction and Developement of National Institute of Technology Meghalaya
Permanent Campus at Sohra
(National Institute of Technology, Meghalaya)
(612885)",Meghalaya,09/2014,"03/2022
07/2025","494.52
(494.52)",413.57,86
9,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl
(Ministry of Education)
(612876)",Mizoram,05/2014,"12/2029
12/2029","474.23
(474.23)",167.55,4
10,"Establishment of NIT Nagaland
(NIT Nagaland)
(613013)",Nagaland,09/2012,"12/2025
(-)","275.63
(275.63)",257.82,93
11,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South
Sikkim
(Sikkim University)
(609736)",Sikkim,01/2022,"01/2025
09/2025","314.06
(314.06)",238.22,82
12,"Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok
District
(Ministry of Education)
(612883)",Sikkim,03/2024,"02/2028
12/2026","685.76
(610.76)",121.56,7
,Total (7),,,,2990.52,2037.55,
,Ministry of Power,,,,,,
,Electricity Generation,,,,,,
13,"Dibang Multipurpose Project
(National Highways & Infrastructure Development Corporation Ltd.
[NHIDCL])
(602182)",Arunachal Pradesh,02/2023,"02/2032
02/2032","31876.39
(31876.4)",3436.38,16
14,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)",Arunachal Pradesh,05/2025,"07/2029
(-)","1938.85
(1938.85)",49.31,3
15,"186 MW Tato-I H E Project
(North Eastern Electric Power Corporation Limited)
(611699)",Arunachal Pradesh,05/2025,"07/2029
(-)","1750.07
(1750.07)",102.79,2
16,"Subansiri Lower HE Project [2000 MW]
(National Highways & Infrastructure Development Corporation Ltd.
[NHIDCL])
(602096)","Multi-States (Arunachal
Pradesh, Assam)",09/2003,"09/2010
05/2026","6285.33
(26075.5)",24685.13,96
17,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA
HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired
through NCLT]
(National Highways & Infrastructure Development Corporation Ltd.
[NHIDCL])
(602181)",Sikkim,03/2019,"03/2024
12/2027","5748.04
(5748.04)",4495.28,68
18,"Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] -
A wholly owned subsidiary of NHPC Ltd. acquired through NCLT
(National Highways & Infrastructure Development Corporation Ltd.
[NHIDCL])
(605156)",Sikkim,03/2021,"05/2024
12/2025","938.29
(1828.11)",1554.15,90
,Total (6),,,,48536.97,34323.04,
,Transmission & Distribution,,,,,,
19,"NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT
[NERPSIP]
(Power Grid Corporation of India Limited [POWERGRID])
(607709)","Multi-States
(Meghalaya, Manipur,
Mizoram, Tripura,
Nagaland, Assam)",03/2016,"12/2018
09/2025","5111.33
(6700)",5253.47,96
20,"Comprehensive Scheme for Strengthening of Transmission and Distribution
[T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim
(Power Grid Corporation of India Limited [POWERGRID])
(602223)","Multi-States (Sikkim,
Arunachal Pradesh)",01/2016,"12/2018
03/2027","4754.42
(4754.42)",7321.07,81
