Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Department for Promotion of Industry & Internal Trade,,,,
,Logistics Infrastructure,,,,
1,"Multi Modal Transport Hub [MMTH] Project at Boraki in Greater Noida - Infrastructure
Development - Phase 1
(National Industrial Corridor Development Corporation)
(707414)",Uttar Pradesh,"12/2020
(11/2026)","03/2030
(-)","1480
(-)"
,Total (1),,,,1480
,Real Estate,,,,
2,"Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan
(National Industrial Corridor Development Corporation)
(603210)",Rajasthan,"08/2024
(01/2026)","07/2028
(-)","921.66
(-)"
,Total (1),,,,921.66
,Ministry of Health & Family Welfare,,,,
,Healthcare,,,,
3,"Establishment of new GMC Saran [Chhapara]
(Medical Education, Ministry of Health and Family Welfare)
(706965)",Bihar,(),(-),"189
(-)"
4,"Establishment of new GMC Samastipur
(Medical Education, Ministry of Health and Family Welfare)
(706966)",Bihar,(),(-),"189
(-)"
5,"Establishment of new GMC Sitamarhi
(Medical Education, Ministry of Health and Family Welfare)
(707016)",Bihar,(),(-),"250
(-)"
6,"Establishment of new GMC Jhanjharpur
(Medical Education, Ministry of Health and Family Welfare)
(707017)",Bihar,(),(-),"250
(-)"
7,"Establishment of new GMC Siwan
(Medical Education, Ministry of Health and Family Welfare)
(707018)",Bihar,(),(-),"250
(-)"
8,"Establishment of new GMC Buxar
(Medical Education, Ministry of Health and Family Welfare)
(707019)",Bihar,(),(-),"250
(-)"
9,"Establishment of new GMc Udhampur
(Medical Education, Ministry of Health and Family Welfare)
(707051)",Jammu and Kashmir,"09/2019
(01/2022)","03/2027
(-)","325
(-)"
10,"Establishment of new GMC Handwara [Distt. Kupwara]
(Medical Education, Ministry of Health and Family Welfare)
(707052)",Jammu and Kashmir,(),(-),"325
(-)"
11,"Establishment of new GMC Leh
(Medical Education, Ministry of Health and Family Welfare)
(707057)",Ladakh,(),(-),"325
(-)"
12,"Establishment of new GMC Gondia
(Medical Education, Ministry of Health and Family Welfare)
(706988)",Maharashtra,(),(-),"189
(-)"
13,"Establishment of new GMC West Garo Hills [Tura]
(Medical Education, Ministry of Health and Family Welfare)
(706989)",Meghalaya,(),(-),"189
(-)"
14,"Establishment of new GMC Mon
(Medical Education, Ministry of Health and Family Welfare)
(707067)",Nagaland,(),(-),"325
(-)"
,Total (12),,,,3056
,Ministry of Housing & Urban Affairs,,,,
,Urban Public Transport,,,,
15,"Jaipur Metro Phase 1C from Badi Chaupar to Transport Nagar via Ramganj
(Jaipur Metro Rail Corporation)
(612066)",Rajasthan,(09/2023),"04/2027
(-)","980.08
(-)"
16,"Jaipur Metro Phase 1D Project from Mansarovar to Ajmer Road Chauraha
(Jaipur Metro Rail Corporation)
(612068)",Rajasthan,(12/2023),"03/2026
(-)","204.81
(-)"
17,"Extension of Aqua Line Metro Corridor from Noida Sector-142 station to Botanical
Garden, Noida of Noida Metro Rail Corporation
(Noida Metro Rail Corporation Ltd. [NMRCL])
(616221)",Uttar Pradesh,"03/2026
(03/2026)","03/2030
(-)","2254.35
(-)"
,Total (3),,,,3439.24
,Ministry of Petroleum & Natural Gas,,,,
,Oil & Gas,,,,
18,"ONGC-BP Redevelopment Phase-1 Scheme of Mumbai High Field
(Ministry of Petroleum & Natural Gas)
(619328)",Maharashtra,"11/2025
(11/2025)","03/2027
(03/2027)","3713.4
(3908)"
,Total (1),,,,3713.4
,"Ministry of Ports, Shipping and Waterways",,,,
,Shipping,,,,
19,"Integrated development of Outer Container Terminal and berth No. 1 though 5 NSD at
KDS, SMPK on DBFOT basis through PPP mode
(Syama Prasad Mookerjee Port Kolkata)
(619229)",West Bengal,"03/2025
(02/2027)","08/2028
(-)","832.25
(-)"
,Total (1),,,,832.25
,Ministry of Power,,,,
,Electricity Generation,,,,
20,"Telangana Super Thermal Power Project , Stage-II [3 x 800 MW]
(National Thermal Power Corporation [NTPC])
(619341)",Telangana,"03/2026
(03/2026)","01/2032
(-)","29344.85
(-)"
,Total (1),,,,29344.85
