Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
536,"Quadrupling between Gandhidham Adipur with Y connection at Adipur for providing
direct entry towards Mundra Port and Bhuj and high level platform at Gopalpur 11Kms
(PCE/WR)
(611944)",Gujarat,"02/2023
(02/2023)","03/2026
(03/2026)","152.44
(152.44)",20,68
537,"Petlad Bhadran 23 Kms
(PCE/WR)
(611945)",Gujarat,"05/2022
(05/2022)","05/2030
(05/2030)","307.11
(307.11)",82,17
538,"Choranda Motikoral 18 Kms
(PCE/WR)
(611969)",Gujarat,"NA
(08/2023)","10/2026
(-)","246
(246)",0,0
539,"Samlaya Timba Road 54 km
(PCE/WR)
(611970)",Gujarat,"02/2023
(02/2023)","03/2030
(03/2030)","670.17
(670.17)",102,12
540,"Samni Jambusar 24 km
(PCE/WR)
(611971)",Gujarat,"05/2022
(05/2022)","03/2030
(03/2030)","350
(349.93)",87,31
541,"Jambusar Kavi 26 Kms
(PCE/WR)
(611972)",Gujarat,"NA
(04/2023)","12/2026
(-)","318
(318)",0,0
542,"miyagam karjan Choranda maalsar 37 kms
(PCE/WR)
(611973)",Gujarat,"NA
(06/2023)","12/2026
(-)","450
(450)",0,0
543,"Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms
(PCE/WR)
(611974)",Gujarat,"08/2023
(08/2023)","12/2026
(-)","1430
(1430)",0,0
544,"Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives
Manufacturing at
(PCE/WR)
(611977)",Gujarat,"NA
(02/2023)","02/2025
(-)","487
(487)",108.69,0
545,"Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at
(PCE/WR)
(611978)",Gujarat,"NA
(03/2023)","03/2025
(-)","158
(158)",47.31,0
546,"Sabarmati Setting up of Maintenance Facilities for Train Sets Phase ii
(PCE/WR)
(611979)",Gujarat,"NA
(04/2023)","06/2025
(-)","250
(250)",0,0
547,"4th LINE BETWEEN BAREJADI NANDEJ-SANAND-AHMEDABAD BYPASS
(Western Railway)
(612072)",Gujarat,"02/2023
(02/2023)","03/2027
(03/2027)","961.67
(961.67)",327.53,17
548,"Redevelopment of Ahmedabad railway station and associated infrastructure on
engineering, procurement and construction mode
(Ministry of Railways)
(613786)",Gujarat,"01/2023
(11/2023)","03/2028
(-)","2379
(2379)",656.84,16
549,"Miyagam-Karjan-Dabhoi-Samlaya [GC]
(Western Railway [WR] - II)
(705458)",Gujarat,"01/2017
(01/2017)","03/2021
(12/2026)","483.88
(844.1)",620.98,41
550,"Modasa-Shamlaji Road Railway Line Project
(SECR)
(706757)",Gujarat,"09/2012
(04/2008)","03/2025
(03/2027)","262
(262)",203,58
551,"Rajkot - Kanalus Doubling Project [111.2 Kms]
(Western Railway [WR] - II)
(706763)",Gujarat,"10/2021
(12/2021)","10/2026
(10/2026)","1080.58
(1080.58)",787.69,76
552,"NADIAD-PETLAD [37.26 KM]
(Railway)
(709812)",Gujarat,"NA
()","06/2030
(06/2030)","461.91
(461.91)",75,7
553,"NEW BG LINE INTERSECTION [5 NOS] BETWEEN GERATPUR-SANAND &
BOTAD-AHMEDABAD [16.51 KM] [PB#29/NR/202
(SECR)
(709813)",Gujarat,"NA
()","10/2027
(10/2027)","437.21
(437.21)",43,15
554,"Bhiwani - Dobh Bahali Doubling Project [42.30 Km]
(North Western Railway [NWR])
(611884)",Haryana,"02/2023
(02/2023)","02/2028
(02/2028)","471
(471)",191.39,59
555,"Gomoh - Flyover for DN trains
(East Central Railway [ECR] - I)
(705765)",Jharkhand,"01/2018
(01/2018)","03/2026
(03/2026)","686
(686)",538.66,59
556,"Lodhma - Piska - Link Line bypassing Hatia/Ranchi with Y connection
(South Eastern Railway [SER] - I)
(705785)",Jharkhand,"08/2021
(03/2019)","06/2026
(05/2027)","473
(473)",284.34,4
557,"Pradhan Kuntha Jn Line Doubling Project
(East Central Railway [ECR] - I)
(706837)",Jharkhand,"11/2022
(11/2022)","11/2027
(11/2027)","349.22
(349.22)",90.64,60
558,"Construction of New BG line between Hassan to Belur [27 Km]
(South Western Railway [SWR] - II)
(400023)",Karnataka,"03/2019
(12/2025)","04/2028
(04/2027)","749
(749)",0,0
559,"Yeshvanthpur - Channasandra Doubling Project [21.70 Km]
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(703585)",Karnataka,"NA
(10/2019)","03/2024
(08/2025)","314.1
(683.57)",151.11,52
