Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
87,"DHUPTALA OC [SASTI UG TO OC ]
(Western Coalfields Limited [WCL])
(400353)
(N06000209) (776)",Maharashtra,"02/2019
(10/2021)","03/2028
(-)","711.01
(711.01)",174.62,19.02
88,"SAONER UG MINE -1 EXPANSION 1.
(Western Coalfields Limited [WCL])
(615184)
(N06000251) (-)",Maharashtra,"01/2022
(01/2022)","03/2028
(-)","228.64
(228.64)",150.47,69.33
89,"SASTI EXPANSION OPENCAST
(Western Coalfields Limited [WCL])
(615186)
(N06000206) (-)",Maharashtra,"08/2020
(08/2020)","03/2026
(-)","319.04
(319.04)",111.17,32.21
90,"NEW MAJRI UG TO OC 3 MTY COST
(Western Coalfields Limited [WCL])
(615188)
(N06000255) (-)",Maharashtra,"05/2019
(09/2022)","03/2027
(-)","402.27
(402.27)",67.11,24.17
91,"MAKARDHOKRA EXPN OC 4.9 MTY
(Western Coalfields Limited [WCL])
(615189)
(N06000253) (-)",Maharashtra,"06/2022
(06/2022)","03/2026
(-)","361.87
(361.87)",96.64,12.2
92,"SINGHORI DEEP OC MIN 2.0 MTY
(Western Coalfields Limited [WCL])
(615190)
(N06000252) (-)",Maharashtra,"05/2022
(05/2022)","03/2029
(-)","335.75
(335.75)",49.75,9.57
93,"GOKUL EXTENSION OC MINE
(Western Coalfields Limited [WCL])
(615192)
(N06000264) (-)",Maharashtra,"04/2021
(04/2021)","03/2026
(-)","309.58
(309.58)",57.46,8.44
94,"KOLGAON EXPANSION DEEP OC MINE
(Western Coalfields Limited [WCL])
(615199)
(N06000267) (-)",Maharashtra,"01/2023
(09/2023)","03/2027
(-)","198.71
(198.71)",23.54,2.82
95,"BALLARPUR NORTH WEST OC MINE
(Western Coalfields Limited [WCL])
(615330)
(N06000282) (-)",Maharashtra,"12/2022
(12/2022)","03/2029
(-)","360.81
(360.81)",3.84,5.17
96,"GADEGAON OC 3 MTY
(Western Coalfields Limited [WCL])
(615331)
(-) (-)",Maharashtra,"10/2023
(10/2023)","03/2030
(-)","497.41
(497.41)",27.55,2.19
97,"GHONSA EXPANSION DEEP OC MINE
(Western Coalfields Limited [WCL])
(615914)
(N06000205) (-)",Maharashtra,"03/2021
(03/2021)","03/2029
(-)","184.71
(184.71)",15.72,12.83
98,"AMLG GAURI PAUNI EXPANSION OC
(Western Coalfields Limited [WCL])
(615916)
(N06000271) (7361)",Maharashtra,"04/2024
(04/2024)","03/2030
(-)","1225.21
(1225.21)",88.88,4.21
99,"GAURIDEEP/GAURI CENTRAL OCP 7.
(Western Coalfields Limited [WCL])
(615917)
(N06000278) (7362)",Maharashtra,"08/2023
(06/2024)","03/2030
(-)","973.07
(973.07)",1.55,2.31
100,"RPR OF BHANEGAON OC
(Western Coalfields Limited [WCL])
(615918)
(N06000256) (-)",Maharashtra,"02/2017
(09/2022)","03/2028
(-)","405.2
(405.2)",35.03,15.95
101,"N. EXTN. MUNGOLI NIRGUDA D OCP
(Western Coalfields Limited [WCL])
(615919)
(N06000283) (7363)",Maharashtra,"06/2024
(06/2024)","03/2029
(-)","1024.91
(1024.91)",217.01,27.92
102,"NILJAI EXPANSION DEEP OCP
(Western Coalfields Limited [WCL])
(615982)
(N06000154) (-)",Maharashtra,"08/2016
(08/2016)","03/2022
(03/2026)","319.75
(319.75)",196.86,79.83
103,"UKNI DEEP OC MINE -COST PLUS
(Western Coalfields Limited [WCL])
(616044)
(N06000179) (764)",Maharashtra,"11/2018
(01/2019)","03/2021
(03/2026)","237.06
(237.06)",166.87,93.51
104,"AMALGAMATED INDER-KAMPTEE DEEP
(Western Coalfields Limited [WCL])
(616050)
(N06000226) (-)",Maharashtra,"09/2018
(09/2018)","03/2024
(03/2026)","235.9
(235.9)",127.42,98.97
105,"ADASA UG TO OC MINE
(Western Coalfields Limited [WCL])
(616223)
(N06000219) (-)",Maharashtra,"11/2018
(11/2018)","03/2024
(03/2026)","316
(316)",209.35,86.49
106,"AMAL GONDEGAON GHATROHANA EXPN
(Western Coalfields Limited [WCL])
(616229)
(N06000284) (7364)",Maharashtra,"09/2024
(09/2024)","03/2029
(-)","668.54
(668.54)",2.94,2.52
107,"WAGHODA UG MINE [1.02 MTY]
(Western Coalfields Limited [WCL])
(617233)
(N06000293) (-)",Maharashtra,"01/2024
(01/2025)","03/2030
(-)","379.3
(379.3)",0,0.01
108,"KOLARPIMPRI EXPANSION OC [2.5
(Western Coalfields Limited [WCL])
(617278)
(N06000294) (9897)",Maharashtra,"06/2024
(02/2025)","03/2030
(-)","630.37
(630.37)",0.61,0.35
109,"SAONER-III EXPN UG MINE 1.54
(Western Coalfields Limited [WCL])
(619055)
(-) (-)",Maharashtra,"08/2025
(08/2025)","03/2032
(-)","444.42
(444.42)",0,0
