Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1639,"Improving the Alignment of Thoppur Ghat Section from Km 158.500 to Km 165.100 in
Dharmapuri - Salem Section of NH-44
(National Highways Authority of India [NHAI])
(618561)
(-)",Tamil Nadu,"03/2024
(03/2025)","03/2028
(03/2028)","904.99
(731.09)",137.39,34.48
1640,"Dindigul Bypass - Samyanallore from km. 373.275 to km. 426.00
(National Highways Authority of India [NHAI])
(618562)
(-)",Tamil Nadu,"NA
(07/2006)","01/2009
(-)","579
(295.5)",1.4,100
1641,"4L of Madurai Ring Road Phase 1 [Vadipatti-Thamrapatti] from km 0.00 - km 29.960
(National Highways Authority of India [NHAI])
(618563)
(N24001606)",Tamil Nadu,"12/2018
(03/2020)","03/2022
(06/2026)","900.05
(900.05)",607.63,95.85
1642,"4L of left-over works including additional structures from Kerala/Tamil Nadu border to
Kanyakumari Section from Km 43.0 to Km 96.174 of NH66
(National Highways Authority of India [NHAI])
(618608)
(N24002113)",Tamil Nadu,"11/2022
(08/2023)","08/2025
(05/2026)","1564.23
(1263.42)",880.69,75.19
1643,"6L of Pondavakkam to Kannigaipair from km 96.040 to km 116.100 of NH 716B Pkg-
IV
(National Highways Authority of India [NHAI])
(618635)
(N24001818)",Tamil Nadu,"02/2021
(01/2023)","01/2025
(09/2026)","1359.81
(1359.81)",302.35,36.06
1644,"Trichy 135.800 to Karur 218.000 section of NH-67 - Trichy Bypass
(National Highways Authority of India [NHAI])
(618743)
(-)",Tamil Nadu,"NA
(07/2007)","10/2024
(-)","876.88
(360.88)",66.59,100
1645,"4L of Thirumangalam to Vadugapatti section from km 0.000 to km 36.000 of NH-744
(National Highways Authority of India [NHAI])
(618744)
(N24002084)",Tamil Nadu,"03/2022
(02/2023)","02/2025
(05/2026)","1076.97
(791.6)",673.36,94.9
1646,"4L of Vadugapatti to Therkuvenganallur Rajapalyam section from km 36.000 to km
71.600 of NH-744
(National Highways Authority of India [NHAI])
(618745)
(N24002114)",Tamil Nadu,"02/2022
(04/2023)","04/2025
(04/2026)","1317.6
(1137.16)",919.66,99.96
1647,"Melur - Pilayarpatti - Karaikudi from km 99.920 of NH 38 to km 12.9 of NH 383 Ext.
(National Highways Authority of India [NHAI])
(618756)
(N24001605)",Tamil Nadu,"12/2018
(03/2020)","03/2022
(07/2026)","1103.86
(1085.41)",669.32,91.72
1648,"Tuticorin - Tirunelveli from km. 0.00 to km. 47.250
(National Highways Authority of India [NHAI])
(618773)
(-)",Tamil Nadu,"NA
(04/2010)","04/2012
(-)","449.85
(452.48)",1.17,100
1649,"Construction of New Double Tier 4L Elevated Corridor from Chennai Port to
Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package II from
Km 4.604 to Km 9.700
(National Highways Authority of India [NHAI])
(618800)
(N24002109)",Tamil Nadu,"03/2023
(11/2023)","05/2026
(11/2027)","1616.97
(1616.97)",141.23,16.61
1650,"Construction of New Double Tier 4-lane Elevated Corridor from Chennai Port to
Maduravoyal in Chennai District from Km -0342 to Km 20223 Package 1 from Km -
0342 to Km 4604
(National Highways Authority of India [NHAI])
(618801)
(N24002110)",Tamil Nadu,"03/2023
(11/2023)","05/2026
(11/2027)","1388.59
(1388.59)",150.68,20.6
1651,"Poondiyankuppam Km.67.000 to Sattanathapuram Km.123.800
(National Highways Authority of India [NHAI])
(618846)
(-)",Tamil Nadu,"03/2018
(01/2022)","01/2024
(04/2026)","2565.63
(2319.35)",1077.71,99.8
1652,"Four Laning of Trichy - Dindigul from km. 333.00 to km. 421.273 of NH-45
(National Highways Authority of India [NHAI])
(618874)
(-)",Tamil Nadu,"12/2006
(01/2008)","07/2010
(04/2026)","1003.11
(435.81)",8.36,100
1653,"4L of Madathukulam - Pollachi from km. 74.38 to km. 116.95 of old NH-209 New NH-
83
(National Highways Authority of India [NHAI])
(618894)
(N24001602)",Tamil Nadu,"01/2019
(12/2020)","12/2022
(04/2026)","1772.13
(1772.13)",461.42,91.84
1654,"Kamalapuram to Oddanchatram from km. 0.00 to km. 35.822
(National Highways Authority of India [NHAI])
(618895)
(N24001601)",Tamil Nadu,"01/2019
(01/2021)","01/2023
(05/2026)","1319.42
(1319.42)",388.15,91.73
1655,"4L of Sethiyathope -Cholapuram section from Km. 65.960 to Km. 116.440 section of
NH45 C Pkg-II
(National Highways Authority of India [NHAI])
(618897)
(N24000708)",Tamil Nadu,"03/2017
(08/2018)","08/2020
(04/2026)","2356.19
(2356.9)",1011.39,100
1656,"Balance Works for Four laning of Vikravandi to Sethiyathope section from Km 0.0 to
Km 65.96 of NH-45C in Tamil Nadu under NHDP Phase-IV on EPC mode
(National Highways Authority of India [NHAI])
(618898)
(-)",Tamil Nadu,"01/2025
(06/2025)","06/2027
(06/2027)","1163.17
(834.46)",138.72,22.12
1657,"Kallagam km.38.700 to Meensurutti Km.98.433 of NH-227 in Tamil Nadu
(National Highways Authority of India [NHAI])
(618899)
(-)",Tamil Nadu,"02/2018
(04/2019)","04/2021
(04/2026)","1499.12
(1499.12)",640.87,100
1658,"Salem - Ulundurpet section from km 0.313 to km 136.670 of NH-68
(National Highways Authority of India [NHAI])
(618943)
(-)",Tamil Nadu,"12/2006
(01/2008)","01/2011
(05/2026)","861.23
(1019.85)",135.17,100
1659,"Construction of New Double Tier 4L Elevated Corridor from Chennai Port to
Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package IV from
Km 14.185 to Km 20.593
(National Highways Authority of India [NHAI])
(619045)
(-)",Tamil Nadu,"03/2023
(11/2023)","05/2026
(11/2027)","1205.4
(1210.21)",39.06,7.31
