Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
758,"Upper Tunga Irrigation Project
(Water Resources-KA)
(701377)",Karnataka,04/2014,"12/2019
03/2025","770.16
(1606.07)",1511.22,99
759,"Omkareshwar CADWM Project
(Water resource-mp)
(400096)",Madhya Pradesh,04/2015,"12/2019
03/2026","648.09
(648.09)",172.56,3
760,"Bargi Diversion Project Phase - IV [km. 154 to km 197]
(Water Resources-MP)
(400115)",Madhya Pradesh,01/2009,"12/2019
07/2025","751.03
(893.35)",777.99,74
761,"Bargi Diversion Project Phase - III [km. 104 to km 154]
(Water Resources-MP)
(400116)",Madhya Pradesh,04/2007,"12/2019
07/2025","1229.15
(1399.7)",1807.2,79
762,"Gosikhurd CADWM Project
(Department of water resources-MH - II)
(400095)",Maharashtra,04/2017,"12/2019
06/2026","743.73
(743.73)",252,50
763,"Urmodi Irrigation Project
(Department of water resources-MH - II)
(400105)",Maharashtra,04/2018,"06/2022
06/2025","580.79
(895.81)",713.46,76.22
764,"Sulwade-Jamphal-Kanoli Lift Irrigation Scheme
(Department of water resources-MH - II)
(400107)",Maharashtra,02/2019,"06/2023
06/2027","2407.67
(2407.67)",2436.43,80
765,"Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project
(Department of water resources-MH - II)
(400109)",Maharashtra,04/2018,"06/2020
06/2025","848.07
(888.43)",690.49,69
766,"Jigaon Irrigation Project
(Department of water resources-MH - II)
(400112)",Maharashtra,04/2018,"06/2028
(-)","7222.95
(7222.95)",8501.45,90
767,"Waghur Project
(Department of water resources-MH - II)
(701383)",Maharashtra,04/1996,"12/2019
03/2026","1058.99
(1758.51)",1530.36,89
768,"Tillari Irrigation Project
(Department of water resources-MH - II)
(701384)",Maharashtra,01/2006,"12/2019
01/2025","368.34
(649.6)",724.36,99
769,"Gosikhurd Project
(Department of water resources-MH - II)
(701386)",Maharashtra,04/2008,"12/2019
06/2026","7196.47
(12770.1)",13533.29,72
770,"Bembla Irrigation Project
(Department of water resources-MH - II)
(701388)",Maharashtra,04/2007,"12/2019
06/2025","1352.53
(2685.41)",2689.7,98
771,"Arjuna Medium Irrigation project
(Department of water resources-MH - II)
(701390)",Maharashtra,01/2008,"12/2019
12/2024","333.87
(611)",803.89,100
772,"Aruna Medium Irrigation Project
(Department of water resources-MH - II)
(701391)",Maharashtra,01/2010,"12/2019
01/2025","210.45
(1472.14)",1697.94,97
773,"Krishna Koyana Lift Irrigation Project
(Department of water resources-MH - II)
(701392)",Maharashtra,04/2009,"12/2019
12/2023","973.62
(2774.9)",1069.82,90
774,"Lower Pedhi Project
(Department of water resources-MH - II)
(701396)",Maharashtra,04/2008,"12/2019
06/2026","255.97
(1480.7)",1324.78,64
775,"Nardave Medium Irrigation Project
(Department of water resources-MH - II)
(701398)",Maharashtra,04/2009,"12/2019
03/2025","211.46
(781.85)",623.5,72.59
776,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)",Manipur,04/1997,"12/2019
03/2026","1449.44
(1822.24)",1837.91,98
777,"North Koel Reservoir Project
(Department of Water Resources, River Development & GR)
(701412)","Multi-States
(Bihar, Jharkhand)",01/2021,"03/2021
03/2026","1622.27
(2430.76)",142.1,32
778,"Integrated Anandpur Barrage Project
(Water Resources-OR)
(603945)",Odisha,01/1998,"12/2019
06/2025","567.03
(2990.05)",2629.74,62
779,"Kanupur Irrigation Project
(Irrigation and CAD-TG)
(701404)",Odisha,01/2004,"12/2019
12/2024","989.43
(2301.28)",2563.56,79
780,"Relining of Rajasthan feeder and Sirhind Feeder canal
(Department of Water Resources-PB)
(701410)",Punjab,04/2018,"06/2021
06/2025","1441.26
(2462.16)",2962.99,80
781,"Shahpur Kandi Dam Project
(Department of Water Resources-PB)
(701411)",Punjab,04/2018,"06/2022
10/2025","2285.81
(2715.7)",2072.33,80
782,"J. ChokhaRao LIS CADWM Project
(Irrigation and CAD-TG)
(400094)",Telangana,04/2016,"12/2019
03/2023","759.94
(13445.4)",0,0
783,"Sri Ram Sagar Project Stage - II
(Irrigation and CAD-TG)
(400102)",Telangana,04/2005,"12/2019
12/2024","736.13
(949.87)",940.7,96
784,"Indiramma Flood Flow Canal Project
(Irrigation and CAD-TG)
(400103)",Telangana,01/2006,"12/2019
03/2025","1331.3
(5940.09)",4491.08,92
785,"J. Chokka Rao Devadula Lift Irrigation Scheme
(Irrigation and CAD-TG)
(701405)",Telangana,04/2006,"12/2019
12/2025","8200.71
(14730)",4558.89,87
786,"Rajiv Bhima Lift Irrigation Scheme
(Irrigation and CAD-TG)
(701406)",Telangana,01/2008,"12/2019
03/2026","1402
(2509.66)",1839.76,100
787,"Saryu Nahar CADWM Project
(Irrigation & Water Resources-UP)
(400093)",Uttar Pradesh,04/2017,"12/2019
03/2026","1672.7
(1672.7)",0,0
788,"Arjun Sahayak Project
(Irrigation & Water Resources-UP)
(400117)",Uttar Pradesh,04/2009,"12/2019
12/2019","741.38
(2465.68)",3218.3,100
