Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
681,"Godhani-Kalumna Chord 13.7 km
(Ministry of Railways)
(617321)",Offshore,"07/2018
(07/2018)","07/2028
(-)","150000
(150000)",1940,11
682,"Jaynagar-Bijalpura, incl. extn. Bet, Bijalpura-Bardibas [Nepal]
(East Central Railway [ECR] - I)
(705362)",Offshore,"08/2015
(03/2011)","03/2022
(03/2026)","819
(819)",580.51,75
683,"Ludhiana- Killa Raipur Railway Doubling Project
(Railway)
(705783)",Punjab,"03/2019
(12/2022)","03/2025
(03/2026)","237.64
(238)",134.48,50
684,"Dedicated Test Track for RDSO Phase II
(North Western Railway [NWR])
(611614)",Rajasthan,"11/2021
(11/2021)","11/2026
(11/2026)","819.48
(967.06)",471,86
685,"Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli
Gauge Conversion [152 Km]
(North Western Railway [NWR])
(611849)",Rajasthan,"01/2023
(01/2023)","06/2028
(06/2028)","968.92
(968.92)",137.16,51
686,"Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions
under WTA 527
(WPO/Patna)
(611929)",Rajasthan,"09/2022
(06/2023)","12/2024
(-)","166.86
(166.86)",0,0
687,"PUSHKAR- MERTA CITY NEW LINE
(North Western Railway [NWR])
(616841)",Rajasthan,"02/2024
(02/2024)","12/2026
(-)","799.64
(799.64)",14.64,4
688,"AJMER- CHANDERIYA DOUBLING
(North Western Railway [NWR])
(616843)",Rajasthan,"02/2024
(02/2024)","06/2027
(-)","1634.79
(1634.79)",84.29,6
689,"SADULPUR - CHURU DOUBLING PROJECT
(North Western Railway [NWR])
(617403)",Rajasthan,"01/2024
(01/2024)","06/2026
(-)","468.64
(468.64)",99.51,50
690,"POKHRAN - RAMDEVRA New Line
(North Western Railway [NWR])
(617404)",Rajasthan,"04/2025
(04/2025)","03/2028
(-)","189.21
(189.21)",0,0
691,"NATHDWARA- NATHDWARA TOWN NL
(North Western Railway [NWR])
(617408)",Rajasthan,"03/2019
(04/2024)","03/2027
(-)","166.33
(166.33)",71.48,1
692,"Dholpur - Sirmuttra Gauge Conversion
(North Central Railway)
(705482)",Rajasthan,"03/2022
(04/2020)","02/2019
(02/2027)","747
(747)",355.13,43
