Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
424,"Pipeline Rehabilitation Project, Phase-II
(Ministry of Petroleum & Natural Gas)
(617827)
(-)","Multi-States
(Assam, Bihar,
West Bengal)","12/2024
(12/2024)","12/2029
(12/2029)","680
(680)",2.93,18
425,"Upgradation of Facilities of Numaligarh-Siliguri Product Pipeline [NSPL] for
transportation of additional products from existing 1.72 MMTPA to 5.5 MMTPA
(Ministry of Petroleum & Natural Gas)
(701350)
(N16000449)","Multi-States
(Assam, West
Bengal)","06/2021
(06/2021)","12/2024
(03/2026)","860
(860)",636.92,99
426,"CGD Project in Banka, Dumka, Godda, Jamtara, Pakur, Sahibganj GA ID 11A.02
(Hindustan Petroleum Corporation Limited)
(709757)
(N16000497)","Multi-States
(Bihar, Jharkhand)","06/2022
(06/2022)","06/2030
(06/2030)","1377
(1377)",363.98,34
427,"Mumbai Nagpur Jharsuguda Pipeline Project
(Ministry of Petroleum & Natural Gas)
(701354)
(N16000398)","Multi-States
(Chhattisgarh,
Madhya Pradesh,
Maharashtra,
Odisha)","06/2020
(06/2020)","05/2023
(03/2026)","7844.25
(8255)",6940,98
428,"Mehsana-Bhatinda & Bhatinda-Jammu Natural Gas Pipeline
(Ministry of Petroleum & Natural Gas)
(701330)
(-)","Multi-States
(Gujarat, Haryana,
Punjab,
Rajasthan)","07/2011
(07/2011)","06/2024
(03/2026)","7392
(7392)",6349,90
429,"Gurdaspur Jammu Pipeline
(Gas Authority of India Limited [GAIL])
(612853)
(N16000531)","Multi-States
(Jammu and
Kashmir, Punjab)","07/2023
(07/2023)","07/2026
(07/2026)","521.9
(521.9)",268.2,44
430,"Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II
(Ministry of Petroleum & Natural Gas)
(701228)
(N16000285)","Multi-States
(Karnataka,
Kerala, Tamil
Nadu)","06/2009
(06/2009)","12/2012
(03/2026)","2915
(5909)",4614.8,96
431,"City Gas Distribution Maharashtra Natural Gas Limited
(Ministry of Petroleum & Natural Gas)
(701338)
(-)","Multi-States
(Karnataka,
Maharashtra)","01/2006
(01/2006)","06/2031
(06/2031)","5535
(5535)",4136.42,47
432,"Dhamra Haldia Pipeline Project
(Ministry of Petroleum & Natural Gas)
(701344)
(N16000391)","Multi-States
(Odisha, West
Bengal)","03/2020
(03/2020)","11/2022
(03/2026)","1030.65
(1125)",910.6,93
433,"City Gas Distribution Projects at Fazilka [except area already authorized], Ganganagar
and Hanumangarh districts
(Bharat Petroleum Corporation Limited [BPCL])
(709794)
(N16000520)","Multi-States
(Punjab,
Rajasthan)","12/2022
(12/2022)","06/2030
(06/2030)","3207
(3207)",383.6,28
434,"Augmentation/ Revamping of Dimapur Depot, Dimapur
(MinistryofPetroleumNaturalGas)
(709786)
(N16000529)",Nagaland,"08/2023
(08/2023)","11/2027
(11/2027)","227.62
(227.62)",18.35,36
435,"Integrated Para Xylene [PX] and Purified Terephthalic Acid [PTA] Project at Paradip
Refinery
(Ministry of Petroleum & Natural Gas)
(604859)
(N16000396)",Odisha,"07/2020
(07/2020)","01/2024
(08/2026)","13805
(11783)",8266.79,93
436,"City Gas Distribution [CGD] Project in Gajapati, Kandhamal, Boudh, & Sonepur GA
(Ministry of Petroleum & Natural Gas)
(617818)
(-)",Odisha,"02/2022
(02/2022)","02/2030
(02/2030)","514.91
(514.91)",20.62,5
437,"CUF POL Depot at Sadashibpur [Meramundali], Odisha
(MinistryofPetroleumNaturalGas)
(709800)
(-)",Odisha,"04/2021
(04/2021)","03/2026
(03/2026)","393.54
(393.54)",172.07,72
438,"Life Extension of 48 well platforms of Mumbai High & Heera Fields
(Oil and Natural Gas Corporation Limited [ONGC])
(400119)
(N16000213)",Offshore,"12/2015
(12/2015)","04/2018
(03/2026)","3190.69
(3375.9)",3123.2,90
439,"PRP-VIII [Group-A]
(Ministry of Petroleum & Natural Gas)
(616950)
(-)",Offshore,"09/2024
(09/2024)","02/2026
(05/2026)","1486.4
(1486.4)",394.85,40
440,"Daman Upside Development Project
(Oil and Natural Gas Corporation Limited [ONGC])
(709839)
(N16000470)",Offshore,"06/2022
(06/2022)","10/2025
(05/2026)","4144.41
(6406.9)",5339.12,95
441,"MHN TCPP PGC BGC Project [MTPBP]
(Ministry of Petroleum & Natural Gas)
(709848)
(N16000526)",Offshore,"06/2022
(06/2022)","05/2026
(05/2026)","2329.45
(2354.23)",1223.5,78
442,"PRP-VIII Group B [NH & BS Asset]
(Ministry of Petroleum & Natural Gas)
(709849)
(N16000533)",Offshore,"06/2024
(06/2024)","02/2026
(05/2026)","2379.84
(3165.53)",2140.09,93
443,"Integrated Development of 4 Contract Areas under DSF-II
(Ministry of Petroleum & Natural Gas)
(709851)
(N16000537)",Offshore,"05/2023
(05/2023)","04/2027
(04/2027)","6183.79
(6183.79)",964,34
444,"2G Ethanol Biorefinery at Bathinda
(Hindustan Petroleum Corporation Limited [HPCL])
(400171)
(N16000402)",Punjab,"05/2020
(05/2020)","02/2023
(03/2026)","1421.46
(1421.46)",1239.51,95
445,"City Gas Distribution Project at Pathankot District
(MinistryofPetroleumNaturalGas)
(709770)
(N16000488)",Punjab,"03/2022
(03/2022)","09/2033
(09/2033)","151
(151)",8.86,2
446,"CBR 9 MMTPA Project
(Chennai Petroleum Corporation Limited [CPCL])
(604795)
(N16000434)",Tamil Nadu,"09/2021
(09/2021)","06/2025
(10/2028)","31580
(36354)",1527.95,10
