Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
46,"Establishment of new GMC Mon
(Medical Education, Ministry of Health and Family Welfare)
(707067)",Nagaland,"NA
()",(-),"325
(325)",155,0
47,"Establishment of new GMC Gangtok
(Medical Education, Ministry of Health and Family Welfare)
(707039)",Sikkim,"10/2018
(12/2018)","12/2026
(-)","250
(635.21)",667.21,92
,Total (3),,,,764,992.31,
,Ministry of Railways,,,,,,
,Railways,,,,,,
48,"Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km
(Northeast Frontier Railway [NFR])
(705572)",Assam,"09/2016
(09/2016)","03/2026
(03/2026)","4060
(4961)",3831.06,95.16
49,"Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh
(Central Organisation for Railway Electrification (CORE))
(706922)",Assam,"09/2020
(09/2018)","09/2020
(06/2024)","890.36
(889.36)",391.73,89
50,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project
(GM/C/ NFR)
(706940)",Assam,"09/2018
(01/2022)","05/2024
(-)","183.99
(183.99)",0,0
51,"Harmuty-Murkongselek Branch Line Electrification Project
(GM/C/ NFR)
(706942)",Assam,"09/2018
(01/2022)","05/2024
(-)","237.52
(237.52)",0,0
52,"Furkating-New Tinsukia[194 Km]
(Northeast Frontier Railway [NFR])
(618986)",Assam,"09/2025
(09/2025)","06/2029
(-)","3633.58
(3633.58)",0,0
53,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",16226.02,72.7
54,"Byrnihat-Shillong New Rail Line- 108 km
(Northeast Frontier Railway [NFR])
(705396)",Meghalaya,"04/2011
(03/2010)","03/2021
(03/2027)","8324.28
(8342.28)",266.12,2.04
55,"Murkongselek-Pasighat
(Northeast Frontier Railway [NFR] - II)
(705401)","Multi-States (Assam,
Arunachal Pradesh)","02/2011
(03/2023)","03/2025
(12/2026)","435
(1250)",867.76,70
56,"Tetlia-Byrnihat New Railway Line
(Northeast Frontier Railway [NFR])
(705394)","Multi-States (Assam,
Meghalaya)","08/2010
(03/2007)","11/2011
(06/2027)","1304.62
(1304.62)",1258.8,86.16
57,"Lumding Furkating Doubling Project 140 km
(Northeast Frontier Railway [NFR])
(616701)","Multi-States (Assam,
Nagaland)","02/2024
(01/2025)","02/2028
(-)","2123.7
(2123.7)",141.06,12.5
58,"Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km]
(Northeast Frontier Railway [NFR] - II)
(705392)","Multi-States (Nagaland,
Assam)","08/2015
(02/2016)","03/2025
(12/2029)","6663
(6663)",6522.69,45
59,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)",Sikkim,"10/2009
(05/2010)","05/2015
(12/2027)","7877
(11775)",10933.68,93.1
,Total (12),,,,50056.05,40438.92,
,Ministry of Road Transport & Highways,,,,,,
,Roads & Highways,,,,,,
60,"Construction of 2-lane road of Potin to Pangin section of NH-13 from Km 163.59
to Km 206.66 Package-5 on EPC Mode in the State of Arunachal Pradesh under
Arunachal Pradesh Package of Roads and Highways of SARDP-NE [Job No
SARDP-NE/P-P/Pkg-A/NH-13/Ar.Pr./PWD/2018-19/116]
(MoRTH)
(617892)",Arunachal Pradesh,"03/2019
(11/2020)","11/2023
(07/2026)","450.65
(450.65)",308.61,96.61
61,"lmprovement and Widening to 2 lane with paved Shoulder of NH-15 old NH-52
from Existing Km 770.600 Design Km 24.819 to Existing km 805.750 Design Km
59.885 Kamlang T-Junction to Chowkham, Existing Length 35.150 Km, Design
Length-35.066 Km in the state of Arunachal Pradesh on EPC mode Pkg-2
(NHIDCL)
(619014)",Arunachal Pradesh,"12/2023
(02/2026)","02/2028
(-)","316.73
(316.73)",0,1.71
62,"Construction of 2-Laning with hard shoulders of Demwe-Brahmakund section of
NH-13 from Ch.0.00 km to 18.464 km on EPC under SARDP-NE NHO-NE -
Balance Work
(NHIDCL)
(618445)",Arunachal Pradesh,"08/2020
(06/2025)","12/2027
(12/2027)","353.9
(353.9)",0,18.63
63,"Construction of Intermediate Lane with Hard Shoulder of Hunli to Hayuliang
Package-III from design Km 60.000 to Km 121.500 Design Length 61.500 km,
Greenfield Section of Frontier Highway NH-913 in the State of Arunachal Pradesh
on EPC Mode Pkg-3
(NHIDCL)
(618401)",Arunachal Pradesh,"02/2024
(07/2025)","07/2028
(07/2028)","1418.67
(1418.67)",0,1.7
64,"Construction of Intermediate Lane with Hard Shoulder of Hunli to Hayuliang from
Design Km 0.000 to Km 53.000 Design Length 53.000 km, Greenfield Section of
Frontier Highway NH-913 in the State of Arunachal Pradesh on EPC Mode
Package-I
(NHIDCL)
(618402)",Arunachal Pradesh,"02/2024
(03/2025)","02/2028
(03/2028)","1262.43
(1262.43)",233.94,17.15
65,"Construction of Intermediate Lane Road with hard shoulder from design Km
0.000 to Km 17.387 Total length 17.387 km of Hunli to Ithun Bridge section on
NH-913 Frontier Highway in State of Arunachal Pradesh on EPC mode under
NHO-NE
(NHIDCL)
(618403)",Arunachal Pradesh,"02/2024
(01/2025)","01/2027
(01/2027)","275.5
(275.5)",0,49.83
66,"Construction of lntermediate Lane Road with hard shoulder from design chainage
Km 0.000 to Km 53.040 Existing Length68.500 Km & Total Design length 53.04
km of Tato to Monigong section of NH-913 Frontier Highway on Nafra Bomdila to
Vijaynagar along China border in state of Arunachal pradesh on EPC mode
(NHIDCL)
(618404)",Arunachal Pradesh,"12/2023
(05/2025)","11/2027
(11/2027)","625.61
(625.61)",0,21.67
