Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
738,"Janghai-Pratapgarh- Amethi
(CAO/C/II/NR)
(705588)",Uttar Pradesh,"11/2017
(03/2017)","03/2025
(03/2026)","722
(1194)",1567,70
739,"Lalitpur-Birari with flyover at Lalitpur- 16 Km
(North Central Railway)
(705766)",Uttar Pradesh,"03/2017
(11/2017)","12/2024
(01/2026)","304.44
(356)",231.37,78
740,"Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project
(North Central Railway)
(705771)",Uttar Pradesh,"04/2019
(10/2020)","03/2026
(03/2026)","494
(494)",333,70
741,"Mughalsarai-Allahabad, 3rd line
(North Central Railway)
(705772)",Uttar Pradesh,"12/2015
(03/2016)","12/2026
(03/2027)","2649
(2649.44)",1561.89,62
742,"Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project
(CAO/C/NCR)
(705774)",Uttar Pradesh,"04/2019
(09/2020)","01/2025
(03/2027)","758
(779.49)",387.73,69
743,"Bhandai - Flyover for Etawah bound down train- 10 Km
(North Central Railway (NCR) - II)
(705777)",Uttar Pradesh,"07/2020
(04/2021)","02/2026
(02/2027)","250.18
(250.18)",115.05,8
744,"Phephna-Indara, Mau-Shahganj doubling excluding Indara-Mau
(RVNL - I)
(705779)",Uttar Pradesh,"05/2017
(10/2019)","12/2024
(03/2026)","1178
(1777)",1489.5,85
745,"Bhatni-Aurnihar with electrification excluding Indara-Mau
(RVNL - I)
(705780)",Uttar Pradesh,"03/2018
(03/2017)","12/2024
(10/2025)","2529
(2529.46)",2051.69,94
746,"Barabanki-Malhaur 3rd & 4th Railway Line Project
(CAO/C/NR)
(705782)",Uttar Pradesh,"01/2019
(04/2017)","03/2025
(03/2026)","407
(407)",317,75
747,"Janghai-Phaphamau Doubling Rail Line Project
(RVNL)
(705784)",Uttar Pradesh,"11/2018
(03/2020)","03/2025
(03/2025)","357
(978.77)",579,95
748,"Rishikesh-Karnaprayag New Rail Line- 125 km
(RVNL - I)
(705429)",Uttarakhand,"11/2016
(08/2018)","12/2025
(03/2027)","38953
(38953)",24645.15,65
749,"Kalinarayanpur-Krishnanagar Doubling Alongwith Krishnanagar - Chapra New Line
And Naihati-Ranaghat 3rd Line.
(Eastern Railway [ER] - I)
(400247)",West Bengal,"07/2015
(11/2005)","02/2027
(02/2027)","1000
(1000)",1053.4,69
750,"Tarakeshwar-Bishnupur New Line [82.47 km]
(Eastern Railway [ER] - I)
(400273)",West Bengal,"03/2001
(02/2008)","03/2019
(02/2026)","1189
(1542)",1323.68,91
751,"Dum Dum Airport-New Garia via Rajarhat-Construction of Metro Railway
(RVNL - II)
(400277)",West Bengal,"03/2010
(10/2011)","12/2025
(03/2026)","8964
(8964)",8316.32,81
752,"Construction of Balurghat-Hilli new BG Line
(Northeast Frontier Railway [NFR])
(612096)",West Bengal,"12/2010
(12/2010)","03/2027
(03/2025)","1209
(1209)",405.31,9
753,"SER Upgradation of maintenance infrastructure at Shalimar into Vande Bharat Chair
Car maintenance cum workshop depot.
(South Eastern Railway - JH)
(617345)",West Bengal,"NA
(12/2024)","10/2026
(-)","226.87
(226.87)",0.21,5
754,"Joka-BBD Bag new metro project
(RVNL - II)
(705730)",West Bengal,"03/2010
(04/2010)","12/2026
(12/2029)","4835
(10362)",4634.68,59
755,"Noapara-Barasat via Bimanbandar - Construction of Metro railway [18 km]
(Metro Railway, Kolkata)
(706776)",West Bengal,"11/2010
(03/2010)","08/2026
(03/2029)","4830
(4830)",2764.13,32
756,"Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway
(RVNL - II)
(706777)",West Bengal,"03/2010
(03/2010)","12/2026
(12/2025)","2298
(2734)",393.01,17
,Total (257),,,,839222.35,536735.17,
,Department for Promotion of Industry & Internal Trade,,,,,,
,Real Estate,,,,,,
757,"Krishnapatnam Node - Phase 1 - Roads and Services Development
(National Industrial Corridor Development Corporation)
(701658)",Andhra Pradesh,"12/2020
(02/2024)","02/2028
(-)","2139.44
(2139.44)",472.8,21
758,"Tumakuru Node - Phase 1 - Roads and Services Development
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(701657)",Karnataka,"12/2020
(02/2023)","09/2026
(-)","1701.81
(1701.81)",117.35,10
,Total (2),,,,3841.25,590.15,
,Department of Telecommunications,,,,,,
,Telecommunication,,,,,,
759,"SETTING UP OF PHYSICAL INFRASTRUCTURE FOR THE NATIONAL INSTITUTE
OF COMMUNICATION FINANCE [NICF] AT GHITORNI
(National Communication Academy - Finance (Erstwhile NICF))
(709859)",Delhi,"10/2014
(04/2018)","02/2020
(10/2025)","248.2
(248.2)",236.91,98
760,"Provision of 4G based Mobile Services in Uncovered Villages and National Highways
of Meghalaya
(Department of Telecommunications)
(701598)",Meghalaya,"09/2019
(09/2020)","03/2022
(03/2026)","971.96
(971.96)",208.25,99
761,"Mobile connectivity in Left Wing Extremism [LWE] affected areas-Phase 1
Upgradation
(Department of Telecommunications [DoT])
(617413)","Multi-States
(Andhra Pradesh,
Bihar,
Chhattisgarh,
Jharkhand,
Madhya Pradesh,
Maharashtra,
Odisha,
Telangana, Uttar
Pradesh, West
Bengal)","04/2022
(05/2024)","05/2025
(11/2025)","1884.6
(1884.6)",100,67
