Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
132,"TILABONI UG
(ECL - CIL)
(400186)
(-) (-)",West Bengal,"01/2023
(01/2023)","03/2029
(-)","749.08
(749.07)",53.97,12.14
133,"JHANJRA EXPANSION UG
(Eastern Coal Fields Limited [ECL])
(400312)
(-) (-)",West Bengal,"04/2020
(04/2020)","03/2029
(-)","1210.12
(1210.12)",633.57,52.04
134,"SONEPUR BAZARI EXPANSION OCP [
(Eastern Coal Fields Limited [ECL])
(400315)
(-) (-)",West Bengal,"07/2021
(07/2021)","03/2029
(-)","5365.88
(5365.88)",628.22,18.5
135,"ITAPARA OCP
(ECL - CIL)
(612816)
(-) (-)",West Bengal,"12/2023
(12/2023)","03/2030
(-)","929.1
(929.1)",132.43,8.41
136,"SHYAMSUNDARPUR UG INCLUDING SA
(ECL - CIL)
(613793)
(-) (-)",West Bengal,"04/2020
(04/2020)","03/2026
(03/2028)","483.65
(483.65)",96.8,16.79
137,"PARASEA-BELBAID UG PROJECT
(ECL - CIL)
(613794)
(-) (-)",West Bengal,"01/2023
(01/2023)","03/2028
(-)","389.1
(389.1)",132.48,22.26
138,"PARASCOLE JAMBAD OCP
(ECL - CIL)
(616230)
(-) (-)",West Bengal,"11/2024
(11/2024)","03/2037
(-)","1193.55
(1193.55)",11.81,0.23
,Total (113),,,,182823.26,50030.39,
,Electricity Generation,,,,,,
139,"50 MW Wind Power Project
(NLC India Limited)
(617299)
(-) (-)",Gujarat,"07/2022
(01/2024)","06/2025
(12/2026)","383.84
(383.84)",328.54,52
140,"600 MW Khavda Solar Power Project
(NLC India Limited [NLCIL])
(617730)
(-) (-)",Gujarat,"08/2023
(06/2024)","06/2026
(12/2026)","3335.85
(3335.85)",2000.62,60
141,"200 MW SPP part of 510 MW CPSU scheme
(NLC India Limited [NLCIL])
(618991)
(-) (-)",Gujarat,"07/2022
(03/2024)","12/2026
(-)","1221.41
(1221.41)",66.07,0
142,"100 MW SPP part of SECI 150 MW Hybrid
(NLC India Limited [NLCIL])
(618992)
(-) (-)",Gujarat,"07/2022
(04/2024)","12/2026
(-)","480.68
(480.68)",2.66,1.2
143,"NLC Talabira Thermal Power Project
(NLC India Limited)
(400231)
(-) (-)",Odisha,"01/2017
(01/2024)","03/2030
(-)","27212.96
(27213)",3518.17,3.54
144,"810 MW Solar Power Project - Rajasthan
(NLC India Limited [NLCIL])
(618981)
(-) (-)",Rajasthan,"10/2024
(09/2025)","03/2028
(-)","4147.07
(4147.07)",249.95,0
,Total (6),,,,36781.81,6166.01,
,Railways,,,,,,
145,"Dharamjaigarh-Korba
(Railway)
(400203)
(-) (-)",Chhattisgarh,"05/2018
(03/2017)","12/2026
(08/2026)","1686.22
(2438.53)",792.73,43.7
146,"Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia
line]
(Ministry of Coal)
(400416)
(-) (-)",Jharkhand,"02/2018
(05/2022)","06/2025
(06/2027)","1799.64
(2564.34)",1713.19,71
,Total (2),,,,3485.86,2505.92,
,Ministry of Power,,,,,,
,Coal,,,,,,
147,"Tubed Coal Mine
(Damodar Valley Corporation)
(400192)
(-) (-)",Jharkhand,"07/2016
(10/2016)","05/2026
(05/2026)","1581
(1581)",616.91,36.5
148,"Badam Coal Mining project of NTPC
(National Thermal Power Corporation [NTPC])
(603293)
(-) (-)",Jharkhand,"02/2019
(09/2019)","12/2056
(04/2027)","502
(784)",436.5,67.86
,Total (2),,,,2083,1053.41,
,Electricity Generation,,,,,,
149,"Dibang Multipurpose Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602182)
(-) (-)",Arunachal Pradesh,"02/2023
(02/2023)","02/2032
(02/2032)","31876.39
(31876.4)",4749.66,17.78
150,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)
(-) (-)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1938.85
(1938.85)",105.5,6.33
