Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
617,"3rd Line Kalyan - Kasara [67.35 Kilometres]
(Central Railway)
(705498)
(N22000233)",Maharashtra,"09/2015
(09/2015)","12/2026
(12/2026)","792.89
(1395.79)",1033.38,71
618,"3rd Line Wardha - Sewagram - Nagpur
(Central Railway [CR] - II)
(705500)
(N22000250)",Maharashtra,"09/2015
(05/2016)","12/2025
(10/2026)","540.02
(916.53)",811.58,88
619,"3rd Line Wardha - Ballarshah [132 Kilometres]
(Central Railway [CR] - II)
(705502)
(N22000356)",Maharashtra,"03/2016
(12/2016)","12/2025
(02/2026)","1384.72
(2033.59)",1776.89,98
620,"Pune - Miraj-Londa [467 Kilometres]
(Central Railway)
(705503)
(N22000359)",Maharashtra,"06/2016
(06/2016)","02/2025
(08/2025)","4027.53
(4872.52)",5248.72,100
621,"Doubling of Daund Manmad Line [247.6 km]
(Central Railway)
(705504)
(N22000360)",Maharashtra,"10/2017
(03/2017)","12/2025
(03/2026)","2081.27
(3267.06)",3030.48,92
622,"4th Line Wardha - Nagpur [78.7 Kilometres]
(Central Railway [CR] - II)
(705505)
(N22000362)",Maharashtra,"04/2017
(05/2018)","12/2025
(10/2026)","637.95
(1214.69)",1031.75,88
623,"3rd Line Manmad - Jalgaon [160 Kilometres]
(Central Railway [CR] - II)
(705506)
(N22000361)",Maharashtra,"05/2017
(04/2018)","12/2024
(08/2025)","1035.16
(1870)",1817.02,100
624,"Solapur-tuljapur-Osmanabad
(Central Railway)
(705735)
(N22000513)",Maharashtra,"08/2018
(12/2023)","03/2027
(03/2028)","904.92
(3295.74)",1214.94,12
625,"Nagpur- Nagbhir Railway Line Gauge Conversion Project
(MRIDC)
(705799)
(N22000629)",Maharashtra,"10/2019
(04/2020)","12/2025
(12/2025)","1400
(1400)",1472,80
626,"Mumbai Urban Transport Project [MUTP] - PHASE II
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706779)
(N22000092)",Maharashtra,"05/2008
(04/2008)","03/2014
(12/2027)","8087
(8087)",7505.83,90
627,"Mumbai Urban Transport Project [MUTP] Phase-IIIA
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706780)
(N22000627)",Maharashtra,"04/2019
(04/2019)","12/2027
(12/2027)","33690
(33690)",3485.59,22
628,"Mumbai Urban Transport Project Phase-III
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706781)
(-)",Maharashtra,"11/2016
(12/2016)","03/2022
(12/2026)","10947
(10947)",6519.14,75
629,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)
(220100288)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",16020.78,72.1
630,"Marikuppam - Kuppam New Line Project [23.70 Km]
(South Western Railway [SWR] - II)
(705491)
(N22000308)","Multi-States
(Andhra Pradesh,
Karnataka)","04/2012
(10/2018)","06/2026
(06/2026)","297
(297)",145.78,21
631,"Rayadurg-Tumkur via Kalyandurg New Line [207 km]
(South Western Railway [SWR] - II)
(705494)
(N22000279)","Multi-States
(Andhra Pradesh,
Karnataka)","03/2008
(07/2010)","09/2015
(02/2028)","2496
(2496)",1888.77,72
632,"Renigunta, Wadi & Gooty Bypass Railway Project
(South Central Railway [SCR] - II)
(705610)
(N22000587)","Multi-States
(Andhra Pradesh,
Karnataka)","04/2016
(04/2016)","12/2025
(03/2026)","302
(543)",633.71,89.02
633,"Doubling between Mudkhed Medchal & Mahbubnagar Dhone section 417.88 Km
(South Central Railway [SCR] - II)
(617212)
(-)","Multi-States
(Andhra Pradesh,
Maharashtra,
Telangana)","08/2023
(08/2023)","03/2029
(-)","4686.09
(4686.09)",1811.8,2.07
634,"Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM]
(RVNL - II)
(400253)
(N22000409)","Multi-States
(Andhra Pradesh,
Odisha)","06/2016
(11/2016)","12/2025
(12/2026)","4803
(6669.91)",6194.54,96
635,"Doubling of Kottavalasa-Koraput Rail Line [189 KM]
(East Coast Railway [ECoR] - II)
(705512)
(N22000377)","Multi-States
(Andhra Pradesh,
Odisha)","12/2015
(01/2016)","03/2022
(03/2028)","2500
(2500)",2129.81,73
636,"Tindivanam-Nagari New Line Project [184.5 km]
(Ministry of Railways)
(400275)
(N22000085)","Multi-States
(Andhra Pradesh,
Tamil Nadu)","07/2008
(10/2008)","09/2025
(03/2028)","3631
(3631)",1222.79,16.24
637,"Doubling between Motumari Vishnupuram - 88.81 Km and Rail over Rail - RoR at
Motumari - 10.877 Km
(South Central Railway [SCR] - II)
(616857)
(-)","Multi-States
(Andhra Pradesh,
Telangana)","02/2024
(03/2025)","03/2029
(-)","1595.55
(1595.55)",171.46,2.03
638,"Doubling of Guntur Bibinagar 239 Km
(South Central Railway [SCR] - II)
(617211)
(-)","Multi-States
(Andhra Pradesh,
Telangana)","08/2023
(08/2023)","03/2029
(-)","2853.23
(2853.23)",300.63,2.4
639,"Rail Connectivity to Errupalem Amravati Namburu 57 Km
(South Central Railway [SCR] - II)
(617214)
(-)","Multi-States
(Andhra Pradesh,
Telangana)","11/2024
(11/2024)","03/2027
(-)","2047.4
(2047.4)",75.45,0.15
