Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Civil Aviation,,,,,,
,Aviation & Aviation Infrastructure,,,,,,
1,"Construction of New Domestic Terminal Building Building and miscellaneous works
including maintenance, operations and AICMC at Kadapa Airport
(Airport Authority of India [AAI])
(612786)",Andhra Pradesh,"03/2023
(01/2024)","01/2026
(03/2026)","265.91
(265.91)",76.65,42
2,"Construction of New Integrated Terminal Building and associated works including
apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada
Airport.
(Airport Authority of India [AAI])
(701107)",Andhra Pradesh,"06/2020
(09/2020)","09/2022
(03/2026)","611.8
(611.8)",523.14,86
3,"Construction of New Domestic Terminal Building at Rajahmundry Airport.
(Airport Authority of India [AAI])
(701121)",Andhra Pradesh,"12/2022
(08/2023)","08/2025
(03/2026)","347.15
(347.15)",109.62,64
4,"Guwahati Airport New Integrated Terminal Building Construction Project
(Adani Airport Holdings Limited)
(706724)",Assam,"12/2016
(03/2018)","03/2025
(11/2025)","1712
(1712)",2456.07,94
5,"Development of New Civil Enclave at Bihta
(Airport Authority of India [AAI])
(612183)",Bihar,"08/2024
(03/2025)","09/2027
(-)","1413
(1413)",0,1
6,"Development of New Civil Enclave and associated works at Darbhanga Airport
(Airport Authority of India [AAI])
(612194)",Bihar,"07/2024
(07/2024)","07/2026
(-)","911.66
(911.66)",227.32,43
7,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied
structures at JPNI Airport, Patna
(Airport Authority of India [AAI])
(701101)",Bihar,"10/2018
(10/2018)","07/2023
(11/2025)","1216.9
(1216.9)",1137.89,96
8,"Goa Airport Terminal Building Extension Project
(Airport Authority of India [AAI])
(701105)",Goa,"11/2017
(12/2019)","12/2021
(01/2026)","255.69
(255.69)",154.3,97
9,"Development of Dholera International Greenfield Airport , Gujarat
(Airport Authority of India [AAI])
(701126)",Gujarat,"06/2022
(07/2022)","06/2026
(06/2026)","1305
(1551)",739.77,68
10,"Construction of NTB complex including apron, taxi track and other associated civil
works and electrical & mechanical installations towards Tawi River side at CA Jammu.
(Airport Authority of India [AAI])
(611047)","Jammu and
Kashmir","07/2022
(07/2023)","06/2026
(06/2026)","861.37
(861.37)",229.1,39
11,"Construction of New Domestic Terminal Building and Miscellaneous works at Hubli
Airport
(Airport Authority of India [AAI])
(612787)",Karnataka,"06/2023
(01/2024)","01/2026
(03/2026)","320.47
(320.47)",89.99,51
12,"Construction of New Domestic Terminal Building and Miscellaneous Works at
Belagavi Airport.
(Airport Authority of India [AAI])
(612788)",Karnataka,"06/2023
(02/2024)","01/2026
(02/2026)","322.45
(322.45)",140.51,62
13,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport.
Construction of embankment with slope protection, drainage system and associated
works for additional RESA on either end on Runway 10-28
(Airport Authority of India [AAI])
(612789)",Kerala,"06/2023
(02/2024)","09/2025
(03/2026)","484.57
(484.57)",96.26,25
14,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh
(Airport Authority of India [AAI])
(400010)",Ladakh,"07/2018
(09/2018)","09/2021
(07/2026)","480
(640)",483.12,78
15,"C/o NITB Imphal Airport
(Airport Authority of India [AAI])
(706718)",Manipur,"11/2021
(07/2022)","07/2024
(12/2026)","499
(499)",156.06,42
16,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai,
Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL
(Airport Authority of India [AAI])
(611570)","Multi-States
(Karnataka,
Maharashtra,
Telangana, Uttar
Pradesh)","12/2020
(10/2022)","09/2025
(08/2026)","500.48
(500.48)",339.1,75
17,"Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur
Airport.
(Airport Authority of India [AAI])
(701127)",Rajasthan,"05/2022
(04/2023)","11/2024
(01/2026)","480
(480)",323.18,98
18,"Construction of New Integrated Passenger Terminal Building at Udaipur Airport
(Airport Authority of India [AAI])
(701128)",Rajasthan,"06/2023
(11/2023)","03/2026
(10/2026)","887
(887)",416.67,55
19,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope
stabilization Measures [Balance work] of uphill and Improvement of Storm Water
Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with
integrated 10 years maintenance.
(Airport Authority of India [AAI])
(612793)",Sikkim,"11/2023
(12/2023)","02/2026
(-)","323.26
(323.26)",38.7,18
20,"Modernization of Chennai Airport, Phase II, Part 2
(Airport Authority of India [AAI])
(611602)",Tamil Nadu,"05/2018
(06/2023)","07/2025
(06/2026)","1207
(1207)",193.59,26
21,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion,
and associated works at Prayagraj Airport- On Design & Build Basis.
(Airport Authority of India [AAI])
(612063)",Uttar Pradesh,"NA
(08/2023)","11/2024
(10/2025)","219.18
(274.38)",215.51,100
22,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New
Terminal Building, Apron Extension, Runway Extension, PTT and allied works.
(Airport Authority of India [AAI])
(701113)",Uttar Pradesh,"07/2024
(07/2024)","07/2027
(07/2027)","2869.65
(2869.65)",384.32,19
23,"Development of New Integrated Civil Enclave at Agra Airport
(Airport Authority of India [AAI])
(701122)",Uttar Pradesh,"06/2024
(07/2024)","07/2026
(-)","579
(579)",111.83,24
24,"Development of New Civil Enclave at Bagdogra Airport
(Airport Authority of India [AAI])
(611495)",West Bengal,"08/2024
(09/2024)","01/2027
(01/2027)","1549
(1549)",340.78,15
25,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and
Strengthening of C Taxiway at NSCBI Airport Kolkata.
(Airport Authority of India [AAI])
(612791)",West Bengal,"04/2023
(12/2023)","02/2025
(08/2026)","328.3
(328.3)",109.61,49
