Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
594,"Bangalore-Whitefield-Bangalore City-Krishnarajapuram [23.08 km] - Quadrupling
(South Western Railway [SWR] - II)
(705663)
(N22000621)",Karnataka,"02/2018
(06/2022)","02/2026
(02/2026)","493
(493)",297.52,85
595,"SHIMOGA - SHIKARIPURA - RANEBENNUR [96 Km]
(South Western Railway [SWR] - II)
(705761)
(N22000559)",Karnataka,"09/2019
(02/2023)","12/2027
(06/2028)","1454
(1454)",87.13,13
596,"Bangalore Suburban Railway Project
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(705941)
(-)",Karnataka,"10/2020
(10/2020)","12/2026
(03/2030)","15767
(15767)",3182.59,19.85
597,"Belgaum-Dharwad via Kittur [73.10Km]
(South Western Railway [SWR] - II)
(706835)
(N22000557)",Karnataka,"09/2020
(03/2025)","12/2027
(03/2029)","1591
(1591)",0.38,0
598,"Kumbalam-Turavur doubling project [15.59 Km]
(Ministry of Railways)
(705638)
(N22000620)",Kerala,"04/2023
(04/2023)","03/2027
(03/2027)","813
(802.8)",101.22,30
599,"Ernakulam-Kumbalam doubling project [7.71 Km]
(SR-ERS)
(705639)
(N22000619)",Kerala,"04/2023
(04/2023)","03/2028
(02/2027)","601
(595.39)",300.61,24.5
600,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho
(North Central Railway)
(705480)
(220100232)",Madhya Pradesh,"01/2007
(03/1998)","03/2027
(12/2027)","8914
(8914)",6777.67,74
601,"Satna-Rewa Railway Line Doubling Project
(West Central Railway [WCR] - II)
(705659)
(N22000554)",Madhya Pradesh,"11/2015
(08/2017)","03/2026
(03/2026)","500
(584)",563.03,86
602,"Doubling of Katni - Singrauli Railway Line [261 km]
(Indian Railway Construction International Limited [IRCON])
(705660)
(N22000351)",Madhya Pradesh,"03/2016
(03/2017)","12/2025
(12/2025)","2445
(4377)",3306.78,81
603,"Katni Grade Separator/Bye Pass
(Indian Railway Construction International Limited [IRCON])
(705661)
(N22000416)",Madhya Pradesh,"03/2016
(09/2017)","09/2024
(09/2026)","1248
(1248)",1810.01,95
604,"Indore - Budni New Railway Line [198 kms]
(RVNL - II)
(705763)
(N22000601)",Madhya Pradesh,"08/2019
(10/2020)","09/2030
(09/2030)","7474
(7474)",2529.03,35
605,"Nimach-Ratlam Doubling [133 Km]
(Western Railway [WR] - II)
(705933)
(N22000536)",Madhya Pradesh,"10/2021
(10/2021)","10/2027
(10/2027)","1095.88
(1095.88)",1284.91,94
606,"DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS]
(Central Railway)
(400019)
(N22000514)",Maharashtra,"01/2019
(04/2023)","12/2026
(09/2027)","492.76
(1170.83)",480.92,25
607,"Wardha-Nanded Via Yavatmal New BG Line
(Central Railway [CR] - II)
(400271)
(N22000231)",Maharashtra,"12/2017
(04/2008)","03/2025
(12/2026)","3445
(3445)",3002.93,50
608,"AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km
(South Central Railway [SCR] - II)
(611751)
(-)",Maharashtra,"05/2023
(05/2023)","03/2027
(-)","960.64
(960.64)",1281.74,2.01
609,"Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of
associated infrastructure
(Rail Land Development Authority)
(613015)
(-)",Maharashtra,"04/2023
(07/2023)","03/2027
(-)","1813
(1813)",809.23,21
610,"Gondia-Balharshah [Chanda Fort] Doubling [240 Km]
(South East Central Railway)
(617201)
(-)",Maharashtra,"04/2025
(04/2025)","03/2031
(-)","4373.04
(4373.04)",0.76,1
611,"Doubling between Parbhani Parli Vaijanath stations 64.71 Km
(South Central Railway [SCR] - II)
(617215)
(-)",Maharashtra,"12/2023
(12/2023)","03/2028
(-)","769.93
(769.93)",120.3,0.18
612,"Babupeth - Sasti New Rail Line [13.114 KMs]
(CentralRailway)
(617361)
(-)",Maharashtra,"10/2024
(10/2024)","03/2028
(-)","362.81
(362.81)",0.48,0
613,"Double Chord line Between Nilaje-Kopar
(CentralRailway)
(617364)
(-)",Maharashtra,"01/2025
(01/2025)","07/2028
(-)","338.33
(205)",14.83,24
614,"Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3
km]
(Central Railway [CR] - II)
(705356)
(220100181)",Maharashtra,"01/1999
(10/2002)","03/2026
(03/2026)","2538.67
(4957.27)",5133.5,98
615,"Baramati Lonand New Line Project
(Central Railway)
(705357)
(N22000615)",Maharashtra,"03/2016
(03/1999)","03/2027
(03/2027)","138.48
(1843.9)",951.07,60
616,"Wadsa-Gadchiroli
(South East Central Railway)
(705479)
(N22000480)",Maharashtra,"05/2017
(03/2012)","03/2027
(03/2027)","1886
(1886)",776.21,65
