Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
21,"Rehabilitation and Up-gradation of Dhindi - Digamarru section from Km 126/510 to Km
135/740 of NH -214New NH -216 and digamarru -Losari section from Km 0/000 tp Km
34/230 of NH-214 ANew Nh-216 to two lane with paved shoulder in the state of AP-NH
(MoRTH)
(618236)",Andhra Pradesh,"02/2016
(05/2016)","05/2018
(07/2020)","316.06
(288.76)"
22,"Rehabilitation & Upgradation of NH214New NH-216 from Km 34/230 to Km 84/550
Losari to Machavaram Section to two lane with paved shoulder in the state of
Andhrapradesh under NHDP-IV through Engineering, Procurement& Construction EPC
mode.
(MoRTH)
(618239)",Andhra Pradesh,"03/2016
(09/2016)","09/2018
(10/2023)","445.22
(459.37)"
23,"Construction of 6 lane elevated corridor including its approaches from Km. 629880 to
Km. 634470 Design Chainage of NH-16 in Ranasthalam Town portion in the state of
Andhra Pradesh on EPC Mode under NHO.
(National Highways Authority of India [NHAI])
(618524)",Andhra Pradesh,"07/2024
(03/2025)","03/2027
(-)","257.98
(192.85)"
24,"6L of Gundugolanu Design km 1023.280 to Kalaparru Design km 1050.680 of NH-5
New NH-16
(National Highways Authority of India [NHAI])
(618526)",Andhra Pradesh,"10/2018
(01/2020)","07/2021
(04/2022)","665.59
(665.59)"
25,"Nandigama Bypass and Kanchikacherla bypass
(National Highways Authority of India [NHAI])
(618629)",Andhra Pradesh,"11/2017
(03/2018)","06/2019
(04/2022)","416.07
(444.58)"
26,"6L Korlam-Kantakapalle Section of NH-130CD Road from Km 421.100 to Km 445.100
Pkg-3
(National Highways Authority of India [NHAI])
(618682)",Andhra Pradesh,"02/2021
(02/2022)","02/2024
(-)","1112.7
(1127.63)"
27,"Construction of 2-Laning with hard shoulders of Demwe-Brahmakund section of NH-13
from Ch.0.00 km to 18.464 km on EPC under SARDP-NE NHO-NE -Balance Work
(NHIDCL)
(618445)",Arunachal Pradesh,"08/2020
(06/2025)","12/2027
(-)","353.9
(-)"
28,"Construction of lntermediate Lane Road with hard shoulder from design chainage Km
0.000 to Km 53.040 Existing Length68.500 Km & Total Design length 53.04 km of Tato
to Monigong section of NH-913 Frontier Highway on Nafra Bomdila to Vijaynagar along
China border in state of Arunachal pradesh on EPC mode
(NHIDCL)
(618404)",Arunachal Pradesh,"12/2023
(05/2025)","11/2027
(-)","625.61
(-)"
29,"2L with ES of Yagyi - Kalewa section from Milepost 40/0 to Milepost 115/5 in Myanmar
(National Highways Authority of India [NHAI])
(618958)",Assam,"12/2017
(05/2018)","06/2023
(02/2024)","1200.14
(1200.14)"
30,"Umagaon - Saharsa Package - I Combined Umagaon-Kaluahi0.000KM to 21.609Km of
NH227LSaharghat-Rahika0.000 Km to 26.130KM of NH227JRahika-Rampatti 0.00 KM
to 15.00KM of NH527ABideshwarsthan-Bheja0.000KM to 25.915KM of NH527A.
(NHAI)
(618954)",Bihar,"08/2022
(01/2025)","07/2027
(-)","1473.2
(1703.02)"
31,"Construction of Major Bridge over Baghmati and Lakhandei River along with
Approaches from Design km.16.500 to km.21.500
(NHAI)
(618956)",Bihar,"02/2024
(10/2024)","04/2027
(-)","498.97
(380.3)"
32,"4L of Siwan- Masrakh section of Ram Janki Marg from Km 230.385 to Km 281.391 of
NH-227A
(National Highways Authority of India [NHAI])
(618926)",Bihar,"08/2022
(11/2024)","11/2026
(-)","1431.36
(1927.04)"
33,"Widening with additional 3L abetting Chhapra Bypass Section of NH-19 from Km.
143.200 to Km. 159.255 Pkg-1
(National Highways Authority of India [NHAI])
(618905)",Bihar,"02/2024
(08/2024)","08/2026
(-)","470.5
(528.48)"
