Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
663,"New line Dahod-Indore via Sardarpur, Jabuwa and Dhar
(Western Railway [WR] - II)
(705453)
(N22000139)","Multi-States
(Gujarat, Madhya
Pradesh)","06/2012
(06/2012)","02/2027
(02/2027)","456.07
(3516.77)",4006.93,53
664,"Chhota Udaipur - Dhar New Line Project [157 km]
(Western Railway [WR] - II)
(705454)
(N22000138)","Multi-States
(Gujarat, Madhya
Pradesh)","11/2008
(01/2014)","12/2025
(12/2025)","1794
(1794)",1816.87,80.3
665,"MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION
SYSTEM 500 RKM
(Western Railway)
(611452)
(N22000434)","Multi-States
(Gujarat,
Maharashtra)","09/2019
(03/2023)","12/2025
(12/2026)","311
(311)",263.42,93
666,"Taranga Hill-Abu Road via Ambaji
(North Western Railway [NWR])
(400022)
(N22000592)","Multi-States
(Gujarat,
Rajasthan)","07/2022
(07/2022)","07/2030
(07/2030)","2798
(2798)",2321.81,30
667,"LUNI- SAMDARI- BHILDI DOUBLING
(North Western Railway [NWR])
(616842)
(-)","Multi-States
(Gujarat,
Rajasthan)","02/2024
(02/2024)","07/2027
(-)","3085.59
(3085.59)",661.67,18
668,"Chandigarh-Baddi New Rail Line- 36 km
(Northen Railway [NR])
(705424)
(N22000467)","Multi-States
(Haryana,
Himachal Pradesh)","02/2018
(02/2018)","12/2026
(12/2026)","1540
(1540.13)",578.99,42
669,"Rewari - Kathuwas Doubling Project [27.72 Km]
(North Western Railway [NWR])
(611861)
(N22000606)","Multi-States
(Haryana,
Rajasthan)","02/2023
(12/2022)","06/2027
(06/2027)","352
(352)",306.87,75
670,"Bhanupalli-Bilaspur-Beri New Railway Line Project
(RVNL - II)
(705428)
(N22000273)","Multi-States
(Himachal
Pradesh, Punjab)","03/2009
(04/2015)","12/2026
(12/2027)","13447
(13447)",7556.6,63
671,"Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km
(South Eastern Railway - JH)
(705628)
(N22000396)","Multi-States
(Jharkhand,
Odisha)","03/2016
(02/2017)","06/2025
(06/2026)","3029
(3029.04)",2589.94,90
672,"Buramara-Chakulia new line [59.96 km]
(South Eastern Railway [SER] - I)
(616588)
(-)","Multi-States
(Jharkhand,
Odisha, West
Bengal)","08/2024
(12/2024)","12/2029
(-)","1459.13
(1459.13)",6.97,0
673,"Chandil - Anara - Damodar - 3rd line [121.26 km]
(CAO/C/SER)
(616227)
(-)","Multi-States
(Jharkhand, West
Bengal)","09/2024
(07/2025)","09/2029
(-)","1932.01
(1932.01)",1.97,0
674,"KHARAGPUR-ADITYAPUR THIRD RAIL LINE- 132 KM
(RVNL - I)
(705668)
(N22000595)","Multi-States
(Jharkhand, West
Bengal)","09/2016
(01/2018)","03/2025
(06/2026)","3250
(3250)",3286.92,97.5
675,"Baiyyappanahalli - Hosur Doubling Project [48 km]
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(703586)
(N22000542)","Multi-States
(Karnataka, Tamil
Nadu)","04/2019
(02/2019)","03/2024
(01/2026)","498.7
(748.7)",694.91,87.6
676,"Trivandrum- Kanyakumari
(Southern Railway [SR] - I)
(705635)
(N22000399)","Multi-States
(Kerala, Tamil
Nadu)","08/2017
(03/2016)","03/2025
(06/2028)","1432
(3785.45)",2874.14,55
677,"Ratlam-Mhow-Khandwa-Akola Gauge Conversion
(Western Railway [WR] - II)
(705457)
(N22000120)","Multi-States
(Madhya Pradesh,
Maharashtra)","04/2008
(03/2010)","03/2027
(09/2028)","1656.25
(6499.86)",4606.71,83
678,"Itarsi - Nagpur Third Railway Line [280 km]
(Central Railway [CR] - II)
(705507)
(N22000358)","Multi-States
(Madhya Pradesh,
Maharashtra)","09/2016
(09/2016)","03/2027
(12/2027)","2449.91
(2506.68)",2086.49,55
679,"RATLAM- DUNGARPUR VIA BANSWARA NEW LINE PROJECT
(North Western Railway [NWR])
(617406)
(-)","Multi-States
(Madhya Pradesh,
Rajasthan)","10/2015
(05/2023)","03/2028
(-)","2417.24
(2417.24)",7.19,8
680,"Gwalior - Seopurkala with extension to Kota [Gauge Conversion]
(North Central Railway)
(705419)
(N22000148)","Multi-States
(Madhya Pradesh,
Rajasthan)","03/2011
(07/2018)","03/2025
(02/2026)","2913
(2913)",2144.59,89
681,"Ramganjmandi-Bhopal New Line Project [276.50 km]
(West Central Railway [WCR] - II)
(705481)
(220100314)","Multi-States
(Madhya Pradesh,
Rajasthan)","03/2001
(10/2004)","12/2025
(12/2027)","3032
(5073)",4039.87,81
682,"Nimach-Badi Sadri New Rail Line Project
(Western Railway [WR] - II)
(705764)
(N22000503)","Multi-States
(Madhya Pradesh,
Rajasthan)","04/2017
(09/2021)","03/2026
(06/2026)","495
(825)",238.2,61
683,"Mathura-Jhansi Third Railway Line [274 Km]
(RVNL - II)
(705667)
(N22000501)","Multi-States
(Madhya Pradesh,
Rajasthan, Uttar
Pradesh)","12/2015
(03/2018)","12/2024
(12/2026)","5961
(5961)",5097.69,94.96
684,"Jhansi - Bina Third Railway Line [153 Km]
(CAO/C/NCR)
(705598)
(N22000496)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","09/2016
(03/2018)","03/2022
(03/2026)","2002
(2002)",1912.33,96
685,"Jhansi-Khairar-Manikpur & Khirar-Bhimsen
(North Central Railway)
(705608)
(N22000495)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","03/2018
(04/2019)","03/2026
(03/2026)","4330
(4330)",2760.45,67
