Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
748,"Agra Fort-Bandikui Doubling Line Project
(CAO/C/NCR)
(705919)
(N22000553) (-)",Rajasthan,"06/2022
(02/2021)","06/2027
(06/2027)","1390
(1390)",477.04,54
749,"Dedicated Test Track for RDSO /Phase-II Project
(North Western Railway [NWR])
(706836)
(-) (-)",Rajasthan,"11/2021
(01/2022)","03/2026
(-)","466.42
(466.42)",533.9,98
750,"Sawaimadhopur Bye Pass Line Project
(North Western Railway [NWR])
(706866)
(N22000607) (-)",Rajasthan,"12/2022
(01/2023)","03/2026
(05/2027)","304
(304)",83.03,72
751,"Phase II extension of MRTS from Velachery to St Thomas Mount
(Ministry of Railways)
(400280)
(N22000028) (1509)",Tamil Nadu,"11/2007
(11/2008)","07/2025
(09/2025)","734
(734.01)",486.53,99.9
752,"Redevelopment of Chennai Egmore Station
(Ministry of Railways)
(613002)
(-) (5830)",Tamil Nadu,"05/2022
(10/2022)","03/2026
(-)","842
(842)",340,0
753,"Coach Production Factory Upgradation Project
(CPM/ICF)
(705244)
(-) (-)",Tamil Nadu,"12/2017
(07/2018)","12/2021
(-)","520
(520)",192.25,0
754,"Madurai- Tuticorin New Line
(Ministry of Railways)
(705489)
(-) (1508)",Tamil Nadu,"04/2011
(09/2016)","07/2021
(12/2027)","601.43
(2084.48)",641.26,0
755,"Doubling between Bhadrachalam Road and Dornakal
(South Central Railway [SCR] - II)
(616856)
(-) (7098)",Telangana,"08/2023
(04/2025)","04/2029
(-)","770.12
(770.12)",87.93,0.05
756,"Railway Manufacturing Unit
(RVNL - II)
(617409)
(-) (9725)",Telangana,"07/2016
(02/2023)","12/2026
(03/2026)","521.36
(521.36)",491.87,90
757,"Kazipet Wagon Overhauling Project
(RVNL)
(705252)
(-) (-)",Telangana,"09/2017
(07/2017)","12/2023
(-)","385
(385)",0,0
758,"Manoharabad-Kothapalli New Rail Line [151 km]
(South Central Railway [SCR] - II)
(705437)
(N22000032) (1664)",Telangana,"07/2016
(01/2017)","03/2027
(12/2027)","1160
(2781)",3040.86,72.01
759,"Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar
(North Eastern Railway [NER])
(400204)
(N22000569) (2271)",Uttar Pradesh,"10/2018
(03/2017)","10/2030
(10/2030)","4939.78
(4939.78)",1055.82,8.9
760,"Sahjanwa-Dohrighat
(North Eastern Railway [NER])
(400205)
(N22000565) (2270)",Uttar Pradesh,"08/2019
(03/2017)","03/2029
(03/2029)","1319.75
(1319.75)",492.3,4
761,"Varanasi-Pt. Deen Dayal Upadhyaya multitracking 15km including construction of new
Rail-cum-Road Bridge across Ganga River.
(Northern Railways)
(617213)
(-) (9911)",Uttar Pradesh,"10/2024
(10/2025)","10/2029
(-)","2464.46
(2464.46)",59.82,2.42
762,"Anandnagar - Ghugli via Maharajganj New line 52.7 km
(Construction NER)
(617252)
(-) (7619)",Uttar Pradesh,"10/2023
(11/2023)","03/2028
(-)","958.27
(958.27)",635.41,23.8
763,"Chunar-Chopan doubling project
(North Central Railway)
(617284)
(-) (7648)",Uttar Pradesh,"08/2023
(01/2025)","03/2028
(-)","1423.96
(1423.96)",123.09,17
764,"Surface triangle line bet. Bhadura stn and new crossing stn Karma
(East Central Railway [ECR] - I)
(617333)
(-) (-)",Uttar Pradesh,"10/2022
(05/2024)","02/2027
(-)","199.96
(199.96)",5.19,0.5
765,"Doubling between Jaunpur Jn - Zaffarabad 6.28 km
(M/S SRC company Infra Private Limited)
(617370)
(-) (-)",Uttar Pradesh,"03/2023
(02/2025)","01/2027
(-)","180.66
(180.66)",43.65,10.5
766,"Burhwal Gonda 3rd line
(North Eastern Railway [NER])
(705567)
(N22000468) (2328)",Uttar Pradesh,"11/2017
(07/2019)","03/2025
(05/2026)","1016
(1118)",1050.11,88.4
767,"Janghai-Pratapgarh- Amethi
(CAO/C/II/NR)
(705588)
(N22000583) (2339)",Uttar Pradesh,"11/2017
(03/2017)","03/2025
(03/2026)","722
(1194)",1691.52,70
768,"Lalitpur-Birari with flyover at Lalitpur- 16 Km
(North Central Railway)
(705766)
(N22000546) (2084)",Uttar Pradesh,"03/2017
(11/2017)","12/2024
(01/2026)","304.44
(356)",255.32,86
769,"Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project
(North Central Railway)
(705771)
(N22000563) (-)",Uttar Pradesh,"04/2019
(10/2020)","03/2026
(03/2026)","494
(494)",397.57,78
