Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
709,"Jeypore-Malkanagiri New Railway Line Project
(East Coast Railway [ECoR] - II)
(705742)
(N22000516)",Odisha,"02/2018
(12/2023)","07/2033
(07/2033)","2344
(2344)",549.72,23.1
710,"Khurda Road - Balangir Electrification of Railway Track Project
(Ministry of Railways)
(706898)
(-)",Odisha,"09/2018
(09/2019)","03/2021
(-)","267.61
(267.61)",0,0
711,"GANDHAMARDAN IRON ORE MINES TO GOALDIH STATION/12.76kms
(East Coast Railway [ECoR] - II)
(709811)
(N22000520)",Odisha,"09/2022
(05/2025)","09/2027
(09/2027)","190
(189.93)",0,0
712,"Jaynagar-Bijalpura, incl. extn. Bet, Bijalpura-Bardibas [Nepal]
(East Central Railway [ECR] - I)
(705362)
(N22000181)",Offshore,"08/2015
(03/2011)","03/2022
(03/2026)","819
(819)",580.51,75
713,"North Region Video Surveillance Project
(RCIL)
(705298)
(-)",PAN India,"06/2020
(04/2023)","03/2024
(-)","274.39
(274.39)",0,48
714,"Ludhiana- Killa Raipur Railway Doubling Project
(Railway)
(705783)
(N22000584)",Punjab,"03/2019
(12/2022)","03/2025
(02/2027)","237.64
(238)",137.07,57
715,"Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli
Gauge Conversion [152 Km]
(North Western Railway [NWR])
(611849)
(N22000608)",Rajasthan,"01/2023
(01/2023)","06/2028
(06/2028)","968.92
(968.92)",275.74,56
716,"Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli
Gauge Conversion [152 Km]
(North Western Railway [NWR])
(611855)
(-)",Rajasthan,"NA
(01/2023)","01/2027
(-)","968.92
(968.92)",656.32,65
717,"Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions
under WTA 527
(WPO/Patna)
(611929)
(-)",Rajasthan,"09/2022
(06/2023)","12/2024
(-)","166.86
(166.86)",0,0
718,"PUSHKAR- MERTA CITY NEW LINE
(North Western Railway [NWR])
(616841)
(-)",Rajasthan,"02/2024
(02/2024)","12/2026
(-)","799.64
(799.64)",76.63,7
719,"AJMER- CHANDERIYA DOUBLING
(North Western Railway [NWR])
(616843)
(-)",Rajasthan,"02/2024
(02/2024)","06/2027
(-)","1634.79
(1634.79)",288.73,12
720,"SADULPUR - CHURU DOUBLING PROJECT
(North Western Railway [NWR])
(617403)
(-)",Rajasthan,"01/2024
(01/2024)","06/2026
(-)","468.64
(468.64)",167.03,71
721,"POKHRAN - RAMDEVRA New Line
(North Western Railway [NWR])
(617404)
(-)",Rajasthan,"04/2025
(04/2025)","03/2028
(-)","189.21
(189.21)",0,0
722,"NATHDWARA- NATHDWARA TOWN NL
(North Western Railway [NWR])
(617408)
(-)",Rajasthan,"03/2019
(04/2024)","03/2027
(-)","166.33
(166.33)",101.55,14
723,"Dholpur - Sirmuttra Gauge Conversion
(North Central Railway)
(705482)
(N22000158)",Rajasthan,"03/2022
(04/2020)","02/2019
(02/2027)","747
(747)",467.2,49
724,"Gudha-Thatha Mithri Construction of Railway Track Project
(North Western Railway [NWR])
(705752)
(N22000593)",Rajasthan,"04/2019
(04/2019)","11/2026
(11/2026)","819.48
(967.06)",397.28,99.5
725,"Sawai Madhopur-Jaipur Railway Line Project
(North Western Railway [NWR])
(705912)
(-)",Rajasthan,"02/2024
(04/2023)","03/2027
(-)","1203.89
(1203.89)",171.05,14
726,"Agra Fort-Bandikui Doubling Line Project
(CAO/C/NCR)
(705919)
(N22000553)",Rajasthan,"06/2022
(02/2021)","06/2027
(06/2027)","1390
(1390)",428.26,65
727,"Sawaimadhopur Bye Pass Line Project
(North Western Railway [NWR])
(706866)
(N22000607)",Rajasthan,"12/2022
(01/2023)","03/2026
(05/2027)","304
(304)",69.33,72
728,"Phase II extension of MRTS from Velachery to St Thomas Mount
(Ministry of Railways)
(400280)
(N22000028)",Tamil Nadu,"11/2007
(11/2008)","07/2025
(09/2025)","734
(734.01)",484.91,99.9
729,"Redevelopment of Chennai Egmore Station
(Ministry of Railways)
(613002)
(-)",Tamil Nadu,"05/2022
(10/2022)","03/2026
(-)","842
(842)",340,0
730,"Coach Production Factory Upgradation Project
(CPM/ICF)
(705244)
(-)",Tamil Nadu,"12/2017
(07/2018)","12/2021
(-)","520
(520)",192.25,0
731,"Doubling between Bhadrachalam Road and Dornakal
(South Central Railway [SCR] - II)
(616856)
(-)",Telangana,"08/2023
(04/2025)","04/2029
(-)","770.12
(770.12)",80.85,0.04
