Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
117,"BASUNDHARA WEST EXTENSION OPEN
(MCL - CIL)
(615193)",Odisha,"05/2014
(05/2014)","03/2019
(03/2029)","479.15
(479.15)",281.01,64
118,"Naini Coal Mine
(Singareni Collieries Company Limited [SCCL])
(615857)",Odisha,"03/2020
(03/2020)","03/2026
(-)","494.3
(494.3)",491.33,80
119,"INTEGRATED KULDA GARJANBAHAL O
(Mahanadi Coalfields Limited (MCL))
(616226)",Odisha,"04/2023
(04/2023)","03/2033
(-)","3563.5
(3563.5)",540.62,4
120,"BHUBANESWARI EXPN OCP 50 MTY
(MCL - CIL)
(616231)",Odisha,"03/2024
(03/2024)","03/2033
(-)","5366.27
(5366.27)",465.31,14
121,"HINGULA II OC EXPN PH III 15 M
(MCL - CIL)
(616232)",Odisha,"11/2022
(11/2022)","03/2029
(-)","1561.85
(1561.85)",269.61,23
122,"BALABHADRA OCP
(MCL - CIL)
(616233)",Odisha,"04/2023
(04/2023)","03/2030
(-)","978.44
(978.44)",211.37,11
123,"Jawahar Khani Open Cast Mine
(Singareni Collieries Company Limited [SCCL])
(615818)",Telangana,"12/2021
(12/2021)","03/2025
(03/2027)","297.88
(297.88)",46.39,20
124,"Kalyanikhani Opencast Project
(Singareni Collieries Company Limited [SCCL])
(615858)",Telangana,"03/2016
(05/2017)","03/2026
(-)","384.32
(384.32)",281.83,75
125,"Kakathiya Khani Opencast - III Project Phase - I
(Singareni Collieries Company Limited [SCCL])
(615859)",Telangana,"03/2017
(05/2017)","03/2026
(-)","413.84
(413.84)",397.55,79
126,"Godavarikhani Coal Mine - 5
(Singareni Collieries Company Limited [SCCL])
(615860)",Telangana,"07/2019
(05/2019)","03/2025
(03/2026)","607.04
(607.04)",188.15,71
127,"Indaram Opencast Project
(Singareni Collieries Company Limited [SCCL])
(615861)",Telangana,"08/2017
(12/2022)","03/2025
(03/2026)","424.81
(424.81)",402.64,80
128,"Goleti Opencast Mine
(Singareni Collieries Company Limited [SCCL])
(615862)",Telangana,"07/2021
(08/2021)","03/2026
(-)","345.6
(345.6)",74.59,20
129,"Venkatesh Khani Coal Mine
(Singareni Collieries Company Limited [SCCL])
(615863)",Telangana,"10/2020
(06/2020)","03/2026
(-)","484.5
(484.5)",460.67,95
130,"Ramagundam OC-II Extension Project
(Singareni Collieries Company Limited [SCCL])
(615864)",Telangana,"11/2015
(06/2015)","03/2026
(-)","489.62
(489.62)",405.54,77
131,"Kakatiyakhani OC - 2 Project
(Singareni Collieries Company Limited [SCCL])
(615865)",Telangana,"08/2017
(09/2017)","03/2025
(03/2026)","442.42
(442.42)",205,63
132,"MOHANPUR EXPANSION OC -PHASE II
(Eastern Coal Fields Limited [ECL])
(400173)",West Bengal,"11/2020
(11/2020)","03/2026
(-)","888.99
(888.99)",93,30
133,"BONJEMEHARI EXPANSION OCP
(Eastern Coal Fields Limited [ECL])
(400180)",West Bengal,"08/2021
(08/2021)","03/2026
(03/2026)","570.11
(570.11)",81.95,16
