Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Ministry of Railways,,,,
,Railways,,,,
15,"Jhajha-Batai New Line Project
(East Central Railway [ECR] - I)
(617373)",Bihar,"03/2023
(03/2023)","03/2027
(-)","588.18
(-)"
16,"JHAJHA - BATIA
(East Central Railway [ECR] - I)
(900874)",Bihar,"03/2023
(03/2023)","03/2028
(01/2030)","588.18
(-)"
17,"Dallirajhara - Rowghat New Rail Line Project, Phase-I
(Rail Vikas Nigam Limited)
(617374)",Chhattisgarh,(11/2009),"03/2025
(-)","1516.45
(-)"
18,"Development of New Bijwasan Railway Terminal
(Northern Railways)
(617379)",Delhi,"02/2008
(03/2013)","03/2020
(-)","446.21
(-)"
19,"Doubling between Pradhankunta-Patherih-Bhojudih of East Central Railway
(East Central Railway [ECR] - I)
(617372)",Jharkhand,"11/2022
(11/2022)","12/2025
(-)","349.22
(-)"
20,"Babupeth - Sasti New Rail Line [13.114 KMs]
(Central Railway (CR) - II)
(617361)",Maharashtra,"10/2024
(10/2024)","03/2028
(-)","362.81
(362.81)"
21,"Double Chord line Between Nilaje-Kopar
(Central Railway (CR) - II)
(617364)",Maharashtra,"01/2025
(01/2025)","07/2028
(-)","338.33
(205)"
22,"Sardega -Bhalumuda New Double line [37.24 Km]
(SECR)
(617390)","Multi-States (Chhattisgarh,
Odisha)","09/2024
(09/2024)","03/2028
(-)","1281.81
(-)"
23,"RATLAM- DUNGARPUR VIA BANSWARA NEW LINE PROJECT
(North Western Railway [NWR])
(617406)","Multi-States (Madhya
Pradesh, Rajasthan)","10/2015
(05/2023)","03/2028
(-)","2417.24
(-)"
24,"Jeypore - Malkangiri New BG Line Project
(Indian Railways)
(617290)",Odisha,(02/2018),"12/2030
(-)","2343.64
(-)"
25,"New B.G Railway Line between Jeypore & Navarangpur [38 Km] with Electrification
(Indian Railway and Govt of Odisha)
(617320)",Odisha,"07/2017
(09/2022)","09/2025
(-)","747.91
(-)"
26,"Godhani-Kalumna Chord 13.7 km
(Ministry of Railways)
(617321)",Offshore,"07/2018
(07/2018)","07/2028
(-)","150000
(-)"
27,"NATHDWARA- NATHDWARA TOWN NL
(North Western Railway [NWR])
(617408)",Rajasthan,"03/2019
(04/2024)","03/2027
(-)","166.33
(-)"
28,"SADULPUR - CHURU DOUBLING PROJECT
(North Western Railway [NWR])
(617403)",Rajasthan,"01/2024
(01/2024)","06/2026
(-)","468.64
(-)"
29,"POKHRAN - RAMDEVRA New Line
(North Western Railway [NWR])
(617404)",Rajasthan,"04/2025
(04/2025)","03/2028
(-)","189.21
(-)"
30,"Railway Manufacturing Unit
(South Central Railway [SCR] - II)
(617409)",Telangana,"07/2016
(02/2023)","12/2026
(-)","521.36
(-)"
31,"Surface triangle line bet. Bhadura stn and new crossing stn Karma
(East Central Railway [ECR] - I)
(617333)",Uttar Pradesh,"10/2022
(05/2024)","02/2027
(-)","199.96
(-)"
32,"Doubling between Jaunpur Jn - Zaffarabad 6.28 km
(M/S SRC company Infra Private Limited)
(617370)",Uttar Pradesh,"03/2023
(02/2025)","01/2027
(-)","180.66
(-)"
33,"SER Upgradation of maintenance infrastructure at Shalimar into Vande Bharat Chair
Car maintenance cum workshop depot.
(South Eastern Railway - JH)
(617345)",West Bengal,(12/2024),"10/2026
(-)","226.87
(-)"
,Total (19),,,,162933.01
,Ministry of Steel,,,,
,Steel,,,,
34,"Stamp Charge Battery No.12 Battery Proper at IISCO Steel Plant
(Steel Authority of India Limited [SAIL])
(617338)",,"01/2025
(02/2025)","07/2028
(-)","2518.39
(-)"
,Total (1),,,,2518.39
