Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
447,"Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline
between CPCL Manali Refinery and CPCL Desalination plant at Ennore
(Chennai Petroleum Corporation Limited [CPCL])
(709750)
(-)",Tamil Nadu,"01/2024
(01/2024)","09/2025
(12/2026)","205
(205)",81.61,58
448,"City Gas Distribution Projects at the Nilgiris and Erode districts
(Bharat Petroleum Corporation Limited [BPCL])
(709796)
(N16000521)",Tamil Nadu,"12/2022
(12/2022)","03/2030
(03/2030)","3685
(3685)",274.28,24
449,"ATF Pipeline from BPCLs Malkapur POL Installation to Hyderabad International
airport
(MinistryofPetroleumNaturalGas)
(617822)
(-)",Telangana,"03/2025
(03/2025)","09/2027
(-)","215
(215)",38.16,22
450,"Creation of Gas Dehydration Facilities, Tripura Asset
(Oil and Natural Gas Corporation Limited [ONGC])
(709837)
(-)",Tripura,"03/2022
(03/2022)","05/2024
(05/2026)","209.33
(131.51)",78.98,67
451,"Kanpur LPG Bottling Plant
(MinistryofPetroleumNaturalGas)
(619191)
(-)",Uttar Pradesh,"09/2025
(09/2025)","09/2027
(-)","202
(202)",6.03,44
452,"Revamping / Augmentation of Facilities at Mathura Bitumen Plant
(MinistryofPetroleumNaturalGas)
(709781)
(N16000505)",Uttar Pradesh,"04/2022
(04/2022)","06/2027
(12/2026)","260.12
(260.12)",15.2,45
453,"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich,
Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts
(Bharat Petroleum Corporation Limited [BPCL])
(709795)
(N16000525)",Uttar Pradesh,"12/2022
(12/2022)","06/2030
(06/2030)","16654
(16654)",670.55,15
454,"Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project]
(Ministry of Petroleum & Natural Gas)
(617302)
(N16000275)",West Bengal,"03/2017
(03/2017)","12/2020
(03/2026)","1740
(2493.15)",2351.6,94
455,"Siliguri-Jhapa Pipeline Project
(Indian Oil Corporation Limited [IOCL])
(617828)
(-)",West Bengal,"09/2024
(09/2024)","03/2029
(03/2029)","267
(267)",1.77,9
456,"Siliguri Marketing Terminal [SMT] Capacity Augmentation Project
(Ministry of Petroleum & Natural Gas)
(617837)
(-)",West Bengal,"11/2021
(11/2021)","12/2025
(09/2026)","484
(484)",302.22,85
457,"Haldia Panagarh Pipeline Project
(Hindustan Petroleum Corporation Limited)
(709753)
(N16000478)",West Bengal,"11/2022
(11/2022)","11/2025
(05/2026)","1010
(1107)",782.89,93
458,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03
(Hindustan Petroleum Corporation Limited)
(709758)
(N16000498)",West Bengal,"06/2022
(06/2022)","06/2030
(06/2030)","2628
(2628)",378.82,34
459,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts
(MinistryofPetroleumNaturalGas)
(709772)
(N16000491)",West Bengal,"03/2022
(03/2022)","06/2031
(06/2031)","609
(609)",61.68,2
460,"City Gas Distribution Projects at Alipurduar and Cooch Behar
(Bharat Petroleum Corporation Limited [BPCL])
(709791)
(N16000522)",West Bengal,"12/2022
(12/2022)","03/2030
(03/2030)","1017
(1017)",219.93,42
,Total (96),,,,367211.08,191970.51,
,Ministry of Health & Family Welfare,,,,,,
,Healthcare,,,,,,
461,"AIIMS Darbhanga
(PMSSY AND Institute of NATIONAL Importance)
(701172)
(-)",Bihar,"NA
(09/2020)","09/2024
(-)","1264
(1264)",0,0
462,"Establishment of new GMC Jamui
(Medical Education, Ministry of Health and Family Welfare)
(707020)
(-)",Bihar,"03/2019
(10/2022)","10/2025
(-)","250
(500)",96.21,32
463,"Establishment of new GMC Korba
(Medical Education, Ministry of Health and Family Welfare)
(707044)
(-)",Chhattisgarh,"02/2023
(10/2023)","12/2026
(-)","325
(322.85)",164.49,52
464,"Establishment of new GMC Mahasamund
(Medical Education, Ministry of Health and Family Welfare)
(707045)
(-)",Chhattisgarh,"10/2023
(10/2023)","05/2026
(-)","325
(325)",308.5,75
465,"Establishment of new GMC Kanker
(Medical Education, Ministry of Health and Family Welfare)
(707046)
(-)",Chhattisgarh,"02/2020
(09/2024)","03/2027
(-)","325
(325)",22,50
466,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New
Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617882)
(-)",Delhi,"09/2025
(09/2025)","09/2026
(-)","358.19
(358.19)",0,0
467,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar
campuses of AIIMS, New Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617883)
(-)",Delhi,"10/2016
(06/2022)","06/2027
(-)","4441
(4441)",24.68,61
