Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
198,"Transmission System for Evacuation of Power from Potential Renewable Energy Zone
in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID
South Olpad Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615345)",Gujarat,10/2024,"10/2026
(-)","4766
(4766)",513.29,5
199,"Augmentation of Transformation Capacity at KPS1 [GIS] and KPS2 [GIS] [Phase-V
Part B1 and Part B2 Scheme] [SPV Name- POWERGRID KPS1 and 2 Augmentation
Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617069)",Gujarat,02/2025,"02/2027
(-)","466
(466)",6.99,0
200,"Augmentation of Banaskantha [Raghanesda] PS [GIS] [POWERGRID Banaskantha
Transco Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617182)",Gujarat,03/2025,"03/2027
(-)","172
(172)",1.72,0
201,"Implementation of LILO of both circuits of 400KV vindhyachal PS-Sasan D/C Line at
Hindalco Switchyard
(Power Grid Corporation of India Limited [POWERGRID])
(617272)",Haryana,06/2024,"12/2026
(-)","370
(370)",1,1
202,"Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley
HEPs - LTA System
(Power Grid Corporation of India Limited [POWERGRID])
(608302)","Jammu and
Kashmir",02/2022,"04/2025
08/2025","318.12
(318.12)",286.31,99
203,"Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624
MW] Part B
(Power Grid Corporation of India Limited [POWERGRID])
(617179)","Jammu and
Kashmir",07/2024,"07/2026
(-)","218.6
(218.6)",0,0
204,"Transmission Scheme for Integration of Renewable Energy Zone [Phase II] in Koppal
II [Phase A&B] and gadag II[Phase A] in Karnataka [POWERGRID KOPPAL GADAG
TRANSMISSION LIMITED]
(Power Grid Corporation of India Limited [POWERGRID])
(612140)",Karnataka,12/2023,"12/2025
(-)","2889.39
(2889.39)",1154.31,37
205,"System Strengthening at Koppal-II and GadagII for integration of RE generation
projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission
Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(616672)",Karnataka,01/2025,"06/2027
(-)","1354
(1354)",16.65,0
206,"Augmentation of Transformation Capacity by 3x500 MVA, 400/220 KV ICTS [6th-8th]
and 1x1500 MVA, 765/400 KV ICT [4th] at Bidar PS [SPV Name- POWERGRID Bidar
Augmentation Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617068)",Karnataka,02/2025,"06/2027
(-)","288
(288)",5.76,0
207,"Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in
Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617184)",Karnataka,03/2025,"09/2027
(-)","3453
(3453)",20.7,0
208,"Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2
5.5GW] [Jaisalmer/Barmer Complex] Part H1 [POWERGRID KURAWAR
TRANSMISSION LIMITED]
(Power Grid Corporation of India Limited [POWERGRID])
(615344)",Madhya Pradesh,10/2024,"10/2026
(-)","3674
(3674)",408.18,13
209,"Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5
GW] [Jaisalmer/Barmer Complex] Part C [SPV Name POWERGRID Mandsaur
Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615346)",Madhya Pradesh,08/2024,"08/2026
(-)","2708
(2708)",649.92,26
210,"Transmission System for evacuation of power from Mahan Energen Limited
Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power
Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617279)",Madhya Pradesh,06/2025,"12/2027
(-)","558
(558)",5.58,0
211,"Transmission System for Evacuation of power from Potential RE Zone in Khavda Area
of Gujarat under phase IV 7GW-Part E4
(Power Grid Corporation of India Limited [POWERGRID])
(611966)",Maharashtra,11/2023,"07/2025
11/2025","224.41
(224.41)",22.44,9
212,"Transmission System for Integration of Kurnool-IV REZ Phase-I [for 4.5 GW]
[POWERGRID Kurnool-IV Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617185)","Multi-States
(Andhra Pradesh,
Karnataka)",03/2025,"03/2027
(-)","5550
(5550)",111,0
213,"Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone Part-A and
Part-B
(Power Grid Corporation of India Limited [POWERGRID])
(900808)","Multi-States
(Andhra Pradesh,
Telangana)",03/2023,"11/2024
12/2025","3546.94
(3546.94)",3121.3,94
214,"Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D]
Systems [CSST&DS] in Arunachal Pradesh and Sikkim
(Power Grid Corporation of India Limited [POWERGRID])
(602223)","Multi-States
(Arunachal
Pradesh, Sikkim)",01/2016,"12/2018
03/2027","4754.42
(4754.42)",7321.07,81
215,"NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT
[NERPSIP]
(Power Grid Corporation of India Limited [POWERGRID])
(607709)","Multi-States
(Assam, Manipur,
Meghalaya,
Mizoram,
Nagaland, Tripura)",03/2016,"12/2018
09/2025","5111.33
(6700)",5253.47,96
216,"Eastern Region Expansion Scheme-43 [ERES-43]
(Power Grid Corporation of India Limited [POWERGRID])
(617271)","Multi-States
(Bihar, Odisha,
West Bengal)",09/2024,"03/2026
(-)","342.69
(342.69)",0.2,0
217,"Eastern Region Expansion Scheme-44 [ERES-44]
(Power Grid Corporation of India Limited [POWERGRID])
(617270)","Multi-States
(Bihar, West
Bengal)",11/2024,"05/2026
(-)","408.94
(408.94)",0.2,0
218,"Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B
(Power Grid Corporation of India Limited [POWERGRID])
(400005)","Multi-States
(Dadra & Nagar
Haveli and Daman
& Diu, Gujarat,
Maharashtra)",07/2022,"06/2023
12/2025","4546.26
(4546.26)",4148.46,93
219,"Transmission System Strengthening Scheme for evacuation of power from SEZ in
Rajasthan 8.1 GW under Phase II Part G
(Power Grid Corporation of India Limited [POWERGRID])
(608922)","Multi-States (Delhi,
Haryana,
Rajasthan)",05/2022,"11/2023
11/2025","1666
(2218)",2139.28,95
